gene	source	n_strong_consensus_pathways	example_pathways	crispr_effect	crispr_p	crispr_fdr	crispr_direction
ABCC9	resistance_consensus_leading_edge	4	go_bp:GOBP_CIRCULATORY_SYSTEM_PROCESS;go_bp:GOBP_HEART_DEVELOPMENT;go_bp:GOBP_REGULATION_OF_BLOOD_CIRCULATION;go_bp:GOBP_REGULATION_OF_SYSTEM_PROCESS	-0.3967195799821628	0.1740505130819609	0.7909727675032434	nonsignificant_sensitising_direction
ALG12	resistance_consensus_leading_edge	1	go_bp:GOBP_ALCOHOL_METABOLIC_PROCESS	-0.3689446392751501	0.1742944112678578	0.7909727675032434	nonsignificant_sensitising_direction
ANKLE2	resistance_consensus_leading_edge	2	go_bp:GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS;go_bp:GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION	-0.8931490516860068	0.1753632221492347	0.7909727675032434	nonsignificant_sensitising_direction
BAMBI	resistance_consensus_leading_edge	19	go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION;go_bp:GOBP_MESENCHYMAL_CELL_DIFFERENTIATION;go_bp:GOBP_MESENCHYME_DEVELOPMENT	-0.5413673336170017	0.1760211089580435	0.7909727675032434	nonsignificant_sensitising_direction
CD81	resistance_consensus_leading_edge	4	go_bp:GOBP_MUSCLE_CELL_DIFFERENTIATION;go_bp:GOBP_MYELOID_CELL_DIFFERENTIATION;go_bp:GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION;go_bp:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	-0.359971412795586	0.1757986393562531	0.7909727675032434	nonsignificant_sensitising_direction
CHEK2	resistance_consensus_leading_edge	5	go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_SISTER_CHROMATID_SEGREGATION;hallmark:HALLMARK_E2F_TARGETS;reactome:REACTOME_CELL_CYCLE_CHECKPOINTS	-0.4899561550845011	0.1684644259504293	0.7909727675032434	nonsignificant_sensitising_direction
DCTN1	resistance_consensus_leading_edge	3	reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_MITOTIC_PROMETAPHASE;reactome:REACTOME_M_PHASE	-0.5860087191656014	0.1664118274227991	0.7909727675032434	nonsignificant_sensitising_direction
DSN1	resistance_consensus_leading_edge	8	go_bp:GOBP_METAPHASE_CHROMOSOME_ALIGNMENT;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_MITOTIC_PROMETAPHASE	-0.4569187655551792	0.1746906341239328	0.7909727675032434	nonsignificant_sensitising_direction
E2F3	resistance_consensus_leading_edge	1	go_bp:GOBP_POSITIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH	-0.4224985748581122	0.1683317278193112	0.7909727675032434	nonsignificant_sensitising_direction
GJB2	resistance_consensus_leading_edge	5	go_bp:GOBP_CELLULAR_RESPONSE_TO_LIPID;go_bp:GOBP_EAR_DEVELOPMENT;go_bp:GOBP_PLACENTA_DEVELOPMENT;go_bp:GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN;go_bp:GOBP_SENSORY_ORGAN_DEVELOPMENT	-0.4107786867013256	0.1673647010807871	0.7909727675032434	nonsignificant_sensitising_direction
GNPAT	resistance_consensus_leading_edge	3	go_bp:GOBP_ENSHEATHMENT_OF_NEURONS;go_bp:GOBP_SYNAPSE_ASSEMBLY;go_bp:GOBP_SYNAPSE_ORGANIZATION	-0.3576341442157904	0.1740184633461628	0.7909727675032434	nonsignificant_sensitising_direction
HOXB6	resistance_consensus_leading_edge	7	go_bp:GOBP_EMBRYONIC_MORPHOGENESIS;go_bp:GOBP_EMBRYONIC_ORGAN_DEVELOPMENT;go_bp:GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS;go_bp:GOBP_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT;go_bp:GOBP_PATTERN_SPECIFICATION_PROCESS	-0.537151971756094	0.1764130322937228	0.7909727675032434	nonsignificant_sensitising_direction
HPX	resistance_consensus_leading_edge	2	go_bp:GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS;go_bp:GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION	-0.3975545466575045	0.1746236246541283	0.7909727675032434	nonsignificant_sensitising_direction
HSP90B1	resistance_consensus_leading_edge	2	go_bp:GOBP_RESPONSE_TO_OXYGEN_LEVELS;reactome:REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	-0.787171729725654	0.1729474335184176	0.7909727675032434	nonsignificant_sensitising_direction
