candidate	collection	pathway	candidate_is_member	candidate_is_leading_edge_datasets	interactor_genes_in_pathway	resistance_consensus_class	gse118713_NES	gse118713_FDR	gse240112_NES	gse240112_FDR	gse111151_NES	gse111151_FDR	gse245601_NES	gse245601_FDR
CITED2	hallmark	HALLMARK_UV_RESPONSE_DN	True	gse240112		STRONG_CONSENSUS	1.6285191560279797	0.0044732507684607	1.3529988421308998	0.0667199859768998	1.752283694744422	0.0003458189447789	-1.1552410932156294	0.2360834990059642
CITED2	hallmark	HALLMARK_UV_RESPONSE_UP	False		LHX2	MIXED	1.0095602202119114	0.5525878442545109	-0.9305023657047362	0.7634261506553109	1.4853020952544382	0.0092935114949224	1.468646827130771	0.0211674603884332
CITED2	hallmark	HALLMARK_WNT_BETA_CATENIN_SIGNALING	False		TP53	STRONG_CONSENSUS	1.305973566006977	0.1681537405628002	1.5677930367060298	0.0402371504186646	1.766547051848122	0.0027462607786466	0.877812375816334	0.7099570929358164
CITED2	reactome	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	False		CREBBP	MIXED	-1.05957357653437	0.7580979641907879	0.7470077147720553	1.0	1.0201341200630076	0.6436952877630844	2.5440633087052937	5.137127559222995e-10
CITED2	reactome	REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS	True		CREBBP;EP300;TFAP2A;TFAP2B;TFAP2C	not_in_resistance_consensus_table								
CITED2	reactome	REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	False		TP53	LOW_EVIDENCE	-1.0425521606053707	0.7458333333333333	-1.4655598247854236	0.1796609139974173	-0.7860716862514141	0.9910209985020154	-1.1889479118424238	0.3447456956263606
CITED2	reactome	REACTOME_AUTOPHAGY	False		EPAS1	MIXED	1.4646880223103245	0.1273377265607205	1.1115041347769603	0.674429302512794	-1.0502732450911036	0.5799648506151143	1.6707347096757046	0.0035462026723579
CITED2	reactome	REACTOME_CD209_DC_SIGN_SIGNALING	False		CREBBP;EP300	LOW_EVIDENCE	1.4218681431219995	0.4147358665430955	1.4743403159237534	0.3219506526951591	0.7463467688703896	0.9234790630926144	0.4632577986048691	1.0
CITED2	reactome	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	True		CREBBP;EP300;EPAS1;HIF1A;TP53	not_in_resistance_consensus_table								
CITED2	reactome	REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	False		CREBBP;EP300	MIXED	1.3053764853261651	0.257769157837351	-0.66076395618275	1.0	-1.1230062677695587	0.3519278096800656	1.5723838373963483	0.0091868556630584
