gene	ranking_stat	log2fc	p_value	fdr	ranking_stat_method
CEACAM22P	3.1256539981696037	4.40982032616088	0.0007487658036527	0.107616309025257	sign(log2fc)*-log10(p_value)
RECK	3.125124312112165	3.09657094933647	0.0007496795909192	0.107616309025257	sign(log2fc)*-log10(p_value)
BX470102.3	3.096662720753851	1.7891564614297	0.0008004556588829	0.113714472825148	sign(log2fc)*-log10(p_value)
MGC39584	3.0925282617713052	2.39357217244638	0.0008081123393832	0.114210433614479	sign(log2fc)*-log10(p_value)
ACOXL	3.088103734433923	2.79339013041824	0.0008163873479405	0.114323854732709	sign(log2fc)*-log10(p_value)
RP11-384P7.7	3.069090572918308	4.40616265463438	0.0008529222169603	0.115974753948362	sign(log2fc)*-log10(p_value)
INS-IGF2	3.068320942852384	2.78462759766728	0.0008544350535257	0.115974753948362	sign(log2fc)*-log10(p_value)
GNAT3	3.063339128085605	6.01504784844038	0.0008642927538173	0.11616264080473	sign(log2fc)*-log10(p_value)
FAM198A	3.059291163967299	1.42840785577176	0.0008723862985049	0.116223049664746	sign(log2fc)*-log10(p_value)
RP11-358L22.2	3.0576961741031536	2.50690187720545	0.000875596114902	0.116223049664746	sign(log2fc)*-log10(p_value)
FAM134B	3.046675013082604	1.00565145141044	0.0008981006007985	0.116996735088576	sign(log2fc)*-log10(p_value)
RP11-116O11.2	3.037581595651595	6.78553814498353	0.0009171036129216	0.116996735088576	sign(log2fc)*-log10(p_value)
PCSK5	3.028162194189921	1.64291321133395	0.0009372119248407	0.116996735088576	sign(log2fc)*-log10(p_value)
PWRN2	3.0266974364228756	2.40218812644876	0.0009403782235859	0.116996735088576	sign(log2fc)*-log10(p_value)
TNFRSF11B	3.0262013423978367	2.2251559537862	0.0009414530301728	0.116996735088576	sign(log2fc)*-log10(p_value)
EIF4E1B	3.0190622511224556	2.36985253046814	0.0009570568783589	0.116996735088576	sign(log2fc)*-log10(p_value)
LRRN2	3.01488637776701	1.66772317144289	0.0009663036549805	0.116996735088576	sign(log2fc)*-log10(p_value)
FKRP	3.013756345209312	0.687586105543779	0.0009688212473057	0.116996735088576	sign(log2fc)*-log10(p_value)
CSPG5	3.0104038843483942	0.887246058751927	0.0009763288342168	0.116996735088576	sign(log2fc)*-log10(p_value)
KLHL15	3.002641524592658	0.663138704072329	0.0009939361248051	0.116996735088576	sign(log2fc)*-log10(p_value)
RP1-167F1.2	3.002403638315246	2.55859103706758	0.0009944807058275	0.116996735088576	sign(log2fc)*-log10(p_value)
PHLDB2	3.0014584940884457	2.09038475829728	0.0009966473260585	0.116996735088576	sign(log2fc)*-log10(p_value)
LINC01519	2.998933733033544	5.67914149284219	0.0010024581868211	0.116996735088576	sign(log2fc)*-log10(p_value)
TRAV39	2.997024259068273	2.86368870227342	0.0010068754246606	0.116996735088576	sign(log2fc)*-log10(p_value)
