gene	leading_edge_dataset_count	max_same_pathway_dataset_count	leading_edge_datasets	pathway_count	resistance_direction	example_pathways	crispr_effect	crispr_p	crispr_fdr	crispr_direction
EGLN1	2	2	gse111151,gse118713	19	consistently_up_in_resistance_pathways	go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_CARDIAC_CHAMBER_DEVELOPMENT;go_bp:GOBP_CARDIAC_CHAMBER_MORPHOGENESIS;go_bp:GOBP_CARDIAC_SEPTUM_DEVELOPMENT;go_bp:GOBP_CARDIAC_SEPTUM_MORPHOGENESIS;go_bp:GOBP_EMBRYONIC_ORGAN_DEVELOPMENT;go_bp:GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT;go_bp:GOBP_HEART_DEVELOPMENT;go_bp:GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT;go_bp:GOBP_MUSCLE_TISSUE_DEVELOPMENT	0.1697945352607863	0.5925457733649094	0.9285299753064464	nonsignificant_tolerance_direction
LMO4	2	2	gse118713,gse240112	19	consistently_up_in_resistance_pathways	go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_CARDIAC_CHAMBER_DEVELOPMENT;go_bp:GOBP_CARDIAC_SEPTUM_DEVELOPMENT;go_bp:GOBP_CELL_FATE_COMMITMENT;go_bp:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION;go_bp:GOBP_EMBRYONIC_MORPHOGENESIS;go_bp:GOBP_EPITHELIAL_TUBE_FORMATION;go_bp:GOBP_EPITHELIAL_TUBE_MORPHOGENESIS;go_bp:GOBP_HEART_DEVELOPMENT;go_bp:GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM	0.4884914128381172	0.1316919194267726	0.7745311342094331	nonsignificant_tolerance_direction
NEDD9	2	2	gse118713,gse240112	19	consistently_up_in_resistance_pathways	go_bp:GOBP_CELLULAR_COMPONENT_DISASSEMBLY;go_bp:GOBP_CELL_CHEMOTAXIS;go_bp:GOBP_CELL_SUBSTRATE_ADHESION;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_LEUKOCYTE_CHEMOTAXIS;go_bp:GOBP_MYELOID_CELL_DIFFERENTIATION;go_bp:GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION;go_bp:GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION;go_bp:GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS;go_bp:GOBP_POSITIVE_REGULATION_OF_LOCOMOTION	-0.4124793023576547	0.1716107271944729	0.7909727675032434	nonsignificant_sensitising_direction
NR1D1	2	2	gse118713,gse240112	19	consistently_up_in_resistance_pathways	go_bp:GOBP_CELLULAR_RESPONSE_TO_INTERLEUKIN_1;go_bp:GOBP_CELLULAR_RESPONSE_TO_LIPID;go_bp:GOBP_EPITHELIAL_CELL_PROLIFERATION;go_bp:GOBP_FAT_CELL_DIFFERENTIATION;go_bp:GOBP_GLIAL_CELL_DIFFERENTIATION;go_bp:GOBP_GLIOGENESIS;go_bp:GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION;go_bp:GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT;go_bp:GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION;go_bp:GOBP_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	0.2636755402425272	0.5017031640236324	0.901787701863322	nonsignificant_tolerance_direction
APC	2	1	gse118713,gse240112	18	mixed	go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CELLULAR_COMPONENT_DISASSEMBLY;go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY;go_bp:GOBP_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY;go_bp:GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS;go_bp:GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION;go_bp:GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS;go_bp:GOBP_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY;go_bp:GOBP_PATTERN_SPECIFICATION_PROCESS	-0.4685263217852853	0.2812866903667788	0.8248811476822362	nonsignificant_sensitising_direction
CEBPB	2	2	gse118713,gse240112	18	consistently_up_in_resistance_pathways	go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_DENDRITIC_CELL_DIFFERENTIATION;go_bp:GOBP_EMBRYONIC_ORGAN_DEVELOPMENT;go_bp:GOBP_EPITHELIAL_CELL_PROLIFERATION;go_bp:GOBP_FAT_CELL_DIFFERENTIATION;go_bp:GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT;go_bp:GOBP_MYELOID_CELL_DIFFERENTIATION;go_bp:GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION;go_bp:GOBP_ODONTOBLAST_DIFFERENTIATION;go_bp:GOBP_OSSIFICATION	-0.1627497550116903	0.5075672011587781	0.9049049224205448	nonsignificant_sensitising_direction
CYFIP2	2	2	gse111151,gse118713	18	consistently_up_in_resistance_pathways	go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_NEURON_PROJECTION_GUIDANCE;go_bp:GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY;go_bp:GOBP_POSITIVE_REGULATION_OF_PEPTIDASE_ACTIVITY;go_bp:GOBP_PROTEIN_PROCESSING;go_bp:GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS;go_bp:GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION;go_bp:GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	-0.4093323244671172	0.19212206940835	0.7956932679350437	nonsignificant_sensitising_direction
IFT20	2	2	gse118713,gse240112	18	consistently_up_in_resistance_pathways	go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CARDIOCYTE_DIFFERENTIATION;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_COCHLEA_DEVELOPMENT;go_bp:GOBP_EAR_DEVELOPMENT;go_bp:GOBP_HEART_DEVELOPMENT;go_bp:GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM;go_bp:GOBP_MUSCLE_CELL_DIFFERENTIATION;go_bp:GOBP_MUSCLE_TISSUE_DEVELOPMENT;go_bp:GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION	-0.7862934486813238	0.0123047851268081	0.5623404552091305	nonsignificant_sensitising_direction
IGFBP5	2	2	gse111151,gse118713	18	consistently_up_in_resistance_pathways	go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_EPITHELIAL_CELL_PROLIFERATION;go_bp:GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM;go_bp:GOBP_MUSCLE_CELL_DIFFERENTIATION;go_bp:GOBP_MUSCLE_CELL_MIGRATION;go_bp:GOBP_MUSCLE_TISSUE_DEVELOPMENT;go_bp:GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION;go_bp:GOBP_OSSIFICATION;go_bp:GOBP_OSTEOBLAST_DIFFERENTIATION;go_bp:GOBP_PHOSPHATIDYLINOSITOL_3_KINASE_PROTEIN_KINASE_B_SIGNAL_TRANSDUCTION	0.1536726119695828	0.5903775045431712	0.9279997917623796	nonsignificant_tolerance_direction
ITGB5	2	2	gse111151,gse118713	18	consistently_up_in_resistance_pathways	go_bp:GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION;go_bp:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION;go_bp:GOBP_CELL_MATRIX_ADHESION;go_bp:GOBP_CELL_SUBSTRATE_ADHESION;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_EMBRYONIC_MORPHOGENESIS;go_bp:GOBP_FORMATION_OF_PRIMARY_GERM_LAYER;go_bp:GOBP_GASTRULATION;go_bp:GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM;go_bp:GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	0.8118020557925609	0.0290431499437713	0.627455155691706	nonsignificant_tolerance_direction
