gene	ranking_stat	log2fc	p_value	fdr	ranking_stat_method
TTC36	0.34775405310442864	0.439622651025456	0.448999592547666	0.783981065515293	sign(log2fc)*-log10(p_value)
DDRGK1	0.34741884235190634	0.140818589755127	0.449346287239847	0.783981065515293	sign(log2fc)*-log10(p_value)
WDR34	0.3474153665515149	0.129476989616204	0.449349883519137	0.783981065515293	sign(log2fc)*-log10(p_value)
AC133644.2	0.34735295902210944	0.429039072957995	0.449414459128986	0.783981065515293	sign(log2fc)*-log10(p_value)
GJC1	0.34716674475095766	0.404229322969185	0.449607197774077	0.783981065515293	sign(log2fc)*-log10(p_value)
POLD1	0.3470230939259193	0.246070843886168	0.449755938157263	0.783981065515293	sign(log2fc)*-log10(p_value)
NDUFB5	0.346954333788956	0.163558721147958	0.449827151883121	0.783981065515293	sign(log2fc)*-log10(p_value)
CATSPER1	0.34680229132132734	0.372099303721163	0.449984659763773	0.783981065515293	sign(log2fc)*-log10(p_value)
FAHD2A	0.3462292243492996	0.167280467281734	0.4505788224051	0.784486461726752	sign(log2fc)*-log10(p_value)
SLC35F6	0.3461067093217169	0.127797096232949	0.450705949196392	0.784486461726752	sign(log2fc)*-log10(p_value)
KEAP1	0.34589155750103695	0.12921088976425	0.450929286662904	0.784486461726752	sign(log2fc)*-log10(p_value)
ACP2	0.3458758603120931	0.157273000344838	0.450945585396665	0.784486461726752	sign(log2fc)*-log10(p_value)
TIPARP-AS1	0.3457136474312161	0.308097088234249	0.451114049073302	0.784486461726752	sign(log2fc)*-log10(p_value)
FAM24B	0.3453709620750826	0.174907795674018	0.451470146587052	0.784793810926182	sign(log2fc)*-log10(p_value)
SLBP	0.3451148288633163	0.121421440806323	0.451736487997246	0.78496627423344	sign(log2fc)*-log10(p_value)
CHKB-DT	0.3451055488822966	0.21674433744809	0.451746140781239	0.78496627423344	sign(log2fc)*-log10(p_value)
ZBP1	0.34507166277460805	0.445095408589784	0.451781389941044	0.78496627423344	sign(log2fc)*-log10(p_value)
CSRNP1	0.3448485531969391	0.136618139060537	0.452013542673444	0.785156077730566	sign(log2fc)*-log10(p_value)
TAF11	0.34479391729758574	0.133947576513046	0.452070411275174	0.785156077730566	sign(log2fc)*-log10(p_value)
CKS2	0.34478950296934674	0.193612968780539	0.452075006307825	0.785156077730566	sign(log2fc)*-log10(p_value)
SF3B4	0.3446001010628509	0.140338621862369	0.452272205547606	0.785269836839692	sign(log2fc)*-log10(p_value)
AC107959.4	0.3444573510996172	0.369327772126769	0.452420889113964	0.785269836839692	sign(log2fc)*-log10(p_value)
INHA	0.34441453465004424	0.477021425580483	0.452465494817939	0.785269836839692	sign(log2fc)*-log10(p_value)
BCS1L	0.3444002510411719	0.155149322944395	0.45248037630206	0.785269836839692	sign(log2fc)*-log10(p_value)
BAG1	0.34427080637593127	0.144884584439589	0.452615261507677	0.785405603990603	sign(log2fc)*-log10(p_value)
DUSP11	0.34396374667127555	0.127541540761604	0.452935387729525	0.785567781820894	sign(log2fc)*-log10(p_value)
ASB13	0.3435971400022869	0.204078319512759	0.45331789141083	0.785806200701614	sign(log2fc)*-log10(p_value)
SEMA4A	0.34335175827992653	0.243740181953771	0.453574093965455	0.785902014129041	sign(log2fc)*-log10(p_value)
RAB10	0.3431198215845805	0.133432238724549	0.45381639170858	0.785902014129041	sign(log2fc)*-log10(p_value)
IFT27	0.34311657780084676	0.151851501631295	0.453819781315836	0.785902014129041	sign(log2fc)*-log10(p_value)
LARP1B	0.3429412747742303	0.14376069317721	0.454003002708395	0.785902014129041	sign(log2fc)*-log10(p_value)
DGKQ	0.3429105277799286	0.149998221949792	0.454035146155918	0.785902014129041	sign(log2fc)*-log10(p_value)
CLPSL1	0.34265689200997573	0.397635934942668	0.454300388273539	0.785977394043405	sign(log2fc)*-log10(p_value)
MAFG	0.3426264760838224	0.134564669197437	0.454332206432693	0.785977394043405	sign(log2fc)*-log10(p_value)
B3GNT9	0.3425383542777257	0.26267799305844	0.454424403405972	0.785977394043405	sign(log2fc)*-log10(p_value)
B4GALT5	0.3423915341974346	0.121074641191984	0.454578054693489	0.785977394043405	sign(log2fc)*-log10(p_value)
KLF6	0.34231508762174195	0.135707797681624	0.45465807872282	0.785977394043405	sign(log2fc)*-log10(p_value)
