dataset	collection	pathway	NES	nom_pvalue	fdr	gene_set_size_in_data	n_leading_edge	leading_edge_genes
gse118713	go_bp	GOBP_MIRNA_MEDIATED_GENE_SILENCING_BY_INHIBITION_OF_TRANSLATION	1.084206446566649	0.34392523364485983	0.5791460701927831	17	13	WTIP;EIF4ENIF1;EIF4E2;AGO1;EIF4G1;AGO4;TNRC6B;AGO3;TNRC6A;EIF6;LIMD1;AGO2;AJUBA
gse118713	go_bp	GOBP_BASEMENT_MEMBRANE_ORGANIZATION	1.0840589411579993	0.3578154425612053	0.5884685258964144	27	10	LAMB1;PHLDB2;NTN4;LAMC1;COL3A1;MMP11;EXT1;CLASP1;POMT2;PXDN
gse118713	go_bp	GOBP_CELLULAR_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	1.0840302409623526	0.28422876949740034	0.5323448935985072	113	23	MMP9;BMP7;NQO1;GPR37;EDN1;SIRPA;MAP3K5;EGFR;ZNF277;STAT6;STK25;FOXP1;CYP1B1;PRKAA1;PRKCD;PINK1;NFE2L2;FYN;TOP2B;SPHK1;SRC;AGAP3;PCGF2
gse118713	go_bp	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	1.0839440937453049	0.3054101221640489	0.548142173530141	72	16	FGF13;LIMCH1;FGF12;BIN1;KCND3;MYO5A;FRMD6;CCDC88C;PDE4D;SCN1B;SRI;MYO5B;FNBP1L;SUMO1;FLNA;GSN
gse118713	go_bp	GOBP_ENDOTHELIAL_CELL_CHEMOTAXIS	-1.083776747945826	0.34497816593886466	0.579519531682862	19	6	EGR3;SMOC2;NOTCH1;HSPB1;P2RX4;CORO1B
gse118713	go_bp	GOBP_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	1.0835306455123508	0.3578154425612053	0.5884685258964144	27	7	ANXA1;SPRED1;CIB1;HDAC7;DLL4;FBXW7;VEGFA
gse118713	go_bp	GOBP_REGULATION_OF_REPRODUCTIVE_PROCESS	1.0835077614686444	0.3020833333333333	0.5450471301127756	109	15	SOX9;TIMP1;ARHGDIB;BMP7;WNT5A;DEFB1;LIF;LHFPL2;CIB1;JAG1;LFNG;KIF9;WNT4;B4GALT1;VEGFA
gse118713	go_bp	GOBP_NEGATIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT	1.08243611537182	0.3290909090909091	0.5683130139565733	60	8	PPARG;COL4A3;SERPINE1;SPRED1;ISM1;SEMA3E;SPRY2;WNT4
gse118713	go_bp	GOBP_PULMONARY_VALVE_MORPHOGENESIS	1.0824106130292401	0.35	0.5822149344096871	15	3	HEY1;ROBO2;JAG1
gse118713	go_bp	GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	1.081883415021501	0.35192307692307695	0.5839744414850606	15	5	NCMAP;NTSR1;WASF3;EGR2;CDK18
