collection	pathway	resistance_consensus_class	resistance_median_NES	resistance_datasets_FDR05	gse245601_NES	gse245601_fdr	crispr_NES	crispr_fdr	candidates_connected	convergence_category
go_bp	GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS	SINGLE_DATASET	1.042871861756672	1	1.4921157672094156	0.0221141004124109	-1.084905636904331	0.6108791783023267		ACUTE_RESPONSE
go_bp	GOBP_ENDOCRINE_PROCESS	SINGLE_DATASET	1.431759562340952	1	-1.6888892614306488	0.0290932050735509	-1.174051504211919	0.5727355338885206		ACUTE_RESPONSE
go_bp	GOBP_MULTI_MULTICELLULAR_ORGANISM_PROCESS	SINGLE_DATASET	1.3930075693196688	1	-1.505419579230444	0.0416266300244705	0.9190700824721072	0.86592253918988	CITED2	ACUTE_RESPONSE
go_bp	GOBP_CARBOHYDRATE_METABOLIC_PROCESS	SINGLE_DATASET	0.935502507628971	1	1.5306259608288184	0.0013726253298847				ACUTE_RESPONSE
go_bp	GOBP_GLAND_MORPHOGENESIS	SINGLE_DATASET	1.1698949213622234	1	-1.9956546837825853	0.0001354297728422	0.965227778472446	0.8164606763476799		ACUTE_RESPONSE
go_bp	GOBP_DNA_TEMPLATED_DNA_REPLICATION	SINGLE_DATASET	-1.0596000928474207	1	-1.7317866336739711	0.0020454491856397	-1.4186042465826951	0.1664509876045139		ACUTE_RESPONSE
go_bp	GOBP_RECOMBINATIONAL_REPAIR	SINGLE_DATASET	-0.9602751475068586	1	-1.7506283330754469	0.0005144941509707	-1.451174166532363	0.1252960751672345		ACUTE_RESPONSE
hallmark	HALLMARK_HYPOXIA	SINGLE_DATASET	1.2440249218281394	1	1.7361630915505288	0.0001150500989363	1.0510750564163325	0.5087505087505088	CITED2	ACUTE_RESPONSE
reactome	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	SINGLE_DATASET	1.0336638339353217	1	2.46178322718064	3.3896010402596703e-19	0.9594494225093924	0.7400259258937039		ACUTE_RESPONSE
go_bp	GOBP_LYSOSOMAL_TRANSPORT	SINGLE_DATASET	0.9372840540415835	1	1.6094345702954689	0.0203025434700723	-0.9411551513745	0.8385660637747318		ACUTE_RESPONSE
reactome	REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES	SINGLE_DATASET	-1.3282083628388757	1	-1.9723383006778432	0.0035462026723579	0.9544093202092004	0.7036569819349623		ACUTE_RESPONSE
go_bp	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	LOW_EVIDENCE	1.2288555147312732	0	1.5479554802518645	0.0085799885867696	-1.039179886657588	0.6966130605006319		ACUTE_RESPONSE
go_bp	GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	LOW_EVIDENCE	0.9596214367291848	0	2.612009834358009	1.3216028462743363e-14	0.9180068376263096	0.8495453986227292		ACUTE_RESPONSE
go_bp	GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	LOW_EVIDENCE	1.256070962319655	0	2.1393854581952434	1.901138130111529e-06	1.3757518563529874	0.198880333173969		ACUTE_RESPONSE
go_bp	GOBP_CELLULAR_RESPONSE_TO_STARVATION	LOW_EVIDENCE	1.113456163044908	0	1.8053011508581331	0.0011582178762915	1.1828015307674151	0.5142469512570297		ACUTE_RESPONSE
reactome	REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES	LOW_EVIDENCE	1.2569778060521946	0	1.949618378291014	0.0082352407147051	0.9782738268081188	0.6818900580760163	CITED2	ACUTE_RESPONSE
go_bp	GOBP_CELLULAR_RESPONSE_TO_ZINC_ION	LOW_EVIDENCE	1.0396385072022165	0	2.0747634526938787	0.0020454491856397	1.2831820977789177	0.5183266398625134		ACUTE_RESPONSE
go_bp	GOBP_RESPONSE_TO_STEROL_DEPLETION	LOW_EVIDENCE	1.0286353209090824	0	1.9020229874212249	0.0098779305135555	1.1915053144144077	0.6357399033213784		ACUTE_RESPONSE
go_bp	GOBP_NEUTRAL_AMINO_ACID_TRANSPORT	LOW_EVIDENCE	-1.1259264235200137	0	2.106154636968533	0.0005235701903942	0.8996293163807032	0.8450714487021419		ACUTE_RESPONSE
go_bp	GOBP_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	LOW_EVIDENCE	0.975603115328182	0	2.074012170819536	0.0020547675397137	1.1254538165011183	0.6823714033125146		ACUTE_RESPONSE
reactome	REACTOME_METABOLISM_OF_STEROIDS	LOW_EVIDENCE	1.2107219585952478	0	2.217703932141736	1.5300127310223043e-08	1.104077744078814	0.4729007494503626		ACUTE_RESPONSE
go_bp	GOBP_NEGATIVE_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	LOW_EVIDENCE	0.9940401249672124	0	1.662259293537846	0.0211501032926935	1.087648376484829	0.6824644549763034		ACUTE_RESPONSE
go_bp	GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	LOW_EVIDENCE	1.1724474077335427	0	1.5928840916119638	0.0098779305135555	0.8702658095913675	0.9068551126287248		ACUTE_RESPONSE
go_bp	GOBP_PROTEIN_LOCALIZATION_TO_PHAGOPHORE_ASSEMBLY_SITE	LOW_EVIDENCE	1.3357454288954456	0	1.8526071518558127	0.0165088242127735	-0.6720692257552894	0.9509765625		ACUTE_RESPONSE
go_bp	GOBP_MACROAUTOPHAGY	LOW_EVIDENCE	1.073567239865192	0	2.0373159940651835	6.935544941116396e-10	-1.124208816603407	0.5139259175222645		ACUTE_RESPONSE
go_bp	GOBP_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	LOW_EVIDENCE	1.1997432525392362	0	-1.6856005839714845	0.0465048050714008	0.906387883920968	0.83612046418863		ACUTE_RESPONSE
go_bp	GOBP_DETOXIFICATION_OF_INORGANIC_COMPOUND	not_tested_in_resistance		0	2.2038951193367105	0.0001918192988422	0.9130093124700188	0.839861498448908		ACUTE_RESPONSE
go_bp	GOBP_CELLULAR_RESPONSE_TO_COPPER_ION	LOW_EVIDENCE	0.8129732949543396	0	2.128756739985168	0.0004085484026395	0.5579164189051581	0.9898538779128548		ACUTE_RESPONSE
go_bp	GOBP_AMINO_SUGAR_METABOLIC_PROCESS	LOW_EVIDENCE	1.2688937106560767	0	2.1656396398019844	0.0003751622337789	-0.8761055734264389	0.8749111558700398		ACUTE_RESPONSE
go_bp	GOBP_RENAL_FILTRATION	LOW_EVIDENCE	-0.9449792771828968	0	-1.8982318083483265	0.010441008662645	0.9602981722609206	0.791938175959247		ACUTE_RESPONSE
go_bp	GOBP_INTERLEUKIN_17_PRODUCTION	LOW_EVIDENCE	0.9189448087658284	0	1.8333417077719687	0.0294158330912205	0.8624577242707308	0.8628895359845393		ACUTE_RESPONSE
go_bp	GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	LOW_EVIDENCE	1.1830125353462615	0	-1.6151768051957154	0.0165088242127735	-1.006765421520917	0.7748770307974182		ACUTE_RESPONSE
go_bp	GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	LOW_EVIDENCE	1.3309553392479347	0	1.9007609253526196	0.0143032399672956	-0.9512951028669784	0.7923424518762693		ACUTE_RESPONSE
go_bp	GOBP_TELOMERASE_RNA_LOCALIZATION	LOW_EVIDENCE	-0.9555116072260332	0	-1.89213546131987	0.0091061138731344	-0.7761415620059593	0.9003066921367892		ACUTE_RESPONSE
go_bp	GOBP_DOUBLE_STRAND_BREAK_REPAIR	LOW_EVIDENCE	-1.028256005977012	0	-1.5961100525968566	0.0008074341861889	-1.3371992197541638	0.1485639621478776		ACUTE_RESPONSE
reactome	REACTOME_FOXO_MEDIATED_TRANSCRIPTION	LOW_EVIDENCE	0.966926691280797	0	1.698971704979924	0.0255517509085222	1.017572253591583	0.6298062516145699	CITED2	ACUTE_RESPONSE
