gene	ranking_stat	log2fc	p_value	fdr	ranking_stat_method
SKIV2L	3.0334995532988476	0.7689268744167572	0.00699819043894244	0.5222126248246775	effect_size/se (Wald z)
TNFRSF18	3.016019521085869	0.7309813870220587	0.007272123526537247	0.5291756289843208	effect_size/se (Wald z)
OGFOD1	3.0134591451261556	0.8521374342003076	0.0073131113464827875	0.5291756289843208	effect_size/se (Wald z)
STXBP1	3.0096353718076534	0.7757545359142322	0.00737474180668493	0.5316214820117064	effect_size/se (Wald z)
NMRK1	3.0070222219588487	1.0081169649682264	0.007417149228272903	0.5318700207103038	effect_size/se (Wald z)
OR5F1	3.0059956199289366	0.9378578062951428	0.007433874026574418	0.5318700207103038	effect_size/se (Wald z)
C2orf81	3.003115610285573	0.772391711727578	0.007480988880275909	0.5330950584348265	effect_size/se (Wald z)
THEM4	2.996575803048655	1.0479143952991654	0.007589052905429992	0.5330950584348265	effect_size/se (Wald z)
BAHD1	2.996133116023988	0.9988635838617208	0.007596422309279971	0.5330950584348265	effect_size/se (Wald z)
ERRFI1	2.9833686728539384	0.8570978023461606	0.007811919687173509	0.5330950584348265	effect_size/se (Wald z)
DCST1	2.982232771986512	0.8934551528699561	0.007831381119022906	0.5330950584348265	effect_size/se (Wald z)
PTGES2	2.9769424231179613	1.1160079218628889	0.007922641197938231	0.5330950584348265	effect_size/se (Wald z)
RPS13	2.974846628588441	1.3068205271513187	0.00795907833997112	0.5330950584348265	effect_size/se (Wald z)
KTI12	2.9744091110170983	1.4187581171706016	0.007966705395034353	0.5330950584348265	effect_size/se (Wald z)
SRSF7	2.9666018555069193	1.1538449484322	0.008104001542287628	0.5330950584348265	effect_size/se (Wald z)
SPEF1	2.965453459427408	0.7746445268686237	0.00812438913813337	0.5330950584348265	effect_size/se (Wald z)
SEMA4F	2.9632962972457086	1.18529784152705	0.008162819734200593	0.5330950584348265	effect_size/se (Wald z)
C14orf169	2.961816799433834	0.7532255459178492	0.008189279140373068	0.5330950584348265	effect_size/se (Wald z)
PBX1	2.957692487049469	0.6938253011644804	0.00826347737818612	0.5330950584348265	effect_size/se (Wald z)
TNRC18	2.9535866818736918	1.0173481799189386	0.008337988449234864	0.5330950584348265	effect_size/se (Wald z)
SPANXC	2.953553921052138	0.9737440139813449	0.008338585589388074	0.5330950584348265	effect_size/se (Wald z)
ZBTB24	2.951518613928691	0.7938886429318828	0.00837576488670012	0.5333407887687747	effect_size/se (Wald z)
GGTLC1	2.943478718066487	0.8092840735127815	0.00852420453439028	0.536365582528987	effect_size/se (Wald z)
GCNT1	2.9420414522386054	0.8340040940156195	0.008551007228325433	0.536365582528987	effect_size/se (Wald z)
PTPN12	2.9413647373279446	1.029603266349385	0.008563655063149298	0.536365582528987	effect_size/se (Wald z)
UBE2R2	2.938974445543921	0.8250216447666077	0.008608474633565733	0.5366954853684404	effect_size/se (Wald z)
WWC1	2.936743029651226	0.900692021002305	0.008650519729815983	0.5366954853684404	effect_size/se (Wald z)
OLAH	2.9335905404562634	0.8792152350479521	0.008710258389751549	0.5384856505482972	effect_size/se (Wald z)
ANKHD1-EIF4EBP3	2.926917431800263	0.8593458040528894	0.008838029365474034	0.5392074525517574	effect_size/se (Wald z)
AP3D1	2.923629923157718	0.7167974325435322	0.008901639587957233	0.5392074525517574	effect_size/se (Wald z)
C19orf24	2.9196256677545875	0.8048746714495989	0.00897971557848856	0.5392074525517574	effect_size/se (Wald z)
VPS51	2.917158248067802	0.8921086275505923	0.009028154775669367	0.5392074525517574	effect_size/se (Wald z)
TBX15	2.9139845453221453	0.8696903620541576	0.009090830399196094	0.5392074525517574	effect_size/se (Wald z)
CHP1	2.9126604891867047	0.9555426875014739	0.009117102401414313	0.5392074525517574	effect_size/se (Wald z)
SLC2A4RG	2.90546071038069	0.8644735218675415	0.00926124838396273	0.54388708025116	effect_size/se (Wald z)
ZXDC	2.9040961737431923	0.9015299761263256	0.009288814402312492	0.54388708025116	effect_size/se (Wald z)
TMEM232	2.903523406896827	0.9302156209931987	0.009300408863926529	0.54388708025116	effect_size/se (Wald z)
