gene	relationship_to_candidate	network_role	CRISPR_support	RNA_resistance_support	human_support	pathway	reason_for_interest
TFAP2C	direct_network_neighbor_of_CITED2	peripheral_connected_node	tolerance_associated_KO	consistent_down_(1/3_significant)	False	hallmark:HALLMARK_ESTROGEN_RESPONSE_EARLY;hallmark:HALLMARK_ESTROGEN_RESPONSE_LATE	direct curated network connection to CITED2
TGFBR2	direct_network_neighbor_of_CITED2	peripheral_connected_node	nonsignificant_tolerance_direction	consistent_up_(1/3_significant)	False	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_AORTA_DEVELOPMENT;go_bp:GOBP_ARTERY_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BONE_DEVELOPMENT	direct curated network connection to CITED2; leading-edge in 52 STRONG_CONSENSUS resistance pathways
TP53	direct_network_neighbor_of_CITED2	bridge_gene_high_betweenness	nonsignificant_tolerance_direction	consistent_down_(2/3_significant)	True	go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION;hallmark:HALLMARK_E2F_TARGETS;reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC	direct curated network connection to CITED2; high network betweenness (top decile) -- potential bridge between modules
TRIP12	direct_network_neighbor_of_USP34	peripheral_connected_node	nonsignificant_sensitising_direction	no_significant_resistance_dataset	False		direct curated network connection to USP34
UBA52	direct_network_neighbor_of_USP34	peripheral_connected_node	nonsignificant_tolerance_direction	no_significant_resistance_dataset	False	reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_M_PHASE	direct curated network connection to USP34
UBB	direct_network_neighbor_of_USP34	bridge_gene_high_betweenness	nonsignificant_tolerance_direction	no_significant_resistance_dataset	False	reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_M_PHASE	direct curated network connection to USP34; high network betweenness (top decile) -- potential bridge between modules
UBC	direct_network_neighbor_of_USP34	bridge_gene_high_betweenness	nonsignificant_tolerance_direction	no_significant_resistance_dataset	False		direct curated network connection to USP34; high network betweenness (top decile) -- potential bridge between modules
USP34	candidate_itself	candidate	sensitising_KO	consistent_up_(1/3_significant)	False	go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY;go_bp:GOBP_WNT_SIGNALING_PATHWAY	frozen therapeutic shortlist candidate; high network betweenness (top decile) -- potential bridge between modules
USP9X	direct_network_neighbor_of_USP34	peripheral_connected_node	nonsignificant_sensitising_direction	no_significant_resistance_dataset	False		direct curated network connection to USP34
VEZF1	candidate_itself	candidate	sensitising_KO	consistent_up_(1/3_significant)	True	go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;hallmark:HALLMARK_HEME_METABOLISM	frozen therapeutic shortlist candidate
WNT4	resistance_pathway_driver_not_candidate_connected	peripheral_connected_node	nonsignificant_sensitising_direction	consistent_up_(2/3_significant)	True	go_bp:GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION;go_bp:GOBP_ALCOHOL_METABOLIC_PROCESS;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BONE_MINERALIZATION	leading-edge in 68 STRONG_CONSENSUS resistance pathways
WNT5A	resistance_pathway_driver_not_candidate_connected	peripheral_connected_node	nonsignificant_tolerance_direction	consistent_up_(2/3_significant)	True	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_AXIS_ELONGATION;go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	leading-edge in 111 STRONG_CONSENSUS resistance pathways
WT1	direct_network_neighbor_of_CITED2	peripheral_connected_node	nonsignificant_sensitising_direction	no_significant_resistance_dataset	False		direct curated network connection to CITED2
