sample_id	patient	condition	pc	coordinate	variance_explained_fraction
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC12	0.008620576774463606	0.007874333700359039
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC13	-7.797272602804103	0.005533073337777701
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC14	0.2927944417702211	0.0041645278676772195
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC15	10.277260074439415	0.0037752758488097653
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC16	0.03032677563484667	0.002879275290069296
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC17	0.902764275221409	0.002495059927684848
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC18	-4.420673918231449	0.002097843106014032
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC19	-1.4144147471433273	0.0017461893343989024
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC20	4.162226778322726e-14	3.5201964713285813e-31
Tumor_04_Control	Tumor_04	Control	PC1	34.9775161304098	0.27643095563226966
Tumor_04_Control	Tumor_04	Control	PC2	-20.614580977396102	0.18404212207352638
Tumor_04_Control	Tumor_04	Control	PC3	0.24046872272047387	0.09843742107928984
Tumor_04_Control	Tumor_04	Control	PC4	24.952503745517156	0.0858769334995349
Tumor_04_Control	Tumor_04	Control	PC5	13.589870885697914	0.07149985330585715
Tumor_04_Control	Tumor_04	Control	PC6	0.9819800866367515	0.06911430523598003
Tumor_04_Control	Tumor_04	Control	PC7	30.71850140727906	0.058768003021911853
Tumor_04_Control	Tumor_04	Control	PC8	13.76764700642269	0.04432286151058951
Tumor_04_Control	Tumor_04	Control	PC9	8.763705258932797	0.040859587808006546
Tumor_04_Control	Tumor_04	Control	PC10	34.77498999846375	0.024747256159159507
Tumor_04_Control	Tumor_04	Control	PC11	-6.780835098925968	0.015335122261083719
Tumor_04_Control	Tumor_04	Control	PC12	-3.7818191104646846	0.007874333700359039
Tumor_04_Control	Tumor_04	Control	PC13	1.6055076595972533	0.005533073337777701
Tumor_04_Control	Tumor_04	Control	PC14	0.8574114904049427	0.0041645278676772195
Tumor_04_Control	Tumor_04	Control	PC15	0.7402440838487743	0.0037752758488097653
Tumor_04_Control	Tumor_04	Control	PC16	-0.10757027714234453	0.002879275290069296
Tumor_04_Control	Tumor_04	Control	PC17	-0.15601523717351634	0.002495059927684848
Tumor_04_Control	Tumor_04	Control	PC18	-0.22700351680691871	0.002097843106014032
Tumor_04_Control	Tumor_04	Control	PC19	-0.596229098916387	0.0017461893343989024
Tumor_04_Control	Tumor_04	Control	PC20	4.1622267783227314e-14	3.5201964713285813e-31
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC1	55.64622086718996	0.27643095563226966
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC2	-34.72731711987546	0.18404212207352638
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC3	7.585505631354794	0.09843742107928984
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC4	41.24089295949533	0.0858769334995349
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC5	22.237710479377178	0.07149985330585715
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC6	0.9002213516438701	0.06911430523598003
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC7	18.67033118686569	0.058768003021911853
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC8	7.095385576529481	0.04432286151058951
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC9	8.853896845589054	0.040859587808006546
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC10	-28.03146238850319	0.024747256159159507
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC11	8.991249552931535	0.015335122261083719
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC12	3.5755082538753307	0.007874333700359039
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC13	-1.4617068848332615	0.005533073337777701
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC14	-0.8776488167390518	0.0041645278676772195
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC15	-0.29821369232686396	0.0037752758488097653
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC16	0.010118338786985058	0.002879275290069296
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC17	0.27474040365856744	0.002495059927684848
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC18	0.35774162365348383	0.002097843106014032
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC19	0.44773290589767273	0.0017461893343989024
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	PC20	4.162226778322729e-14	3.5201964713285813e-31
Tumor_05_Control	Tumor_05	Control	PC1	50.70305934786887	0.27643095563226966
Tumor_05_Control	Tumor_05	Control	PC2	39.27757101188286	0.18404212207352638
Tumor_05_Control	Tumor_05	Control	PC3	0.23064995747105105	0.09843742107928984
Tumor_05_Control	Tumor_05	Control	PC4	-23.009006130191278	0.0858769334995349
Tumor_05_Control	Tumor_05	Control	PC5	5.745694787088062	0.07149985330585715
Tumor_05_Control	Tumor_05	Control	PC6	-14.749385069415478	0.06911430523598003
Tumor_05_Control	Tumor_05	Control	PC7	-17.506474794952023	0.058768003021911853
Tumor_05_Control	Tumor_05	Control	PC8	12.904301729441425	0.04432286151058951
Tumor_05_Control	Tumor_05	Control	PC9	9.788339053647055	0.040859587808006546
Tumor_05_Control	Tumor_05	Control	PC10	10.152483209884373	0.024747256159159507
Tumor_05_Control	Tumor_05	Control	PC11	18.500387184050435	0.015335122261083719
Tumor_05_Control	Tumor_05	Control	PC12	10.0169623085336	0.007874333700359039
Tumor_05_Control	Tumor_05	Control	PC13	-2.8503487549432016	0.005533073337777701
Tumor_05_Control	Tumor_05	Control	PC14	7.579151679136129	0.0041645278676772195
Tumor_05_Control	Tumor_05	Control	PC15	-0.7387251041765115	0.0037752758488097653
Tumor_05_Control	Tumor_05	Control	PC16	0.31108912066592237	0.002879275290069296
Tumor_05_Control	Tumor_05	Control	PC17	0.104080913300026	0.002495059927684848
Tumor_05_Control	Tumor_05	Control	PC18	0.22321411965638113	0.002097843106014032
Tumor_05_Control	Tumor_05	Control	PC19	-0.25397470926071586	0.0017461893343989024
Tumor_05_Control	Tumor_05	Control	PC20	4.1622267783227245e-14	3.5201964713285813e-31
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC1	65.8556022413859	0.27643095563226966
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC2	27.24646125169317	0.18404212207352638
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC3	1.4477569169796003	0.09843742107928984
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC4	-20.259375946625546	0.0858769334995349
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC5	15.944144188463769	0.07149985330585715
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC6	-9.859983562145947	0.06911430523598003
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC7	-28.401448920936264	0.058768003021911853
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC8	13.023483531323796	0.04432286151058951
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC9	13.415410131539877	0.040859587808006546
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC10	-6.20358859760451	0.024747256159159507
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC11	-15.299703918393218	0.015335122261083719
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC12	-7.1975831471649565	0.007874333700359039
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC13	2.8200348162369715	0.005533073337777701
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC14	-8.347361116218954	0.0041645278676772195
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC15	1.1397559284407108	0.0037752758488097653
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC16	0.08251615866880273	0.002879275290069296
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC17	0.2023881184478404	0.002495059927684848
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC18	-0.3118990303598678	0.002097843106014032
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC19	0.38839040880585163	0.0017461893343989024
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	PC20	4.1622267783227314e-14	3.5201964713285813e-31
Tumor_06_Control	Tumor_06	Control	PC1	9.169581417454689	0.27643095563226966
Tumor_06_Control	Tumor_06	Control	PC2	3.293812526135266	0.18404212207352638
Tumor_06_Control	Tumor_06	Control	PC3	-5.781566436308053	0.09843742107928984
Tumor_06_Control	Tumor_06	Control	PC4	3.983141995705173	0.0858769334995349
Tumor_06_Control	Tumor_06	Control	PC5	-12.239776184677519	0.07149985330585715
Tumor_06_Control	Tumor_06	Control	PC6	48.39103444314613	0.06911430523598003
Tumor_06_Control	Tumor_06	Control	PC7	-10.761090804171596	0.058768003021911853
Tumor_06_Control	Tumor_06	Control	PC8	0.37243435615605913	0.04432286151058951
Tumor_06_Control	Tumor_06	Control	PC9	-13.392014346917954	0.040859587808006546
Tumor_06_Control	Tumor_06	Control	PC10	8.713285931714095	0.024747256159159507
Tumor_06_Control	Tumor_06	Control	PC11	14.922926591453114	0.015335122261083719
Tumor_06_Control	Tumor_06	Control	PC12	2.666514437569295	0.007874333700359039
Tumor_06_Control	Tumor_06	Control	PC13	0.6172818355900901	0.005533073337777701
Tumor_06_Control	Tumor_06	Control	PC14	-10.653740635097405	0.0041645278676772195
Tumor_06_Control	Tumor_06	Control	PC15	2.0242646110946962	0.0037752758488097653
Tumor_06_Control	Tumor_06	Control	PC16	-1.85480428212334	0.002879275290069296
Tumor_06_Control	Tumor_06	Control	PC17	-0.7382203079054954	0.002495059927684848
Tumor_06_Control	Tumor_06	Control	PC18	1.411231272531425	0.002097843106014032
Tumor_06_Control	Tumor_06	Control	PC19	-1.3310450902345725	0.0017461893343989024
Tumor_06_Control	Tumor_06	Control	PC20	4.1622267783227264e-14	3.5201964713285813e-31
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC1	27.269583512823456	0.27643095563226966
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC2	-6.179431441538608	0.18404212207352638
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC3	-4.634264437778843	0.09843742107928984
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC4	2.900108885560402	0.0858769334995349
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC5	-3.9250108973501616	0.07149985330585715
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC6	50.20148777735533	0.06911430523598003
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC7	-16.82018549447133	0.058768003021911853
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC8	-0.5033540255476091	0.04432286151058951
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC9	-9.041632805972387	0.040859587808006546
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC10	-4.960141374815852	0.024747256159159507
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC11	-12.655255312421085	0.015335122261083719
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC12	-2.7246418925662597	0.007874333700359039
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC13	-1.1179088392805756	0.005533073337777701
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC14	11.194568516965685	0.0041645278676772195
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC15	-2.1615956280610624	0.0037752758488097653
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC16	1.6856393100628926	0.002879275290069296
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC17	0.8657430838766529	0.002495059927684848
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC18	-1.0451503580078478	0.002097843106014032
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC19	1.3526878251739678	0.0017461893343989024
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	PC20	4.1622267783227226e-14	3.5201964713285813e-31
Tumor_07_Control	Tumor_07	Control	PC1	-40.45790219715577	0.27643095563226966
Tumor_07_Control	Tumor_07	Control	PC2	15.421484734453555	0.18404212207352638
Tumor_07_Control	Tumor_07	Control	PC3	-19.703014846344555	0.09843742107928984
Tumor_07_Control	Tumor_07	Control	PC4	-15.932391390071967	0.0858769334995349
Tumor_07_Control	Tumor_07	Control	PC5	41.91834428993411	0.07149985330585715
Tumor_07_Control	Tumor_07	Control	PC6	2.218961721441143	0.06911430523598003
Tumor_07_Control	Tumor_07	Control	PC7	9.346124655131797	0.058768003021911853
Tumor_07_Control	Tumor_07	Control	PC8	-7.189172574051234	0.04432286151058951
Tumor_07_Control	Tumor_07	Control	PC9	-10.286604444060877	0.040859587808006546
Tumor_07_Control	Tumor_07	Control	PC10	-3.83602610792969	0.024747256159159507
Tumor_07_Control	Tumor_07	Control	PC11	3.23595887514682	0.015335122261083719
Tumor_07_Control	Tumor_07	Control	PC12	-1.6077410487014012	0.007874333700359039
Tumor_07_Control	Tumor_07	Control	PC13	9.718182798222093	0.005533073337777701
Tumor_07_Control	Tumor_07	Control	PC14	3.0398110286221054	0.0041645278676772195
Tumor_07_Control	Tumor_07	Control	PC15	5.561759400767532	0.0037752758488097653
Tumor_07_Control	Tumor_07	Control	PC16	-5.182059865522079	0.002879275290069296
Tumor_07_Control	Tumor_07	Control	PC17	5.1519581003125525	0.002495059927684848
Tumor_07_Control	Tumor_07	Control	PC18	0.9178368843721042	0.002097843106014032
Tumor_07_Control	Tumor_07	Control	PC19	0.2967404380769087	0.0017461893343989024
Tumor_07_Control	Tumor_07	Control	PC20	4.1622267783227314e-14	3.5201964713285813e-31
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC1	-43.55021819802334	0.27643095563226966
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC2	16.787079531043254	0.18404212207352638
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC3	-21.129381217983838	0.09843742107928984
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC4	-16.052041402020716	0.0858769334995349
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC5	40.957075913873204	0.07149985330585715
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC6	4.252043927466855	0.06911430523598003
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC7	12.219203233721343	0.058768003021911853
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC8	-3.3361990983074152	0.04432286151058951
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC9	-8.861888581201146	0.040859587808006546
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC10	-0.27415097876831745	0.024747256159159507
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC11	-3.4678265824380374	0.015335122261083719
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC12	2.71109758332991	0.007874333700359039
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC13	-9.085782951786905	0.005533073337777701
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC14	-3.160989104802255	0.0041645278676772195
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC15	-5.833786125019366	0.0037752758488097653
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC16	5.43990706478452	0.002879275290069296
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC17	-4.965777095214413	0.002495059927684848
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC18	-1.1552539852160983	0.002097843106014032
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC19	-0.7110121510702909	0.0017461893343989024
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC20	4.162226778322728e-14	3.5201964713285813e-31
Tumor_08_Control	Tumor_08	Control	PC1	-48.03742041459794	0.27643095563226966
Tumor_08_Control	Tumor_08	Control	PC2	25.612474844308565	0.18404212207352638
Tumor_08_Control	Tumor_08	Control	PC3	44.33651384569018	0.09843742107928984
Tumor_08_Control	Tumor_08	Control	PC4	26.92082214588377	0.0858769334995349
Tumor_08_Control	Tumor_08	Control	PC5	6.340141829709297	0.07149985330585715
Tumor_08_Control	Tumor_08	Control	PC6	-2.755456029211912	0.06911430523598003
Tumor_08_Control	Tumor_08	Control	PC7	-16.392566149739473	0.058768003021911853
Tumor_08_Control	Tumor_08	Control	PC8	-5.389421351176808	0.04432286151058951
Tumor_08_Control	Tumor_08	Control	PC9	4.207885919579011	0.040859587808006546
Tumor_08_Control	Tumor_08	Control	PC10	0.8067200547554945	0.024747256159159507
Tumor_08_Control	Tumor_08	Control	PC11	3.8103312438973225	0.015335122261083719
Tumor_08_Control	Tumor_08	Control	PC12	-3.3397468167411746	0.007874333700359039
Tumor_08_Control	Tumor_08	Control	PC13	5.960412488690312	0.005533073337777701
Tumor_08_Control	Tumor_08	Control	PC14	2.181536190489657	0.0041645278676772195
Tumor_08_Control	Tumor_08	Control	PC15	3.789856597420067	0.0037752758488097653
Tumor_08_Control	Tumor_08	Control	PC16	0.993804530818728	0.002879275290069296
