sample_id_1	sample_id_2	correlation
Tumor_06_Control	Tumor_05_Control	0.9433205411910113
Tumor_06_Tamoxifen	Tumor_05_Control	0.9402573300968865
Tumor_07_Control	Tumor_05_Control	0.9264678280015979
Tumor_07_Tamoxifen	Tumor_05_Control	0.9260739914144891
Tumor_08_Control	Tumor_05_Control	0.92437507984615
Tumor_08_Tamoxifen	Tumor_05_Control	0.9197347649235901
Tumor_09_Control	Tumor_05_Control	0.9274073972790017
Tumor_09_Tamoxifen	Tumor_05_Control	0.9309476985457056
Tumor_10_Control	Tumor_05_Control	0.9244196343903954
Tumor_10_Tamoxifen	Tumor_05_Control	0.914429486731356
Tumor_01_Control	Tumor_05_Tamoxifen	0.9349141112167463
Tumor_01_Tamoxifen	Tumor_05_Tamoxifen	0.9382270586521039
Tumor_02_Control	Tumor_05_Tamoxifen	0.9146174319326034
Tumor_02_Tamoxifen	Tumor_05_Tamoxifen	0.9141095559423753
Tumor_03_Control	Tumor_05_Tamoxifen	0.9260941704179624
Tumor_03_Tamoxifen	Tumor_05_Tamoxifen	0.9234626706137796
Tumor_04_Control	Tumor_05_Tamoxifen	0.9050424083231841
Tumor_04_Tamoxifen	Tumor_05_Tamoxifen	0.8951256052709634
Tumor_05_Control	Tumor_05_Tamoxifen	0.950760149102613
Tumor_05_Tamoxifen	Tumor_05_Tamoxifen	1.0
Tumor_06_Control	Tumor_05_Tamoxifen	0.9319855730259842
Tumor_06_Tamoxifen	Tumor_05_Tamoxifen	0.9383364548693409
Tumor_07_Control	Tumor_05_Tamoxifen	0.9156801617844227
Tumor_07_Tamoxifen	Tumor_05_Tamoxifen	0.9130248927172938
Tumor_08_Control	Tumor_05_Tamoxifen	0.9165738137217555
Tumor_08_Tamoxifen	Tumor_05_Tamoxifen	0.9106544682021805
Tumor_09_Control	Tumor_05_Tamoxifen	0.9203746498277439
Tumor_09_Tamoxifen	Tumor_05_Tamoxifen	0.9243745885991269
Tumor_10_Control	Tumor_05_Tamoxifen	0.9252308567915106
Tumor_10_Tamoxifen	Tumor_05_Tamoxifen	0.9174961737681552
Tumor_01_Control	Tumor_06_Control	0.9489583611559932
Tumor_01_Tamoxifen	Tumor_06_Control	0.948075630520978
Tumor_02_Control	Tumor_06_Control	0.9370839128158204
Tumor_02_Tamoxifen	Tumor_06_Control	0.9350729708799007
Tumor_03_Control	Tumor_06_Control	0.9430538247512555
Tumor_03_Tamoxifen	Tumor_06_Control	0.9449046007634649
Tumor_04_Control	Tumor_06_Control	0.9060440025315355
Tumor_04_Tamoxifen	Tumor_06_Control	0.8851581011519034
Tumor_05_Control	Tumor_06_Control	0.9433205411910113
Tumor_05_Tamoxifen	Tumor_06_Control	0.9319855730259842
Tumor_06_Control	Tumor_06_Control	1.0
Tumor_06_Tamoxifen	Tumor_06_Control	0.964878940465331
Tumor_07_Control	Tumor_06_Control	0.9351455480678924
Tumor_07_Tamoxifen	Tumor_06_Control	0.9355319462321156
Tumor_08_Control	Tumor_06_Control	0.9361101798522875
Tumor_08_Tamoxifen	Tumor_06_Control	0.9332915972977831
Tumor_09_Control	Tumor_06_Control	0.9453616873507869
Tumor_09_Tamoxifen	Tumor_06_Control	0.9469137235799475
Tumor_10_Control	Tumor_06_Control	0.9249511123471934
Tumor_10_Tamoxifen	Tumor_06_Control	0.916630069126175
Tumor_01_Control	Tumor_06_Tamoxifen	0.9443257098345236
Tumor_01_Tamoxifen	Tumor_06_Tamoxifen	0.9452891646886903
Tumor_02_Control	Tumor_06_Tamoxifen	0.9332190592170945
Tumor_02_Tamoxifen	Tumor_06_Tamoxifen	0.932630610513439
Tumor_03_Control	Tumor_06_Tamoxifen	0.9417220674594932
Tumor_03_Tamoxifen	Tumor_06_Tamoxifen	0.9420592193387991
Tumor_04_Control	Tumor_06_Tamoxifen	0.9079087435462312
Tumor_04_Tamoxifen	Tumor_06_Tamoxifen	0.8919477624692124
Tumor_05_Control	Tumor_06_Tamoxifen	0.9402573300968865
Tumor_05_Tamoxifen	Tumor_06_Tamoxifen	0.9383364548693409
Tumor_06_Control	Tumor_06_Tamoxifen	0.964878940465331
Tumor_06_Tamoxifen	Tumor_06_Tamoxifen	1.0
Tumor_07_Control	Tumor_06_Tamoxifen	0.9315740909205518
Tumor_07_Tamoxifen	Tumor_06_Tamoxifen	0.9313270876450124
Tumor_08_Control	Tumor_06_Tamoxifen	0.9296963032281945
Tumor_08_Tamoxifen	Tumor_06_Tamoxifen	0.9277206902922813
Tumor_09_Control	Tumor_06_Tamoxifen	0.9429695466513163
Tumor_09_Tamoxifen	Tumor_06_Tamoxifen	0.946097587735942
Tumor_10_Control	Tumor_06_Tamoxifen	0.9287375272166526
Tumor_10_Tamoxifen	Tumor_06_Tamoxifen	0.9231229861162847
Tumor_01_Control	Tumor_07_Control	0.9351950755347375
Tumor_01_Tamoxifen	Tumor_07_Control	0.9315084301779791
Tumor_02_Control	Tumor_07_Control	0.9348136248756959
Tumor_02_Tamoxifen	Tumor_07_Control	0.9338747477559753
Tumor_03_Control	Tumor_07_Control	0.9330795590247386
Tumor_03_Tamoxifen	Tumor_07_Control	0.9363702944157052
Tumor_04_Control	Tumor_07_Control	0.9033158913577407
Tumor_04_Tamoxifen	Tumor_07_Control	0.8839675927802342
Tumor_05_Control	Tumor_07_Control	0.9264678280015979
Tumor_05_Tamoxifen	Tumor_07_Control	0.9156801617844227
Tumor_06_Control	Tumor_07_Control	0.9351455480678924
Tumor_06_Tamoxifen	Tumor_07_Control	0.9315740909205518
Tumor_07_Control	Tumor_07_Control	1.0
Tumor_07_Tamoxifen	Tumor_07_Control	0.9565568971799533
Tumor_08_Control	Tumor_07_Control	0.9310867402560087
Tumor_08_Tamoxifen	Tumor_07_Control	0.9307785727766632
Tumor_09_Control	Tumor_07_Control	0.9375239719903575
Tumor_09_Tamoxifen	Tumor_07_Control	0.9381608141064525
Tumor_10_Control	Tumor_07_Control	0.9117351925385944
Tumor_10_Tamoxifen	Tumor_07_Control	0.9079563173634841
Tumor_01_Control	Tumor_07_Tamoxifen	0.9374006233752414
Tumor_01_Tamoxifen	Tumor_07_Tamoxifen	0.930608507904056
Tumor_02_Control	Tumor_07_Tamoxifen	0.9362141464480874
Tumor_02_Tamoxifen	Tumor_07_Tamoxifen	0.936346748604752
Tumor_03_Control	Tumor_07_Tamoxifen	0.9328412945603127
Tumor_03_Tamoxifen	Tumor_07_Tamoxifen	0.9403896862140253
Tumor_04_Control	Tumor_07_Tamoxifen	0.9012837980861886
Tumor_04_Tamoxifen	Tumor_07_Tamoxifen	0.877898846545429
Tumor_05_Control	Tumor_07_Tamoxifen	0.9260739914144891
Tumor_05_Tamoxifen	Tumor_07_Tamoxifen	0.9130248927172938
Tumor_06_Control	Tumor_07_Tamoxifen	0.9355319462321156
Tumor_06_Tamoxifen	Tumor_07_Tamoxifen	0.9313270876450124
Tumor_07_Control	Tumor_07_Tamoxifen	0.9565568971799533
Tumor_07_Tamoxifen	Tumor_07_Tamoxifen	1.0
Tumor_08_Control	Tumor_07_Tamoxifen	0.9307830960937341
Tumor_08_Tamoxifen	Tumor_07_Tamoxifen	0.9330656387424993
Tumor_09_Control	Tumor_07_Tamoxifen	0.9377366400562214
Tumor_09_Tamoxifen	Tumor_07_Tamoxifen	0.9412129610157535
Tumor_10_Control	Tumor_07_Tamoxifen	0.9087074600656411
Tumor_10_Tamoxifen	Tumor_07_Tamoxifen	0.9050707358085135
Tumor_01_Control	Tumor_08_Control	0.9343965794103789
