sample_id	patient	condition	threshold_group	n_cells	cnv_score_threshold	correlation_threshold	median_cnv_score	min_cnv_score	max_cnv_score	median_correlation	min_correlation	max_correlation	malignant_count	fails_cnv_score_only_count	fails_correlation_only_count	fails_both_count	passes_both_count	n_seed_cells	seed_mean_cnv_score	seed_margin_above_cnv_threshold	median_cnv_score_gap_below_threshold	median_correlation_gap_below_threshold
Tumor_02_Control	Tumor_02	Control	17	25	0.01	0.2	0.0024104428973621	0.0005473879381861	0.0082397689446147	0.0974607562094904	-0.0965874105963276	0.709968123462205	0	8	0	17	0	2	0.00701693888224505	-0.0029830611177549503	0.0075895571026379	0.1617254122540816
Tumor_02_Control	Tumor_02	Control	23	160	0.01	0.4	0.015050743539905001	0.0031063120632946	0.0258308848443459	0.602394141374199	0.34287010257501	0.723540546910862	131	26	0	3	131	8	0.023349052099073425	0.013349052099073425	0.0019336806383343005	0.047303338042068044
Tumor_02_Control	Tumor_02	Control	3	110	0.01	0.2	0.0027128059940058997	0.0004965650905166	0.0099283289609666	0.2191508869513405	0.0986723795128701	0.444784395815832	0	71	0	39	0	6	0.00709320247016395	-0.00290679752983605	0.0072871940059941005	0.029989140209966014
Tumor_02_Control	Tumor_02	Control	8	47	0.01	0.2	0.0017717668780348	0.0005390223746071	0.0156511932623003	0.023707838219218	-0.271948434882389	0.821002860150888	1	4	0	42	1	2	0.01063091898324405	0.0006309189832440498	0.008306795528513801	0.18290814049940152
Tumor_02_Control	Tumor_02	Control	whole_sample_pooled	13	0.01	0.2	0.0051271363706894	0.0025458487910681	0.0169907216707652	0.0952072813396678	-0.0799605335264057	0.754480599393264	2	3	0	8	2	2	0.0150792740100278	0.0050792740100278	0.0056228773574272	0.15144405081267037
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	17	19	0.01	0.2	0.0021824015161119	0.0005852552449751	0.0074174755653554	0.0461968803626116	-0.182528942711277	0.710477288730194	0	3	0	16	0	2	0.007305435723770751	-0.0026945642762292495	0.0078175984838881	0.1971027273529804
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	23	202	0.01	0.4	0.01732438255172255	0.0022782826621314	0.042476182818896	0.574069091532575	0.267368520738568	0.726985348961318	180	11	3	8	180	10	0.03086991643715591	0.02086991643715591	0.0028406991156275	0.03234150311059203
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	3	64	0.01	0.2	0.003135107120253	0.0008883773089573	0.0088646118689439	0.1962169427119935	0.0308192512011437	0.573863072873058	0	30	0	34	0	3	0.008286701585077366	-0.0017132984149226347	0.006864892879747	0.054070880688939005
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	8	32	0.01	0.2	0.00208364716059865	0.0008024886370638	0.0060435583325137	0.17899271598676	0.0872438458815925	0.735109919431153	0	10	0	22	0	2	0.0054590295925832	-0.0045409704074168	0.00791635283940135	0.03372919677403251
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	whole_sample_pooled	8	0.01	0.2	0.00586423773513015	0.0026918515296471	0.0161023446852414	0.1436872331549815	-0.167184087119033	0.747390680629543	3	0	0	5	3	2	0.0157867845641661	0.005786784564166101	0.0052065118935827005	0.09279102170455401
Tumor_03_Control	Tumor_03	Control	14	12	0.01	0.24139669359155508	0.00960349128541595	0.006043260722006	0.0124617967580246	0.4455909819489	0.30165282629939	0.780322149552705	5	7	0	0	5	2	0.01213893559107665	0.0021389355910766492	0.0018957547334620007	
Tumor_03_Control	Tumor_03	Control	16	348	0.01	0.4	0.01179910043303215	0.0018060271371216	0.0315055571496495	0.5599389537590784	0.232203931298398	0.681006809170808	259	75	3	11	259	17	0.020021590382591437	0.010021590382591436	0.0017494228430716	0.048111494173570024
Tumor_03_Control	Tumor_03	Control	17	43	0.01	0.2	0.0035899010928224	0.0008989169614571	0.0104990916916057	0.155926838935552	-0.025217062800468	0.704566473825994	1	12	0	30	1	2	0.009926836791994	-7.316320800600067e-05	0.0064793965756164505	0.0657585944839565
Tumor_03_Control	Tumor_03	Control	3	41	0.01	0.2	0.002714702383096	0.0011111859904215	0.0113467514522065	0.178530213064379	0.0144382741538666	0.727177060638368	1	15	0	25	1	2	0.0093625835313694	-0.0006374164686305996	0.00730343493626975	0.06724808515984002
Tumor_03_Control	Tumor_03	Control	8	53	0.01	0.2	0.0022332429974817	0.0007348204017948	0.0128085407253276	0.224482370200016	-0.0335744763676566	0.769991110718475	1	28	0	24	1	3	0.0089408378844591	-0.0010591621155409004	0.0077774688228402005	0.07378869114774
Tumor_03_Control	Tumor_03	Control	whole_sample_pooled	16	0.01	0.2	0.0108052879319714	0.0033352836991215	0.0157332738034046	0.4286029028252265	0.054817136865057	0.82983282910802	9	3	0	4	9	2	0.01558028563344795	0.005580285633447949	0.0036383148974917	0.07960063244393101
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	16	766	0.01	0.4	0.011856886618094201	0.0011689526148246	0.0252276794149071	0.6086308284677915	-0.0136857146344008	0.694938744441469	556	158	2	50	556	38	0.01827967737555105	0.00827967737555105	0.0030697511438789	0.059995825737258535
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	17	91	0.01	0.2	0.0033072881340825	0.0007159918556489	0.0080306686820645	0.169887777777849	0.0049029768615553	0.476711344608552	0	24	0	67	0	5	0.0072852711488403405	-0.0027147288511596597	0.0066927118659175	0.05471080239057202
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	18	10	0.01	0.2	0.00642051649495725	0.0031082705384976	0.0168236013572426	0.197668399709875	0.0927112551733072	0.821113801255985	2	3	0	5	2	2	0.0155477977865539	0.0055477977865539	0.0045048367173638	0.066392305578792
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	25	18	0.01	0.3251214482879121	0.011835076514194801	0.0018228766055086	0.0227769732716268	0.5695233389020895	0.0276836918713958	0.829090457158803	15	2	0	1	15	2	0.0193102592696173	0.0093102592696173	0.002081157480899801	0.2974377564165163
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	3	78	0.01	0.2	0.0038283881732807503	0.0012577988628796	0.0127608754513397	0.2121293996485395	0.0128101267388915	0.586228431087785	3	40	0	35	3	4	0.011175828756775849	0.0011758287567758489	0.006254463364561	0.06992776023319702
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	8	134	0.01	0.2	0.0025361714579418	0.0006218028856646	0.0138157823427726	0.1860749235640245	0.0662294971695949	0.60849662000508	1	55	0	78	1	7	0.009468239466806302	-0.0005317605331936984	0.0074662364662002	0.04595051419129052
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	whole_sample_pooled	8	0.01	0.2	0.011610706256209049	0.0019851273198954	0.0153354937928443	0.4185054149604505	0.0431681715819569	0.789374289512325	5	1	0	2	5	2	0.01459577983543775	0.00459577983543775	0.0055732605362436	0.1556173120745082
Tumor_04_Control	Tumor_04	Control	1	54	0.01	0.4	0.00447081823325775	0.0022642902698691	0.0078022072840803	0.55653566348116	0.324803977575704	0.802523353922446	0	53	0	1	0	3	0.007481651701599333	-0.002518348298400667	0.005529181766742251	0.07519602242429602
Tumor_04_Control	Tumor_04	Control	17	47	0.01	0.2	0.0019487469008765	0.0003421906714383	0.009748450116623	0.0749080575049501	-0.206981585422443	0.767050473337061	0	7	0	40	0	2	0.00791531820144565	-0.002084681798554351	0.0080512530991235	0.1526885274872551
Tumor_04_Control	Tumor_04	Control	3	19	0.01	0.2	0.0027681961987002	0.0012961619446518	0.0046612529123915	0.270169336348368	0.13855392837539	0.612150264665715	0	13	0	6	0	2	0.00448880056499975	-0.00551119943500025	0.0072318038012998	0.042379246302522
