gene_symbol	crispr_effect_size	crispr_se	crispr_p_value	crispr_fdr	crispr_n_guides	gse118713_gene_id	mapping_status	passed_gse118713_expression_filter	mcf7_baseline_log2_tpm_plus1	tamr_vs_mcf7_log2fc	tamr_vs_mcf7_fdr	tamr_vs_fasr_log2fc	tamr_vs_fasr_fdr	gse118713_de_na_reason
EIF4ENIF1	-1.5506541534723945	0.28113385712138034	2.8211529650492784e-05	0.03725756602297225	4	ENSG00000184708	unique_filtered	True	4.04758490675983	0.53145903933498	0.0529761966227399	1.20505283442699	0.0003365029185869	
HMGB1	-1.4740651006700034	0.2649943858265333	2.5518082462345876e-05	0.03725756602297225	4	ENSG00000189403	unique_filtered	True	10.469741756796765	-0.0794061555047225	0.731817935481985	1.05475404542941	0.0001938243914095	
ICK	-1.2245539921905229	0.22269641614348112	2.9255273535286798e-05	0.03725756602297225	4	ENSG00000112144	unique_filtered	True	2.951234890613648	0.106733026979587	0.663325990388587	0.159263852234927	0.423799941945006	
SUPT4H1	-1.6837884606622353	0.30527647094965527	2.8217361523605968e-05	0.03725756602297225	4	ENSG00000213246	unique_filtered	True	7.3063905623168415	0.037335300465398	0.893464168113869	0.373784354127678	0.0738408348576582	
VEZF1	-1.6024453888335461	0.28754791555485265	2.4970007416788175e-05	0.03725756602297225	4	ENSG00000136451	unique_filtered	True	4.845240317115391	0.426552278550176	0.237500391027449	1.74439416761153	0.0002282310194573	
DPP9	1.3751072314321586	0.2552170286595512	3.712159796876289e-05	0.041685180362283594	4	ENSG00000142002	unique_filtered	True	6.08291025086847	-1.04265717095817	0.0021070783203592	0.676227309284662	0.011976425706191	
KDM6A	2.259563025014412	0.4180064698868579	3.574163466644781e-05	0.041685180362283594	4	ENSG00000147050	unique_filtered	True	3.5035409407886657	0.146645780508053	0.562375182137919	0.540107592718189	0.0207509351634456	
USP34	-1.3912980676838433	0.25948255676381454	3.927829380312541e-05	0.041685180362283594	4	ENSG00000115464	unique_filtered	True	5.109054966421399	0.59043743680722	0.0073136129571408	0.0195025681205161	0.911804815437693	
PET117	-1.8279505886266572	0.34420355255946566	4.3870788416384545e-05	0.0419031835559097	4	ENSG00000232838	unique_filtered	True	4.123281251519637	-0.0587411607946393	0.783384004604077	0.350248005764481	0.0464064807500342	
RASA2	1.2969414819378677	0.24330787961346043	4.2032356836587575e-05	0.0419031835559097	4	ENSG00000155903	unique_filtered	True	2.0664192437536517	0.0429116506321203	0.887661109172611	-0.0771099320565356	0.73459294427115	
CUX1	1.2655384098421134	0.24080756354096028	4.9454803051576474e-05	0.04498738584258406	4	ENSG00000257923	unique_filtered	True	5.784972599847112	-0.899390794469495	0.0007915850161576	-0.580034589771422	0.005540506700525	
TFAP2C	1.5406554782432211	0.2961598717803768	5.5526768794193315e-05	0.0482149029216125	4	ENSG00000087510	unique_filtered	True	6.761150819545087	-1.09359983284206	0.0009588641192333	-0.463199077740875	0.0454848684305003	
PTPN3	1.6135574502712569	0.32238671192515855	8.542657956093207e-05	0.0679959978896869	4	ENSG00000070159	unique_filtered	True	3.8546430873581006	-0.0998815631979553	0.668967577840781	0.443349480495832	0.0306643174549473	
TSR3	-1.6187529731582497	0.32254943060348323	8.291733910908465e-05	0.0679959978896869	4	ENSG00000007520	unique_filtered	True	5.905061744010752	-0.467160834528707	0.191021924209089	-0.574859650108748	0.0726153468271875	
CTDNEP1	-1.3929700500469568	0.27979298663795105	9.053999047143436e-05	0.06918341751903241	4	ENSG00000175826	unique_filtered	True	6.952592037261899	-0.354663041745844	0.253497428185738	0.884640254256559	0.0057909543819809	
ILK	2.1731202681634	0.44465925460643707	0.00011073104197827216	0.07834426277447899	4	ENSG00000166333	unique_filtered	True	5.920746048376561	-0.111553835025371	0.63005758396133	-0.0511507652469909	0.795684612241113	
SPRED2	1.6872268467811598	0.3441969769088254	0.00010718338069095832	0.07834426277447899	4	ENSG00000198369	unique_filtered	True	4.585238179529042	0.405154932775937	0.123396149990115	2.38307063443568	2.74271876187841e-06	
TSC1	1.2814671009362222	0.2644995583719875	0.00012156765041788631	0.08293952949760293	4	ENSG00000165699	unique_filtered	True	3.2846627713189407	-0.282165443386706	0.303619822504269	-0.208456133486715	0.376922215376715	
