cluster	patient	condition	n_cells
6	Tumor_06	Control	4
7	Tumor_06	Control	41
8	Tumor_06	Control	561
9	Tumor_06	Control	28
10	Tumor_06	Control	114
12	Tumor_06	Control	129
13	Tumor_06	Control	55
14	Tumor_06	Control	1
15	Tumor_06	Control	7
16	Tumor_06	Control	1
17	Tumor_06	Control	17
18	Tumor_06	Control	283
19	Tumor_06	Control	13
20	Tumor_06	Control	4
22	Tumor_06	Control	3
25	Tumor_06	Control	71
0	Tumor_07	Control	112
3	Tumor_07	Control	58
8	Tumor_07	Control	1
9	Tumor_07	Control	172
10	Tumor_07	Control	342
12	Tumor_07	Control	91
13	Tumor_07	Control	132
14	Tumor_07	Control	13
15	Tumor_07	Control	40
16	Tumor_07	Control	7
17	Tumor_07	Control	13
18	Tumor_07	Control	12
19	Tumor_07	Control	189
20	Tumor_07	Control	53
21	Tumor_07	Control	252
22	Tumor_07	Control	21
23	Tumor_07	Control	1
24	Tumor_07	Control	63
25	Tumor_07	Control	3
26	Tumor_07	Control	29
28	Tumor_07	Control	5
0	Tumor_08	Control	114
3	Tumor_08	Control	16
7	Tumor_08	Control	1
8	Tumor_08	Control	1
9	Tumor_08	Control	8
10	Tumor_08	Control	62
11	Tumor_08	Control	863
12	Tumor_08	Control	5
13	Tumor_08	Control	9
14	Tumor_08	Control	1
15	Tumor_08	Control	3
16	Tumor_08	Control	3
17	Tumor_08	Control	11
18	Tumor_08	Control	7
19	Tumor_08	Control	2
20	Tumor_08	Control	2
22	Tumor_08	Control	1
25	Tumor_08	Control	3
27	Tumor_08	Control	1
28	Tumor_08	Control	1
0	Tumor_09	Control	90
3	Tumor_09	Control	690
8	Tumor_09	Control	292
9	Tumor_09	Control	329
10	Tumor_09	Control	107
12	Tumor_09	Control	65
13	Tumor_09	Control	164
14	Tumor_09	Control	642
15	Tumor_09	Control	6
17	Tumor_09	Control	151
18	Tumor_09	Control	21
19	Tumor_09	Control	12
20	Tumor_09	Control	9
24	Tumor_09	Control	1
25	Tumor_09	Control	58
26	Tumor_09	Control	1
28	Tumor_09	Control	4
0	Tumor_10	Control	36
1	Tumor_10	Control	4
2	Tumor_10	Control	1
3	Tumor_10	Control	39
5	Tumor_10	Control	6
6	Tumor_10	Control	10
7	Tumor_10	Control	2
8	Tumor_10	Control	136
9	Tumor_10	Control	3
10	Tumor_10	Control	57
12	Tumor_10	Control	122
13	Tumor_10	Control	109
14	Tumor_10	Control	4
15	Tumor_10	Control	83
16	Tumor_10	Control	37
17	Tumor_10	Control	67
18	Tumor_10	Control	110
19	Tumor_10	Control	50
20	Tumor_10	Control	97
22	Tumor_10	Control	21
24	Tumor_10	Control	20
26	Tumor_10	Control	1
28	Tumor_10	Control	2
0	Tumor_01	Tamoxifen	263
1	Tumor_01	Tamoxifen	1416
2	Tumor_01	Tamoxifen	1
3	Tumor_01	Tamoxifen	1
4	Tumor_01	Tamoxifen	1305
5	Tumor_01	Tamoxifen	1
6	Tumor_01	Tamoxifen	3
7	Tumor_01	Tamoxifen	1
8	Tumor_01	Tamoxifen	7
9	Tumor_01	Tamoxifen	58
10	Tumor_01	Tamoxifen	95
12	Tumor_01	Tamoxifen	43
13	Tumor_01	Tamoxifen	12
15	Tumor_01	Tamoxifen	43
16	Tumor_01	Tamoxifen	1
17	Tumor_01	Tamoxifen	8
18	Tumor_01	Tamoxifen	18
19	Tumor_01	Tamoxifen	14
20	Tumor_01	Tamoxifen	21
22	Tumor_01	Tamoxifen	13
24	Tumor_01	Tamoxifen	10
25	Tumor_01	Tamoxifen	12
26	Tumor_01	Tamoxifen	11
0	Tumor_02	Tamoxifen	55
3	Tumor_02	Tamoxifen	64
8	Tumor_02	Tamoxifen	32
9	Tumor_02	Tamoxifen	325
10	Tumor_02	Tamoxifen	59
12	Tumor_02	Tamoxifen	162
13	Tumor_02	Tamoxifen	188
14	Tumor_02	Tamoxifen	3
15	Tumor_02	Tamoxifen	64
17	Tumor_02	Tamoxifen	19
18	Tumor_02	Tamoxifen	3
19	Tumor_02	Tamoxifen	12
20	Tumor_02	Tamoxifen	61
22	Tumor_02	Tamoxifen	9
23	Tumor_02	Tamoxifen	202
24	Tumor_02	Tamoxifen	71
25	Tumor_02	Tamoxifen	2
26	Tumor_02	Tamoxifen	18
28	Tumor_02	Tamoxifen	3
0	Tumor_03	Tamoxifen	710
1	Tumor_03	Tamoxifen	1
2	Tumor_03	Tamoxifen	1
3	Tumor_03	Tamoxifen	78
5	Tumor_03	Tamoxifen	1
6	Tumor_03	Tamoxifen	1
