sample_id	group	pc	coordinate	variance_explained_fraction
TAMR_Rep1	TAMR	PC6	-11.162817866095587	0.01633551296697698
TAMR_Rep1	TAMR	PC7	-4.715525442501901	0.012101749383683717
TAMR_Rep1	TAMR	PC8	-0.44895101622238515	0.009408700429257668
TAMR_Rep1	TAMR	PC9	1.8599758914019598e-14	1.0302696467123946e-31
TAMR_Rep2	TAMR	PC1	-40.09023389671267	0.5976994827508031
TAMR_Rep2	TAMR	PC2	-30.581626185159877	0.28761068258944406
TAMR_Rep2	TAMR	PC3	2.794156382208627	0.033979452128401005
TAMR_Rep2	TAMR	PC4	-8.071525162413506	0.022329293582224186
TAMR_Rep2	TAMR	PC5	2.1964323808363835	0.02053512616920935
TAMR_Rep2	TAMR	PC6	10.685597099343626	0.01633551296697698
TAMR_Rep2	TAMR	PC7	-5.630269389756796	0.012101749383683717
TAMR_Rep2	TAMR	PC8	-8.638075475782326	0.009408700429257668
TAMR_Rep2	TAMR	PC9	1.8599758914019564e-14	1.0302696467123946e-31
TAMR_Rep3	TAMR	PC1	-39.568771192950564	0.5976994827508031
TAMR_Rep3	TAMR	PC2	-31.789392623056884	0.28761068258944406
TAMR_Rep3	TAMR	PC3	4.621101055752789	0.033979452128401005
TAMR_Rep3	TAMR	PC4	-6.09180438806835	0.022329293582224186
TAMR_Rep3	TAMR	PC5	1.0725149777666703	0.02053512616920935
TAMR_Rep3	TAMR	PC6	1.9861825097362205	0.01633551296697698
TAMR_Rep3	TAMR	PC7	10.382514761687911	0.012101749383683717
TAMR_Rep3	TAMR	PC8	9.321110374880384	0.009408700429257668
TAMR_Rep3	TAMR	PC9	1.8599758914019595e-14	1.0302696467123946e-31
FASR_Rep1	FASR	PC1	59.56531665038159	0.5976994827508031
FASR_Rep1	FASR	PC2	-8.712235232152011	0.28761068258944406
FASR_Rep1	FASR	PC3	-18.949352731956765	0.033979452128401005
FASR_Rep1	FASR	PC4	-2.8421195602209766	0.022329293582224186
FASR_Rep1	FASR	PC5	-10.853383628439525	0.02053512616920935
FASR_Rep1	FASR	PC6	1.7635670522391613	0.01633551296697698
FASR_Rep1	FASR	PC7	5.747347266016867	0.012101749383683717
FASR_Rep1	FASR	PC8	-3.18388284497815	0.009408700429257668
FASR_Rep1	FASR	PC9	1.8599758914019576e-14	1.0302696467123946e-31
FASR_Rep2	FASR	PC1	66.73493331950023	0.5976994827508031
FASR_Rep2	FASR	PC2	-8.5719811743329	0.28761068258944406
FASR_Rep2	FASR	PC3	23.01186944980781	0.033979452128401005
FASR_Rep2	FASR	PC4	6.9822126125315	0.022329293582224186
FASR_Rep2	FASR	PC5	-4.469976483641386	0.02053512616920935
FASR_Rep2	FASR	PC6	0.23157161836268753	0.01633551296697698
FASR_Rep2	FASR	PC7	0.9848844105105987	0.012101749383683717
FASR_Rep2	FASR	PC8	-1.7681553185673247	0.009408700429257668
FASR_Rep2	FASR	PC9	1.8599758914019595e-14	1.0302696467123946e-31
FASR_Rep3	FASR	PC1	60.2420483407221	0.5976994827508031
FASR_Rep3	FASR	PC2	-7.277866747492641	0.28761068258944406
FASR_Rep3	FASR	PC3	-6.012090213237685	0.033979452128401005
FASR_Rep3	FASR	PC4	-4.156717652707403	0.022329293582224186
FASR_Rep3	FASR	PC5	15.685869760288456	0.02053512616920935
FASR_Rep3	FASR	PC6	-2.2442579855702953	0.01633551296697698
FASR_Rep3	FASR	PC7	-6.882087189206385	0.012101749383683717
FASR_Rep3	FASR	PC8	4.913197390270276	0.009408700429257668
FASR_Rep3	FASR	PC9	1.859975891401957e-14	1.0302696467123946e-31
