patient	malignancy_status	condition	gene	n_cells	pseudobulk_raw_umi	pseudobulk_library_size	pseudobulk_normalized_expression	fraction_expressing	mean_normalized_per_cell	median_normalized_per_cell	mean_normalized_positive_cells_only	median_normalized_positive_cells_only
Tumor_01	malignant	Control	CITED2	1	1.0	7613.0	7.048260847097042	1.0	0.838779953426083	0.838779953426083	0.838779953426083	0.838779953426083
Tumor_01	malignant	Tamoxifen	USP34	2	0.0	23188.0	0.0	0.0	0.0	0.0		
Tumor_01	malignant	Tamoxifen	VEZF1	2	1.0	23188.0	5.463549048481527	0.5	0.279363974828101	0.279363974828101	0.558727949656202	0.558727949656202
Tumor_01	malignant	Tamoxifen	EML5	2	0.0	23188.0	0.0	0.0	0.0	0.0		
Tumor_01	malignant	Tamoxifen	CITED2	2	0.0	23188.0	0.0	0.0	0.0	0.0		
Tumor_01	non-malignant epithelial	Control	USP34	3333	4242.0	78590640.0	5.780727236751103	0.5622562256225623	0.3659986011189798	0.305190667234625	0.650946284700939	0.6090861658260385
Tumor_01	non-malignant epithelial	Control	VEZF1	3333	5282.0	78590640.0	6.091890657678245	0.6108610861086109	0.432791013667653	0.437381434410916	0.7084933440836382	0.6708901833617824
Tumor_01	non-malignant epithelial	Control	EML5	3333	0.0	78590640.0	0.0	0.0	0.0	0.0		
Tumor_01	non-malignant epithelial	Control	CITED2	3333	2159.0	78590640.0	4.8314448134171855	0.2889288928892889	0.16921549481989379	0.0	0.5856648434420623	0.502409654633247
Tumor_01	non-malignant epithelial	Tamoxifen	USP34	2772	4573.0	72048766.0	6.010576211424767	0.6443001443001443	0.4171035186109394	0.4244782351540535	0.6473745540814804	0.6113810633353509
Tumor_01	non-malignant epithelial	Tamoxifen	VEZF1	2772	5711.0	72048766.0	6.326712736425971	0.6738816738816739	0.46831221781027443	0.5018217878806039	0.6949472525535764	0.655206596228256
Tumor_01	non-malignant epithelial	Tamoxifen	EML5	2772	9.0	72048766.0	0.1698164991413865	0.003246753246753247	0.0015608449355899632	0.0	0.48074024016170863	0.425174573117825
Tumor_01	non-malignant epithelial	Tamoxifen	CITED2	2772	1894.0	72048766.0	4.770181575440114	0.3246753246753247	0.1685621420583038	0.0	0.5191713975395756	0.44807204178375504
Tumor_02	all_epithelial	Control	USP34	355	1026.0	16310709.0	5.997822098584391	0.7661971830985915	0.462745168449878	0.423820964056131	0.6039504955871571	0.537897345855451
Tumor_02	all_epithelial	Control	VEZF1	355	1125.0	16310709.0	6.128728297345991	0.7577464788732394	0.4739245377484462	0.444641791504981	0.6254394457275035	0.553209751786841
Tumor_02	all_epithelial	Control	EML5	355	9.0	16310709.0	0.633928425563507	0.022535211267605635	0.006600574094539997	0.0	0.29290047544521236	0.188034013346623
Tumor_02	all_epithelial	Control	CITED2	355	876.0	16310709.0	5.773654754273654	0.6253521126760564	0.3672140610037461	0.246797531363289	0.587211674127612	0.4342989632884275
Tumor_02	all_epithelial	Tamoxifen	USP34	325	1083.0	17837059.0	5.9475793719542525	0.8430769230769231	0.46310163197620224	0.472734696436019	0.5492993809936707	0.5012422848139115
Tumor_02	all_epithelial	Tamoxifen	VEZF1	325	999.0	17837059.0	5.833066944510371	0.7907692307692308	0.39558853631218366	0.357013840469144	0.5002578766593763	0.456927808496423
Tumor_02	all_epithelial	Tamoxifen	EML5	325	3.0	17837059.0	0.22427390479798603	0.009230769230769232	0.0015750550573167387	0.0	0.1706309645426467	0.0956871203566843
