gene_id	gene_symbol	log2fc	se	moderated_t	p_value	fdr	ave_expr	contrast	direction	crispr_direction	evidence_class	is_gate1_hit
ENSG00000168374	ARF4	0.288909065826926	0.126788469574755	2.2786698727094	0.0452087486122115	0.113082840847605	6.83744003323044	TAMR_vs_MCF7	up			False
ENSG00000226964	RHEBP2	-0.401376067196001	0.176190776066927	-2.27807650409313	0.0452548237352717	0.113179011391195	1.24495187832671	TAMR_vs_MCF7	down			False
ENSG00000163320	CGGBP1	-0.374077830234414	0.16423427701244	-2.27770863086078	0.0452834119378481	0.113231423379472	5.19297406988152	TAMR_vs_MCF7	down			False
ENSG00000168488	ATXN2L	-0.291569003291539	0.12801868424397	-2.27755038269167	0.0452957151106795	0.113243103759438	6.71996362798131	TAMR_vs_MCF7	down			False
ENSG00000137218	FRS3	0.423278986018756	0.185884220533779	2.27711090701126	0.0453298995827684	0.113309476079703	2.12688325977771	TAMR_vs_MCF7	up			False
ENSG00000185238	PRMT3	0.357157866696176	0.15693495005725	2.27583381882675	0.0454293791929143	0.113539014395227	4.49370215269926	TAMR_vs_MCF7	up			False
ENSG00000160194	NDUFV3	0.294975531855095	0.129639392687472	2.27535416311465	0.0454667968205023	0.113613393604347	5.24257511338587	TAMR_vs_MCF7	up			False
ENSG00000157927	RADIL	-0.353250083580864	0.155257796935348	-2.27524859011083	0.0454750365037889	0.113614849577912	0.773360943616412	TAMR_vs_MCF7	down			False
ENSG00000054983	GALC	-0.612105925419958	0.269169037471063	-2.2740577117298	0.0455680814009742	0.113828146772332	3.6414311062736	TAMR_vs_MCF7	down			False
ENSG00000275479	RP11-334C17.6	-1.14210167179909	0.502338586900916	-2.27356946406422	0.0456062820398566	0.113904395372394	0.686841909439068	TAMR_vs_MCF7	down			False
ENSG00000143870	PDIA6	0.588110881162597	0.258743596574088	2.27294854423267	0.0456549077349942	0.113990146263143	8.24027924539602	TAMR_vs_MCF7	up			False
ENSG00000279789	CTD-2574D22.3	0.354867524698395	0.156127450957583	2.27293485240341	0.0456559805392815	0.113990146263143	1.32855050175986	TAMR_vs_MCF7	up			False
ENSG00000102967	DHODH	-0.352708947121422	0.155188025956109	-2.27278454602662	0.0456677591900572	0.114000371948531	3.83235015338432	TAMR_vs_MCF7	down			False
ENSG00000259494	MRPL46	-0.322497912270477	0.141966826125888	-2.27164275676984	0.0457573306925125	0.11420475573011	5.40293207384733	TAMR_vs_MCF7	down			False
ENSG00000253958	CLDN23	-0.367209663232886	0.161669563834487	-2.27135927458074	0.0457795957226471	0.114241110214033	1.41483372482927	TAMR_vs_MCF7	down			False
ENSG00000128159	TUBGCP6	0.434101566637581	0.191144862283454	2.27106060530071	0.0458030648992544	0.114280456864829	3.70566500768342	TAMR_vs_MCF7	up			False
ENSG00000117036	ETV3	0.456139380907556	0.2009234715048	2.2702145124775	0.0458696133341691	0.11442725666651	3.17397297350321	TAMR_vs_MCF7	up			False
ENSG00000156958	GALK2	-0.356250354059679	0.156957727423627	-2.26972166268796	0.0459084209377508	0.11450481591433	4.11572615648833	TAMR_vs_MCF7	down			False
ENSG00000137500	CCDC90B	-0.281714683366331	0.124134817438685	-2.26942520381503	0.0459317797669394	0.11454382322384	5.28464611228767	TAMR_vs_MCF7	down			False
ENSG00000130703	OSBPL2	0.45080870120751	0.198659740018124	2.26925043376369	0.0459455557752813	0.114558923978092	4.87558340648201	TAMR_vs_MCF7	up			False
ENSG00000147174	ACRC	0.492863410804271	0.217222652052491	2.26893192835696	0.0459706717998973	0.114602289678575	0.912518197129049	TAMR_vs_MCF7	up			False
ENSG00000198863	RUNDC1	0.340115482115751	0.149915340752558	2.26871699993083	0.0459876276711957	0.114625301425366	3.21404908551638	TAMR_vs_MCF7	up			False
ENSG00000182165	TP53TG1	0.382897673637547	0.1688212548436	2.26806555840538	0.0460390573479238	0.114714950953567	4.50694260755404	TAMR_vs_MCF7	up			False
ENSG00000070831	CDC42	0.353673562800391	0.155930725232165	2.26814543621091	0.0460327482053633	0.114714950953567	6.66633506397135	TAMR_vs_MCF7	up			False
ENSG00000185920	PTCH1	0.577316692022688	0.254573986237781	2.26777566928404	0.0460619612418546	0.114752750320121	1.91263503855376	TAMR_vs_MCF7	up			False
ENSG00000137760	ALKBH8	-0.299497065068934	0.132093858728291	-2.26730499019626	0.0460991726627265	0.114826174915148	1.68286582604413	TAMR_vs_MCF7	down			False
ENSG00000204394	VARS	0.381876915412906	0.168436132880336	2.26719118328492	0.0461081744860516	0.11482932074925	6.09787825287721	TAMR_vs_MCF7	up			False
ENSG00000250539	KRT8P33	-0.424890525344014	0.187419263075646	-2.26705899047592	0.046118632718139	0.114836092007341	0.984030564515358	TAMR_vs_MCF7	down			False
ENSG00000184277	TM2D3	0.455351765731202	0.200910653929283	2.26643912020454	0.0461677034022256	0.114938990450037	4.89371654313877	TAMR_vs_MCF7	up			False
ENSG00000170631	ZNF16	-0.488974355818265	0.215815519945841	-2.26570524650393	0.0462258641694048	0.115064481218861	3.48298240377469	TAMR_vs_MCF7	down			False
