gene	n_datasets_testable	coverage_tier	max_evidence_percentile	max_percentile_dataset	crispr_evidence_percentile	gse118713_evidence_percentile	gse245601_evidence_percentile	gse240112_evidence_percentile	gse111151_evidence_percentile
CTD-2281M20.1	1	E	0.990474778547867	gse111151_evidence_percentile					0.990474778547867
AC024597.1	1	E	0.9904370065606583	gse245601_evidence_percentile			0.9904370065606583		
SLC28A3	2	D	0.9904198513244686	crispr_evidence_percentile	0.9904198513244686		0.6394596926194203		
RP11-615I2.2	1	E	0.9903635891923946	gse111151_evidence_percentile					0.9903635891923946
AC092040.1	2	D	0.9902859933792804	gse240112_evidence_percentile			0.3977914666568523	0.9902859933792804	
VSTM2A-OT1	1	E	0.9902523998369223	gse111151_evidence_percentile					0.9902523998369223
AC012378.2	1	E	0.9902317251858685	gse240112_evidence_percentile				0.9902317251858685	
FGD2	2	D	0.9902104491676265	crispr_evidence_percentile	0.9902104491676265		0.7989723142366794		
RP11-439A17.9	1	E	0.9901041473629592	gse111151_evidence_percentile					0.9901041473629592
ANTXRL	2	D	0.9900670842444683	gse111151_evidence_percentile	0.08915296827557329				0.9900670842444683
KRTAP2-2	1	E	0.9900533975499948	crispr_evidence_percentile	0.9900533975499948				
