gene	crispr_effect	crispr_p	crispr_fdr	crispr_testable	crispr_direction	gse118713_log2fc	gse118713_p	gse118713_fdr	gse118713_testable	gse118713_direction	gse245601_epi_log2fc	gse245601_epi_p	gse245601_epi_fdr	gse245601_malignant_log2fc	gse245601_malignant_p	gse245601_malignant_fdr	gse245601_testable	gse245601_track_direction_agreement	gse240112_tumor_log2fc	gse240112_tumor_p	gse240112_tumor_fdr	gse240112_epi_log2fc	gse240112_epi_p	gse240112_epi_fdr	gse240112_testable	gse240112_track_direction_agreement	gse240112_outlier_fragility	gse111151_log2fc	gse111151_p	gse111151_fdr	gse111151_testable	crispr_evidence_percentile	gse118713_evidence_percentile	gse245601_track_a_percentile	gse245601_track_b_percentile	gse245601_evidence_percentile	gse245601_one_track_only	gse240112_tumor_percentile	gse240112_epi_percentile	gse240112_evidence_percentile	gse111151_evidence_percentile	n_datasets_testable	coverage_tier	n_datasets_fdr05	n_datasets_nominal_p05	n_datasets_top10pct	n_datasets_top20pct	median_evidence_percentile	equal_dataset_mean_percentile	min_evidence_percentile	max_evidence_percentile	resistance_datasets_testable	resistance_up_count	resistance_down_count	resistance_fdr05_count	resistance_nominal_p05_count	resistance_top10pct_count	resistance_top20pct_count	resistance_median_percentile	resistance_direction_consensus	pattern_A_ge2_fdr05	pattern_B_all3_same_direction_high_percentile	pattern_C_human_recurrence_and_independent_cellline	pattern_D_strong_rna_consensus_weak_crispr	label
GATA4	0.2215365040685668	0.437179952193449	0.8871718998654791	True	tolerance_associated_KO	-3.33078000928913	6.8820726585126e-09	8.30094222127775e-07	True	down_in_TAMR	0.559455501030312	0.274350538639518	0.651967649426477	0.567794026273158	0.266904673143984	0.67227940513115	True	True	-10.0998158434413	1.39372567860544e-05	0.0003147497157517	-10.9799238108271	5.9422420702096e-06	0.0001770962908748	True	True	False	-1.70364129476819	0.016602848711323	0.292133476317359	True	0.507852580881583	0.9919727891156462	0.5792282886689648	0.6030875775501371	0.5911579331095509	False	0.9557714223693492	0.9664939550949914	0.9557714223693492	0.9428857344056928	5	A	2	3	3	3	0.9428857344056928	0.7979280919763644	0.507852580881583	0.9919727891156462	3	0	3	2	3	3	3	0.9557714223693492	all_down	True	True	True	True	resistance_biomarker_or_pathway_candidate
SGCG	-0.6760135631453252	0.0214805017006176	0.6017506707556782	True	sensitising_KO	-4.11446948022505	9.82773832756063e-11	5.02841314842568e-08	True	down_in_TAMR							False		-7.13013004944147	1.41971999210325e-05	0.00031888140545	-5.76740217379043	3.67574239538205e-05	0.0006123466521418	True	True	False	-1.85758018247026	0.0277486251967189	0.337575465744652	True	0.9644016333368234	0.998095238095238				False	0.955554349595702	0.9400444115470022	0.955554349595702	0.9176828138319558	4	B	2	4	4	4	0.9599779914662628	0.9589335087149298	0.9176828138319558	0.998095238095238	3	0	3	2	3	3	3	0.955554349595702	all_down	True	True	True	True	resistance_biomarker_or_pathway_candidate
PRICKLE2	-0.4458455667077023	0.1676234885996471	0.7909727675032434	True	sensitising_KO	1.87010696494084	2.80859390073071e-06	6.28381926340037e-05	True	up_in_TAMR	-0.405817208588555	0.0570919867844487	0.374545458091593	-0.450479974345632	0.177157382603718	0.62128327726672	True	True	5.3252512742151	7.55980408462954e-08	1.2899265710329e-05	5.02344929285175	6.15337105683306e-08	9.30628491326708e-06	True	True	False	1.07453845846233	0.0709008044927484	0.448521762192778	True	0.7887655742854152	0.9555102040816328	0.8477704881574558	0.7149040542490261	0.7813372712032409	False	0.9941933033049328	0.9934369602763384	0.9941933033049328	0.8416292946888551	5	A	2	2	2	3	0.8416292946888551	0.8722871295128153	0.7813372712032409	0.9941933033049328	3	3	0	2	2	2	3	0.9555102040816328	all_up	True	True	False	True	resistance_biomarker_or_pathway_candidate
OPN3	0.1942621804687005	0.4322166901005556	0.8864678258025306	True	tolerance_associated_KO	2.03521683871524	2.44560011104451e-07	1.02978905957755e-05	True	up_in_TAMR	-0.1746635109267	0.0792707467149297	0.41880892018839	-0.0852713390654507	0.609248523802727	0.862018697877955	True	True	2.16162643847043	1.42233760555398e-05	0.00031888140545	2.08483431381496	9.69791867313095e-06	0.0002481540654415	True	True	False	0.244199629392808	0.452319172805522	0.802386586437746	True	0.512564129410533	0.976530612244898	0.8108528855776715	0.2933198672630212	0.5520863764203463	False	0.95550008140229	0.9609671848013815	0.95550008140229	0.4355287053852711	5	A	2	2	2	2	0.5520863764203463	0.6864419809726677	0.4355287053852711	0.976530612244898	3	3	0	2	2	2	2	0.95550008140229	all_up	True	True	False	True	resistance_biomarker_or_pathway_candidate
SLPI	0.1354813743229739	0.7354713904188952	0.958566553262752	True	tolerance_associated_KO	3.73157910346831	1.25498210932693e-08	1.32066840696405e-06	True	up_in_TAMR	0.213664696893416	0.159416792684443	0.531793369809917	0.469630627374255	0.0445489245548278	0.539465591000065	True	True	6.72322483435921	4.8917844876348e-05	0.0007859268050404	5.40869259646944	0.0002161448130243	0.0022326150768359	True	True	False	2.58207283619136	0.0115156104719488	0.256695128390156	True	0.2327504973301225	0.990748299319728	0.7002668742355165	0.9175443658923677	0.8089056200639421	False	0.9378086503500298	0.903232173698495	0.9378086503500298	0.9548941847967088	5	A	2	3	3	4	0.9378086503500298	0.7850214503721062	0.2327504973301225	0.990748299319728	3	3	0	2	3	3	3	0.9548941847967088	all_up	True	True	True	True	resistance_biomarker_or_pathway_candidate
FAM89A	-0.2036648407305907	0.5877159434183175	0.9274689248655374	True	sensitising_KO	1.69243906747291	2.99368609751617e-06	6.5905510853034e-05	True	up_in_TAMR	0.192518276652788	0.175425560451513	0.553393228609205	0.52167843856664	0.180538723598447	0.624899210993586	True	True	1.91991446230839	0.0001694111401219	0.0019270751275201	1.91890460834976	8.5172341222823e-05	0.0011341016210392	True	True	False	1.25076032588629	0.0046326436951089	0.192743285026551	True	0.3666108260915087	0.9547619047619048	0.683142444123207	0.7111527918049343	0.6971476179640707	False	0.9121397948662288	0.9249444855662472	0.9121397948662288	0.975834846744005	5	A	2	3	3	3	0.9121397948662288	0.7812989980855437	0.3666108260915087	0.975834846744005	3	3	0	2	3	3	3	0.9547619047619048	all_up	True	True	True	True	resistance_biomarker_or_pathway_candidate
F2R	0.8375082356103594	0.0807780178076369	0.7321369384585645	True	tolerance_associated_KO	3.83128321186444	1.04558296096139e-07	5.66217517326463e-06	True	up_in_TAMR	0.0282885679767657	0.870446123807138	0.963549414051264	0.526907068007933	0.145823482620278	0.596000601224148	True	True	2.98897668554403	1.54081336884061e-05	0.0003388318467899	2.65608384485536	1.49043252314595e-05	0.0003352397948288	True	True	False	0.679191414138944	0.0947290752278416	0.491535799880765	True	0.8898544655009947	0.9818367346938776	0.096630712776604	0.7554465445101717	0.4260386286433879	False	0.9545775221142888	0.9555884529977794	0.9545775221142888	0.8071235313739298	5	A	2	2	2	4	0.8898544655009947	0.8118861764652957	0.4260386286433879	0.9818367346938776	3	3	0	2	2	2	3	0.9545775221142888	all_up	True	True	False	True	resistance_biomarker_or_pathway_candidate
HDX	0.1812537419171578	0.5017589636761373	0.901787701863322	True	tolerance_associated_KO	1.08093791773486	3.01602101165599e-06	6.61029834135179e-05	True	up_in_TAMR	0.12647656127242	0.433988317949227	0.767336457084478	-0.417782433938748	0.13091253626728	0.586260580104142	True	False	5.5056440681175	6.89768721751755e-07	4.42894007123392e-05	5.61996463878245	1.93785602111612e-06	7.88606227388337e-05	True	True	False	0.822162747788038	0.0341926349264843	0.36212288509666	True	0.4436184692702335	0.9545578231292516	0.4344490159012565	0.7770163035636993	0.6057326597324779	False	0.9844792966842134	0.975474956822107	0.9844792966842134	0.9053778584930136	5	A	2	3	3	3	0.9053778584930136	0.7787532214618381	0.4436184692702335	0.9844792966842134	3	3	0	2	3	3	3	0.9545578231292516	all_up	True	True	True	True	resistance_biomarker_or_pathway_candidate
MDFIC	0.0776726961557425	0.7800052805406438	0.9654441649938414	True	tolerance_associated_KO	2.14592747596298	3.05467011402281e-06	6.67528647302953e-05	True	up_in_TAMR	0.465067280705863	0.0078773115114317	0.187662050326829	-0.0851401861545719	0.720120362127697	0.906888497472408	True	False	9.12457920177935	1.89381721254352e-08	5.9011379769774e-06	8.77647512166263	9.114688095001393e-09	3.48525035723204e-06	True	True	False	0.0821596719391153	0.78792783788656	0.942178391710806	True	0.1922311799811538	0.954421768707483	0.9583564994996108	0.205958736113115	0.5821576178063629	False	0.996906712975525	0.9974339995065384	0.996906712975525	0.163633668136837	5	A	2	3	2	2	0.5821576178063629	0.5778701895214723	0.163633668136837	0.996906712975525	3	3	0	2	2	2	2	0.954421768707483	all_up	True	True	False	True	resistance_biomarker_or_pathway_candidate
GPC6	0.1718270057696918	0.5925282572676934	0.9285299753064464	True	tolerance_associated_KO	-1.13869802034219	3.07336447646416e-06	6.69641440554701e-05	True	down_in_TAMR	0.272161296351912	0.230991450750332	0.612442203212266	0.314438088572121	0.455687539606847	0.786200135389453	True	True	8.40688073885893	7.832093592384871e-09	3.79815317685443e-06	7.23148354584942	7.76009365561139e-06	0.0002116377965447	True	True	False	1.30909878413805	0.0359619193884768	0.366210179512227	True	0.3623180818762433	0.9542857142857144	0.6228733459357279	0.4205742317125955	0.5217237888241617	False	0.997992076843762	0.963385146804836	0.997992076843762	0.9015603572884624	5	A	2	3	3	3	0.9015603572884624	0.7475760038236687	0.3623180818762433	0.997992076843762	3	2	1	2	3	3	3	0.9542857142857144	majority_up	True	False	True	True	resistance_biomarker_or_pathway_candidate
GRIK3	-0.0501864745443736	0.8998915430574875	0.9863798569558864	True	sensitising_KO	-1.37221268276414	4.45460270265644e-07	1.61676097864488e-05	True	down_in_TAMR	-0.641761633305516	0.0738334841074314	0.409809660243561				True		-12.1661064444681	1.56466899875136e-05	0.0003412274592779	-12.8794176378391	4.09942254924866e-06	0.0001342146969031	True	True	False	0.446738519596087	0.27149217522206	0.68606197790216	True	0.0876871531776777	0.9727891156462584	0.8199710886244858		0.8199710886244858	True	0.954197644760406	0.9695040710584752	0.954197644760406	0.6037952633334569	5	A	2	2	2	3	0.8199710886244858	0.687688053108457	0.0876871531776777	0.9727891156462584	3	1	2	2	2	2	2	0.954197644760406	majority_down	True	False	False	True	resistance_biomarker_or_pathway_candidate
GCHFR	-0.1140176053401891	0.6813464412914769	0.947121147590598	True	sensitising_KO	-2.12704644215056	9.19216270160465e-06	0.0001548164701094	True	down_in_TAMR	0.200350863682531	0.190935412933666	0.571462509400931	0.181817963060059	0.489549859870781	0.804865952014782	True	True	-2.866361781182	3.86624895959246e-06	0.0001349379466427	-2.6571983758047	2.08286323376293e-05	0.000415465613144	True	True	False	-0.635615964922771	0.0117940414140344	0.258617873925806	True	0.2807559417862004	0.9406802721088436	0.6659624152118314	0.39179050642043	0.5288764608161307	False	0.9714006620719596	0.9499136442141624	0.9714006620719596	0.9541899855453838	5	A	2	3	3	3	0.9406802721088436	0.7351806644657037	0.2807559417862004	0.9714006620719596	3	0	3	2	3	3	3	0.9541899855453838	all_down	True	True	True	True	resistance_biomarker_or_pathway_candidate
ADAMTS19-AS1				False	not_applicable	-1.60352448683937	3.09277699833245e-06	6.71897878495708e-05	True	down_in_TAMR							False		-4.51072872754532	5.12065044678404e-06	0.0001575348020589	-4.99085125749923	3.22568493621149e-06	0.0001151126853272	True	True	False	-1.46064007955622	0.0677335906169388	0.441540558139617	True		0.9541496598639456				False	0.9675476203397188	0.9720700715519368	0.9675476203397188	0.8462621845002039	3	C	2	2	2	3	0.9541496598639456	0.9226531549012896	0.8462621845002039	0.9675476203397188	3	0	3	2	2	2	3	0.9541496598639456	all_down	True	True	False	False	resistance_biomarker_or_pathway_candidate
TSPAN5	0.4437873784747923	0.1417194073296198	0.7819995924254903	True	tolerance_associated_KO	3.16093008215966	4.9943815627781214e-09	6.94032388892915e-07	True	up_in_TAMR	0.014723539946176	0.889856143565672	0.968759378665763	0.176061876567154	0.397344470366869	0.752177134862565	True	True	1.76025301927262	1.57607627000502e-05	0.000342903583278	1.85553930741098	1.33050525073099e-05	0.0003081602218435	True	True	False	0.38542009380552	0.439734572292318	0.795555427456996	True	0.8191812375667469	0.9931292517006802	0.0814522406316023	0.4719376713316981	0.2766949559816503	False	0.9540891083735824	0.9568714532445104	0.9540891083735824	0.4466105778140172	5	A	2	2	2	3	0.8191812375667469	0.6979410262873353	0.2766949559816503	0.9931292517006802	3	3	0	2	2	2	2	0.9540891083735824	all_up	True	True	False	True	resistance_biomarker_or_pathway_candidate
ITGAV	0.0058318792130567	0.982279867421066	0.9990839080152084	True	tolerance_associated_KO	2.47276040630024	3.13157053310261e-06	6.7933104634761e-05	True	up_in_TAMR	0.0183139647336049	0.878685413415779	0.965480872491992	-0.255194900303488	0.205064391605115	0.633080857088076	True	False	1.69580355933974	0.0002132588247699	0.002272951777247	1.5687429820497	0.0005248077055139	0.0042611189743373	True	True	False	0.554388167720789	0.0056815628225521	0.205678416705105	True	0.0171186263218511	0.9540816326530612	0.0899588568886912	0.6762371952099264	0.3830980260493088	False	0.9062245617843382	0.8768813224771774	0.9062245617843382	0.9722397242503984	5	A	2	3	3	3	0.9062245617843382	0.6465525142117915	0.0171186263218511	0.9722397242503984	3	3	0	2	3	3	3	0.9540816326530612	all_up	True	True	True	True	resistance_biomarker_or_pathway_candidate
SEMA5B	-0.1367467190279603	0.7022345532102621	0.951268378242493	True	sensitising_KO	1.2073365328908	1.06251778355946e-06	3.03185362931832e-05	True	up_in_TAMR	-0.433183557097567	0.332125749034981	0.699700262723521				True		6.32853890520965	3.65562862659792e-05	0.0006361277085075	6.21957869426493	3.7740748372183e-05	0.0006213273814058	True	True	False				False	0.2618050465919799	0.9652380952380952	0.5254642499722006		0.5254642499722006	True	0.942584251370272	0.9393042190969652	0.942584251370272		4	B	2	2	2	2	0.7340242506712362	0.673772910793137	0.2618050465919799	0.9652380952380952	2	2	0	2	2	2	2	0.9539111733041836	all_up	True	False	False	True	resistance_biomarker_or_pathway_candidate
S100P	-0.3206748993530883	0.3127150898686288	0.8430887151318937	True	sensitising_KO	5.61858873955283	8.07696780584054e-10	2.17901906005567e-07	True	up_in_TAMR	0.288222703635217	0.12438819643757	0.486273733955616	0.283756670627382	0.217413867129429	0.641743514244324	True	True	4.79293213385	1.60976066021424e-05	0.0003485860099462	4.04780705463628	0.0001835481593415	0.0019817725078397	True	True	False	0.368932041991314	0.737590831145082	0.925814253927415	True	0.6294105329284891	0.9963265306122449	0.7443011230957411	0.6613042850959457	0.7028027040958434	False	0.9538720355999348	0.907426597582038	0.9538720355999348	0.2029205737370742	5	A	2	2	2	2	0.7028027040958434	0.6970664753947174	0.2029205737370742	0.9963265306122449	3	3	0	2	2	2	2	0.9538720355999348	all_up	True	True	False	True	resistance_biomarker_or_pathway_candidate
RDH10	-0.0386960538020026	0.899633999708019	0.986368656809442	True	sensitising_KO	2.69981815925855	1.75062668452025e-07	8.04962551320771e-06	True	up_in_TAMR	0.159128482438136	0.276691240448185	0.654331493812978	-0.255924666557396	0.320106133639189	0.704207171669558	True	False	3.73312714454384	1.63786170574813e-05	0.0003542548769193	3.7807340008437	1.97551453587687e-06	8.01100484805661e-05	True	True	False	0.43100140749367	0.0193630787957891	0.303183635812865	True	0.0881059574913621	0.9785714285714284	0.577171133103525	0.5456644062905786	0.5614177696970517	False	0.953817767406523	0.9754256106587712	0.953817767406523	0.9359178681294243	5	A	2	3	3	3	0.9359178681294243	0.7035661582591579	0.0881059574913621	0.9785714285714284	3	3	0	2	3	3	3	0.953817767406523	all_up	True	True	True	True	resistance_biomarker_or_pathway_candidate
JPH3	0.221030550309071	0.4712861023369584	0.8936624486026268	True	tolerance_associated_KO	1.02965311937251	7.14127563199549e-05	0.0007751444610647	True	up_in_TAMR	1.13994473076237	0.0285476850015501	0.285896860826887	1.73930562951932	0.0088225779009229	0.494651805831022	True	True	3.22511396633795	1.67522347965974e-05	0.0003598261765497	3.23542188737217	7.03845865559524e-06	0.0001986649068444	True	True	False	1.25627909131279	0.0035980498208179	0.177353464727903	True	0.4726730185320908	0.9077551020408164	0.9002001556766374	0.9826864810272689	0.941443318351953	False	0.953546426439464	0.9646188008882308	0.953546426439464	0.979541158593084	5	A	2	4	4	4	0.941443318351953	0.8509918047914816	0.4726730185320908	0.979541158593084	3	3	0	2	3	3	3	0.953546426439464	all_up	True	True	True	True	resistance_biomarker_or_pathway_candidate
LYN	-0.5191648382099592	0.0518052242032398	0.6843950193322895	True	sensitising_KO	1.38086985457888	3.30607102539434e-06	7.08894246745681e-05	True	up_in_TAMR	-0.0549407252748037	0.600032947734308	0.857864448843255	0.345309441634417	0.232914013091025	0.651773710835865	True	False	6.43817930113175	7.0208452544781705e-09	3.79815317685443e-06	6.21740789871763	2.1855581041425e-08	5.41375708019129e-06	True	True	False	0.738508495628027	0.0647359171986941	0.434934110501048	True	0.9243534708407496	0.9535374149659864	0.3005671077504726	0.6426922522002597	0.4716296799753661	False	0.9982091496174093	0.996052306933136	0.9982091496174093	0.8507468218375894	5	A	2	2	3	4	0.9243534708407496	0.8396953074474203	0.4716296799753661	0.9982091496174093	3	3	0	2	2	2	3	0.9535374149659864	all_up	True	True	False	True	resistance_biomarker_or_pathway_candidate
ETV5	-0.1451277987564747	0.5848633961555673	0.926831630638677	True	sensitising_KO	2.16621996081598	1.52487936297323e-07	7.37008468657876e-06	True	up_in_TAMR	0.784391023873746	0.0007969973214521	0.0741040408390211	0.525459518648974	0.154429129389158	0.605898722820654	True	True	5.17593577730904	1.67533568200412e-05	0.0003598261765497	5.34808367557306	3.42974745815719e-06	0.0001202547785242	True	True	False	1.63639130793806	0.0148084913373134	0.282796353642608	True	0.3690189508951942	0.979591836734694	0.9893250305793396	0.7452027124513056	0.8672638715153226	False	0.953492158246052	0.971527263755243	0.953492158246052	0.9475186242170416	5	A	2	4	3	4	0.9475186242170416	0.8233770883216609	0.3690189508951942	0.979591836734694	3	3	0	2	3	3	3	0.953492158246052	all_up	True	True	True	True	resistance_biomarker_or_pathway_candidate
