gene	crispr_effect	crispr_p	crispr_fdr	crispr_direction	crispr_fdr_significant	crispr_evidence_percentile
ACTL6B	0.2274274791080941	0.4571548959248782	0.8899354682597432	tolerance_associated_KO	False	0.4863365092660454
LASP1	-0.2113341033714668	0.4574218859444164	0.8899354682597432	sensitising_KO	False	0.4862841587268348
CCDC167	0.2397822093715964	0.4574311272383213	0.8899354682597432	tolerance_associated_KO	False	0.4862318081876243
CRHBP	0.2541536753106825	0.4574391580086399	0.8899354682597432	tolerance_associated_KO	False	0.4861794576484137
MAP3K7	-0.1858719725650521	0.4574616423151019	0.8899354682597432	sensitising_KO	False	0.4861271071092032
SLC35F6	-0.2608960404059468	0.4574662931665869	0.8899354682597432	sensitising_KO	False	0.4860747565699926
LOC388813	-0.2409218583723475	0.4574697563776573	0.8899354682597432	sensitising_KO	False	0.4860224060307822
SAMD15	-0.3909875925665806	0.4575186519869078	0.8899354682597432	sensitising_KO	False	0.4859700554915716
OR4C16	-0.3509955719645559	0.4575227050085818	0.8899354682597432	sensitising_KO	False	0.485917704952361
LRRTM3	0.3665363091610754	0.4577617945040566	0.8900272203661492	tolerance_associated_KO	False	0.4858653544131505
SULT1C3	-0.1749416505032499	0.4577665647699406	0.8900272203661492	sensitising_KO	False	0.4858130038739399
SEMA6B	-0.2793267635519374	0.4578778162269548	0.8900272203661492	sensitising_KO	False	0.4857606533347294
UCP1	-0.2202704526944234	0.457889444104181	0.8900272203661492	sensitising_KO	False	0.4857083027955188
SRP72	-0.2092268713391396	0.4579275831063236	0.8900272203661492	sensitising_KO	False	0.4856559522563082
SPATA7	-0.1691007091008636	0.4579276569607307	0.8900272203661492	sensitising_KO	False	0.4856036017170977
GPN2	0.5149793548544075	0.4579573740085486	0.8900272203661492	tolerance_associated_KO	False	0.4855512511778871
TEX101	0.2074230406882673	0.4579661381426289	0.8900272203661492	tolerance_associated_KO	False	0.4854989006386766
CD8B	-0.2942987955211871	0.4580381241630107	0.8900272203661492	sensitising_KO	False	0.485446550099466
CRH	-0.1873534514904111	0.4580658571277531	0.8900272203661492	sensitising_KO	False	0.4853941995602554
CREG2	0.2461836775274148	0.4581919155405609	0.8900272203661492	tolerance_associated_KO	False	0.4853418490210449
RGS12	-0.2359600628888305	0.4582288153676555	0.8900272203661492	sensitising_KO	False	0.4852894984818343
ITGAD	-0.2457379004641335	0.4582545641209273	0.8900272203661492	sensitising_KO	False	0.4852371479426238
MARK1	0.2075974374170304	0.4582868033671796	0.8900272203661492	tolerance_associated_KO	False	0.4851847974034132
KEAP1	-0.1899719082421631	0.4583088709318385	0.8900272203661492	sensitising_KO	False	0.4851324468642026
SCRN2	-0.1983462503057298	0.4583153309292682	0.8900272203661492	sensitising_KO	False	0.4850800963249921
ZNF846	0.2095699474197037	0.4583828292350594	0.890067817328455	tolerance_associated_KO	False	0.4850277457857815
CYTIP	0.3852815304124455	0.4584458191400536	0.8900996527119062	tolerance_associated_KO	False	0.4849753952465711
