gene	anon_id
DLK1	Gene00735
ANKRD42	Gene00736
RP11-333E1.1	Gene00737
RP11-443B20.1	Gene00738
FSD2	Gene00739
AL442663.3	Gene00740
AGAP4	Gene00741
TMEM38B	Gene00742
SLC9A6	Gene00743
LNX1-AS1	Gene00744
AC012629.2	Gene00745
SLC10A4	Gene00746
PHF5A	Gene00747
SULT4A1	Gene00748
OXCT1	Gene00749
RBPMS2	Gene00750
RNY4P17	Gene00751
MAPK8IP3	Gene00752
RP11-124D2.7	Gene00753
LNX1	Gene00754
AC012640.4	Gene00755
CEP83	Gene00756
ACO2	Gene00757
RP3-468K18.6	Gene00758
AC007193.8	Gene00759
WDFY3-AS2	Gene00760
NRP1	Gene00761
CRIPT	Gene00762
GNAS-AS1	Gene00763
ARSE	Gene00764
JDP2	Gene00765
AC079807.3	Gene00766
LINC00324	Gene00767
RP11-21M24.3	Gene00768
COL20A1	Gene00769
ARL10	Gene00770
RP3-402G11.25	Gene00771
CUX2	Gene00772
OR2A5	Gene00773
NDUFA1	Gene00774
BSCL2	Gene00775
ZNF585A	Gene00776
bP-21201H5.1	Gene00777
SNORD36C	Gene00778
AC125437.1	Gene00779
AC024075.2	Gene00780
OR2Z1	Gene00781
DSTNP1	Gene00782
IMMT	Gene00783
LHX1-DT	Gene00784
FOXI3	Gene00785
RP11-775C24.4	Gene00786
CAMSAP1	Gene00787
MPZ	Gene00788
GCKR	Gene00789
MYCBP2-AS1	Gene00790
DUSP11	Gene00791
RP11-91I20.4	Gene00792
GHRL	Gene00793
S1PR2	Gene00794
DDN	Gene00795
AC008532.1	Gene00796
NUDT22	Gene00797
PTER	Gene00798
AC012627.1	Gene00799
AC025580.3	Gene00800
PKIA	Gene00801
YES1	Gene00802
AP000345.1	Gene00803
MIR6805	Gene00804
AL355512.1	Gene00805
DDX17	Gene00806
AC069243.1	Gene00807
UBE2FP1	Gene00808
AC004893.11	Gene00809
RP11-464F9.21	Gene00810
C9orf106	Gene00811
NT5C1B-RDH14	Gene00812
VPS33A	Gene00813
AC100800.1	Gene00814
RP11-514P8.8	Gene00815
RP11-923I11.6	Gene00816
CYP27A1	Gene00817
