gene	global_rank_original	global_rank_anonymized	ranks_match
WBP2NL	11340	11340	True
WBP4	10664	10664	True
WBSCR16	14365	14365	True
WBSCR22	14293	14293	True
WBSCR27	13438	13438	True
WDFY1	3772	3772	True
WDFY2	10625	10625	True
WDFY3	8768	8768	True
WDFY3-AS2	14146	14146	True
WDHD1	8436	8436	True
WDPCP	7482	7482	True
WDR1	7756	7756	True
WDR11	10513	10513	True
WDR12	5466	5466	True
WDR13	6219	6219	True
WDR17	11812	11812	True
WDR18	9103	9103	True
WDR19	9174	9174	True
WDR20	4451	4451	True
WDR24	4990	4990	True
WDR25	2490	2490	True
WDR26	840	840	True
WDR27	3817	3817	True
WDR3	5247	5247	True
WDR31	2491	2491	True
WDR33	9510	9510	True
WDR34	928	928	True
WDR35	5776	5776	True
WDR36	6518	6518	True
WDR37	4112	4112	True
WDR4	8203	8203	True
WDR41	4067	4067	True
WDR43	7789	7789	True
WDR44	6483	6483	True
WDR45	5313	5313	True
WDR45B	4069	4069	True
WDR46	7346	7346	True
WDR47	1119	1119	True
WDR48	3456	3456	True
WDR49	13540	13540	True
WDR5	4181	4181	True
WDR53	3402	3402	True
WDR54	8647	8647	True
WDR55	9757	9757	True
WDR59	10879	10879	True
WDR5B	7768	7768	True
WDR6	6284	6284	True
WDR60	6281	6281	True
WDR61	8137	8137	True
WDR62	1441	1441	True
WDR63	11714	11714	True
WDR64	13622	13622	True
WDR66	11703	11703	True
WDR7	9916	9916	True
WDR70	10965	10965	True
WDR72	12967	12967	True
WDR73	9845	9845	True
WDR74	4579	4579	True
WDR75	7758	7758	True
WDR76	8396	8396	True
WDR77	8818	8818	True
WDR78	12232	12232	True
WDR81	5431	5431	True
WDR82	9356	9356	True
WDR83	992	992	True
WDR83OS	8837	8837	True
WDR88	14669	14669	True
WDR89	955	955	True
WDR90	1551	1551	True
WDR91	2791	2791	True
WDR92	6160	6160	True
WDR93	14935	14935	True
WDSUB1	6559	6559	True
WDTC1	9485	9485	True
WDYHV1	9696	9696	True
WEE1	3517	3517	True
WEE2-AS1	11897	11897	True
WFDC12	14802	14802	True
WFDC2	11769	11769	True
WFDC3	13024	13024	True
