gene	n_datasets_testable	n_datasets_fdr05	median_evidence_percentile	equal_dataset_mean_percentile	rank
PIAS1	2	0	0.39799263144418484	0.39799263144418484	14292
TMEM61	2	0	0.3979766209707475	0.3979766209707475	14293
AL157938.3	2	0	0.3979369435141328	0.3979369435141328	14294
GNAS	2	0	0.3978973954504162	0.3978973954504162	14295
RPL39L	2	0	0.3978629075069543	0.3978629075069543	14296
PPP1R14B	2	0	0.39780964838144506	0.39780964838144506	14297
USP8	2	0	0.3978073780902982	0.3978073780902982	14298
STIP1	2	0	0.39780638353149367	0.39780638353149367	14299
TBC1D23	2	0	0.3977815741447658	0.3977815741447658	14300
AC068888.1	2	0	0.39769091006753154	0.39769091006753154	14301
CFAP298	2	0	0.3976309541904519	0.3976309541904519	14302
TTLL1	2	0	0.3976178673064312	0.3976178673064312	14303
DNAH14	2	0	0.39755795858389315	0.39755795858389315	14304
AP001462.1	2	0	0.3975466142009047	0.3975466142009047	14305
FBXW11	2	0	0.3975347237745712	0.3975347237745712	14306
AP001065.1	1	0	0.3975314133214722	0.3975314133214722	14307
C11orf80	2	0	0.3975309972056058	0.3975309972056058	14308
LRRC28	2	0	0.39745996386769067	0.39745996386769067	14309
CATSPERD	2	0	0.39741641550152335	0.39741641550152335	14310
C5orf30	2	0	0.39736856563914735	0.39736856563914735	14311
BBS1	2	0	0.3973666264103643	0.3973666264103643	14312
CLN3	2	0	0.3973417634276807	0.3973417634276807	14313
TRAPPC9	2	0	0.3973400884649073	0.3973400884649073	14314
SH3TC2	2	0	0.3973194306424699	0.3973194306424699	14315
NPHS1	1	0	0.3972534193261425	0.3972534193261425	14316
KCTD21	2	0	0.39725292960759584	0.39725292960759584	14317
CDK1	2	0	0.3971962772838025	0.3971962772838025	14318
MTFMT	2	0	0.3971952267548817	0.3971952267548817	14319
MRPL40	2	0	0.3971601252946795	0.3971601252946795	14320
TFDP1	2	0	0.39715003820600686	0.39715003820600686	14321
RBM38	2	0	0.3971490233256279	0.3971490233256279	14322
AP006284.1	2	0	0.3970866901066446	0.3970866901066446	14323
AL078581.4	1	0	0.3970803711944429	0.3970803711944429	14324
UBE2V2	2	0	0.39707040231731316	0.39707040231731316	14325
KIZ	2	0	0.3970618268092202	0.3970618268092202	14326
AKIRIN2	2	0	0.3970267531638634	0.3970267531638634	14327
ZMAT5	2	0	0.39693644873393086	0.39693644873393086	14328
BRAP	2	0	0.3968911209764212	0.3968911209764212	14329
TRAM1L1	1	0	0.3968831390252503	0.3968831390252503	14330
TRAM2-AS1	2	0	0.3968332468663523	0.3968332468663523	14331
NSMCE1	2	0	0.3967758262622144	0.3967758262622144	14332
