gene	n_datasets_testable	n_datasets_fdr05	median_evidence_percentile	equal_dataset_mean_percentile	rank
RPL23AP53	2	0	0.164776005135385	0.164776005135385	18545
RP11-248J18.2	2	0	0.16457615928770225	0.16457615928770225	18546
TST	4	0	0.16446167081042415	0.22735333603887342	18547
RAET1E-AS1	2	0	0.16442746096548255	0.16442746096548255	18548
SUSD1	4	0	0.1643839202286962	0.1701285411366128	18549
RP13-131K19.7	2	0	0.1642007994035611	0.1642007994035611	18550
ZNF707	4	0	0.1641288124901196	0.2105577634876871	18551
GTF3C6	4	0	0.16393316965049975	0.26376979900382075	18552
HCLS1	3	0	0.1638611961341611	0.2967497090012667	18553
SMIM12	4	0	0.16379736357683794	0.22803482503932698	18554
REEP5	4	0	0.1637110317237602	0.2319059915130982	18555
POM121C	4	0	0.16353720443738806	0.1901222148037987	18556
AL096701.3	2	0	0.1635155747331467	0.1635155747331467	18557
AC027682.4	2	0	0.16331361836386898	0.16331361836386898	18558
TOR1A	4	0	0.16329486091437606	0.29179045036784645	18559
MMP23B	3	0	0.162980768174057	0.23142017923099287	18560
TMEM184B	4	0	0.16295186291170077	0.2555718455038921	18561
RELA	4	0	0.16234513537330053	0.2110903830675212	18562
GMEB1	4	0	0.1623089104492163	0.21198994412178648	18563
CATIP-AS1	3	0	0.1621768707482993	0.34207671352422914	18564
SRRM2	4	0	0.16214522968670064	0.22506280553494185	18565
RP5-1159O4.1	2	0	0.16198008702016808	0.16198008702016808	18566
NPM1	4	0	0.16187366630286604	0.16463977717326542	18567
TXNL4B	4	0	0.16185797496944174	0.22173801718632574	18568
HSF5	2	0	0.161846337614091	0.161846337614091	18569
KIAA0907	2	0	0.16166391718838674	0.16166391718838674	18570
METTL1	4	0	0.16165602845268967	0.2643600669779822	18571
MAP4	4	0	0.16120526992161524	0.202595813949683	18572
YY1	4	0	0.1610990256385074	0.14974955358848285	18573
CCDC38	2	0	0.16106129019915516	0.16106129019915516	18574
SH3GL1	4	0	0.16103476066680325	0.2086789466124123	18575
AC009403.1	2	0	0.16101766482270555	0.16101766482270555	18576
PGLS	4	0	0.1609950930448158	0.259000336234941	18577
ROM1	4	0	0.1609787379433241	0.18650427809991435	18578
WIBG	2	0	0.16089611686934135	0.16089611686934135	18579
RP11-229E13.4	2	0	0.1607553980415041	0.1607553980415041	18580
RP11-473M20.16	2	0	0.16071336417892457	0.16071336417892457	18581
TAPT1-AS1	4	0	0.16042347248747912	0.17742071435294163	18582
EPN2-AS1	3	0	0.1603350505911567	0.2611112091126451	18583
BCL7B	4	0	0.160086033580907	0.19538463963800684	18584
AC015726.1	2	0	0.15999467299116904	0.15999467299116904	18585
TJP3	4	0	0.1596772810899683	0.17621314894383505	18586
ZNF701	4	0	0.15959307469327746	0.22187767436070543	18587
CHKB-AS1	2	0	0.15958506578199266	0.15958506578199266	18588
RP11-815I9.4	2	0	0.15937582304705725	0.15937582304705725	18589
CPNE1	4	0	0.1592097572317003	0.17491234286865137	18590
AC002467.7	2	0	0.15917687352172985	0.15917687352172985	18591
CTD-2196E14.6	2	0	0.15893295407930041	0.15893295407930041	18592
NEURL4	4	0	0.15880979358868558	0.18099590178546213	18593
RP11-727A23.1	2	0	0.1587908195411888	0.1587908195411888	18594
AC073073.2	2	0	0.15871237797750246	0.15871237797750246	18595
PLGLB2	3	0	0.1586394557823129	0.33442998492957327	18596
ZC3H7B	4	0	0.1584715598555496	0.1797985140863601	18597
WDFY2	4	0	0.15838764488806614	0.17879519888866136	18598
RP11-95P2.3	2	0	0.15795217697916414	0.15795217697916414	18599
AC108488.4	2	0	0.1577902930936282	0.1577902930936282	18600
PXYLP1	4	0	0.1577815992412201	0.2545749583487742	18601
PROCA1	4	0	0.15772328869682128	0.26661699807631184	18602
C1orf109	4	0	0.1576784545032571	0.2009174056437299	18603
ATP5PB	2	0	0.15755647274434303	0.15755647274434303	18604
LCA5	3	0	0.1575182535858567	0.3249249937178526	18605
FAM13A-AS1	3	0	0.1574320290877516	0.31461132603362024	18606
MIPEPP3	2	0	0.15728719403702324	0.15728719403702324	18607
NLRC4	2	0	0.15708678614906663	0.15708678614906663	18608
LINC02245	2	0	0.1569535948894508	0.1569535948894508	18609
RP11-98I9.4	2	0	0.1568299939967833	0.1568299939967833	18610
AP002433.1	2	0	0.15657848931071977	0.15657848931071977	18611
ZKSCAN3	4	0	0.15656842797161116	0.15836708227003482	18612
NANOS1	4	0	0.1565386182619617	0.25452950703932564	18613
RP11-540B6.6	2	0	0.15653344366544655	0.15653344366544655	18614
RGS5	3	0	0.1564754559979906	0.14341877736937836	18615
TNRC6C	4	0	0.15639977565467458	0.19612129038127413	18616
AC007128.1	2	0	0.15639649040002196	0.15639649040002196	18617
SLC4A1AP	4	0	0.15620862605875635	0.17661661418905625	18618
ZNF876P	2	0	0.1561616741133279	0.1561616741133279	18619
CARMIL2	2	0	0.15614368751233715	0.15614368751233715	18620
RP11-864N7.2	2	0	0.15593059313343954	0.15593059313343954	18621
TMED2	4	0	0.15589122250881093	0.27435960508715695	18622
AC100786.1	2	0	0.1558572618219952	0.1558572618219952	18623
CATSPER3	3	0	0.1557878349827643	0.34988706684218096	18624
RPS5	4	0	0.15557264156913642	0.26698353706186057	18625
STT3A	4	0	0.15546139593298655	0.22369169921512097	18626
BAIAP2L2	3	0	0.1553155695446898	0.24626363244889568	18627
NME6	4	0	0.15498781833625924	0.14454131017171779	18628
RARS2	4	0	0.1549437715065404	0.21903738265589326	18629
MSANTD1	3	0	0.1548982541977093	0.13175429793894966	18630
KIAA0196	2	0	0.15488179638632066	0.15488179638632066	18631
NSRP1	4	0	0.1547671506892169	0.25078137581241056	18632
CACUL1	4	0	0.1547226950692362	0.25283157160102887	18633
AC022007.5	2	0	0.15470075061639488	0.15470075061639488	18634
SF1	4	0	0.15463647383967066	0.26145470498751494	18635
AC010468.1	2	0	0.15447807691328258	0.15447807691328258	18636
NUP153	4	0	0.15429497310894455	0.20615159511662262	18637
CEP295NL	2	0	0.15380463564945368	0.15380463564945368	18638
CTD-3193O13.8	2	0	0.15350599956078945	0.15350599956078945	18639
DHX16	4	0	0.1534520706212596	0.16545231901190913	18640
NBPF8	2	0	0.15329937267520327	0.15329937267520327	18641
BCDIN3D	4	0	0.15328412006735903	0.20526553805859807	18642
AC009120.6	2	0	0.15325923861260893	0.15325923861260893	18643
THOC1	4	0	0.1531802820462727	0.17658614708845424	18644
PURA	4	0	0.15315541245016706	0.15395377168416366	18645
NSUN5P1	2	0	0.15308660894401116	0.15308660894401116	18646
HDGF	4	0	0.15305936250931929	0.28002161216952404	18647
VPS36	4	0	0.15298842002946672	0.21601435570828934	18648
POC1B-GALNT4	2	0	0.1528710200955219	0.1528710200955219	18649
GEMIN5	4	0	0.15234835183176232	0.27521097588015575	18650
RP11-889L3.1	2	0	0.1523174458620037	0.1523174458620037	18651
XRCC1	4	0	0.15222173593107946	0.2698665191456219	18652
LINC00473	3	0	0.1516252177458211	0.28437856824611657	18653
RP11-475C16.1	2	0	0.1515313383794643	0.1515313383794643	18654
EAF1-AS1	3	0	0.1514769652718579	0.28320585629649103	18655
USP7	4	0	0.15146692964860345	0.2734573238433681	18656
ZNF816	4	0	0.1512404697989792	0.1852756673550756	18657
RP11-452N17.1	2	0	0.1512172536632606	0.1512172536632606	18658
CRYGS	4	0	0.15099986777537738	0.21090384614451085	18659
