gene	resistance_datasets_testable	resistance_up_count	resistance_down_count	resistance_fdr05_count	resistance_nominal_p05_count	resistance_top10pct_count	resistance_top20pct_count	resistance_median_percentile	resistance_direction_consensus
TSHZ3	3	3	0	2	3	3	3	0.9773469387755102	all_up
SH3PXD2A	3	3	0	2	3	3	3	0.9770748299319728	all_up
FAM171A1	3	3	0	2	3	3	3	0.976067726705378	all_up
LAMA3	3	3	0	2	3	3	3	0.9759089729809868	all_up
DRAM1	3	3	0	2	3	3	3	0.9754421768707484	all_up
LIMCH1	3	3	0	2	3	3	3	0.9753079719976122	all_up
PLIN5	3	0	3	2	3	3	3	0.9738705014639932	all_down
NPY5R	3	0	3	2	3	3	3	0.9738095238095238	all_down
ELL2	3	3	0	2	3	3	3	0.9719802824209628	all_up
ATP6V1C2	3	3	0	2	3	3	3	0.9707571995107668	all_up
TPM2	3	3	0	2	3	3	3	0.9702383158518958	all_up
ASPH	3	3	0	2	3	3	3	0.9700680272108844	all_up
SIRPA	3	3	0	2	3	3	3	0.9699319727891156	all_up
KCND3	3	3	0	2	3	3	3	0.9696098116893688	all_up
DLX1	3	3	0	2	3	3	3	0.9677646931133662	all_up
FURIN	3	3	0	2	3	3	3	0.967687074829932	all_up
PCDH1	3	3	0	2	3	3	3	0.9676018885331308	all_up
PTGFRN	3	3	0	2	3	3	3	0.9675697713205588	all_up
PRICKLE2-AS2	3	3	0	2	3	3	3	0.9673848157594832	all_up
ANTXR2	3	3	0	2	3	3	3	0.9673469387755104	all_up
PLOD2	3	3	0	2	3	3	3	0.9651977317371484	all_up
BEND7	3	3	0	2	3	3	3	0.96421768707483	all_up
C5AR2	3	0	3	2	3	3	3	0.963469387755102	all_down
MYOF	3	0	3	2	3	3	3	0.9622293373853584	all_down
MAP1B	3	3	0	2	3	3	3	0.9619037282248872	all_up
LPAR1	3	3	0	2	3	3	3	0.9615238508710044	all_up
SPATA13	3	3	0	2	3	3	3	0.9606122448979592	all_up
ADAMTS10	3	3	0	2	3	3	3	0.9604927551961796	all_up
AHR	3	3	0	2	3	3	3	0.9604384870027676	all_up
JAG1	3	3	0	2	3	3	3	0.960342463214855	all_up
TRIB2	3	3	0	2	3	3	3	0.9602721088435374	all_up
EEPD1	3	3	0	2	3	3	3	0.9593417590156036	all_up
SIAH2	3	0	3	2	3	3	3	0.9587858122382418	all_down
AF131215.2	3	3	0	2	3	3	3	0.9587019048135887	all_up
SMAD9	3	3	0	2	3	3	3	0.957673918683518	all_up
MBP	3	3	0	2	3	3	3	0.9564625850340136	all_up
LRP12	3	3	0	2	3	3	3	0.95578231292517	all_up
GATA4	3	0	3	2	3	3	3	0.9557714223693492	all_down
SGCG	3	0	3	2	3	3	3	0.955554349595702	all_down
SLPI	3	3	0	2	3	3	3	0.9548941847967088	all_up
