gene	crispr_effect	crispr_p	crispr_fdr	crispr_testable	crispr_direction	gse118713_log2fc	gse118713_p	gse118713_fdr	gse118713_testable	gse118713_direction	gse245601_epi_log2fc	gse245601_epi_p	gse245601_epi_fdr	gse245601_malignant_log2fc	gse245601_malignant_p	gse245601_malignant_fdr	gse245601_testable	gse245601_track_direction_agreement	gse240112_tumor_log2fc	gse240112_tumor_p	gse240112_tumor_fdr	gse240112_epi_log2fc	gse240112_epi_p	gse240112_epi_fdr	gse240112_testable	gse240112_track_direction_agreement	gse240112_outlier_fragility	gse111151_log2fc	gse111151_p	gse111151_fdr	gse111151_testable	crispr_evidence_percentile	gse118713_evidence_percentile	gse245601_track_a_percentile	gse245601_track_b_percentile	gse245601_evidence_percentile	gse245601_one_track_only	gse240112_tumor_percentile	gse240112_epi_percentile	gse240112_evidence_percentile	gse111151_evidence_percentile	n_datasets_testable	coverage_tier	n_datasets_fdr05	n_datasets_nominal_p05	n_datasets_top10pct	n_datasets_top20pct	median_evidence_percentile	equal_dataset_mean_percentile	min_evidence_percentile	max_evidence_percentile	_tier_sort	global_rank	is_surprise	previously_in_28_crispr_hits
PTGER4	0.0694698535957041	0.8838938282183116	0.9855405299125516	True	tolerance_associated_KO	2.01008506298029	0.00010904515113	0.0010881048772476	True	up_in_TAMR	-0.719810943237428	6.280020743685e-06	0.0091712694789418	-0.967512021987408	0.0062580106878843	0.489794560821865	True	True	4.19512006275126	1.41785156490891e-05	0.00031888140545	3.5986550963879	6.35473953881763e-05	0.0009245165218498	True	True	False	0.87916782532565	0.0380323986730166	0.372218014464021	True	0.1031829127840017	0.8995918367346939	0.9993884132102746	0.9873755590823836	0.9933819861463292	False	0.9556086177891138	0.9313101406365656	0.9556086177891138	0.897557540491457	5	A	3	4	2	4	0.8995918367346939	0.7698645787891191	0.1031829127840017	0.9933819861463292	5	11	True	False
C6orf141	-0.0570744905558981	0.8699150804214882	0.98463570784176	True	sensitising_KO	-1.76093979642219	0.0001206234350537	0.00117595961191	True	down_in_TAMR	-0.539559941439589	0.0001162628418971	0.0360555127104288	-0.428915719521202	0.0315472741370436	0.526915495616669	True	True	-3.62458109514994	0.000463961196664	0.0040008783023513	-3.06895256453016	0.0008155933037808	0.0058652167431589	True	True	False	-1.5040993064385	0.0174074142161961	0.296039070249586	True	0.1168464035179562	0.8972108843537415	0.9968308684532414	0.940196219881691	0.9685135441674662	False	0.8840831388723069	0.8609918578830495	0.8840831388723069	0.9408843260071904	5	A	3	4	2	4	0.8972108843537415	0.7615076593837322	0.1168464035179562	0.9685135441674662	5	12	True	False
LAMB3	0.4263586672189277	0.1218561034403154	0.7675762105551595	True	tolerance_associated_KO	1.98623956140971	8.16514918093033e-06	0.0001408773064495	True	up_in_TAMR	-0.161212345281115	0.101597470642053	0.455931015057405	-0.0578268676060725	0.741133992915659	0.914412650746688	True	True	3.67819351907871	0.0004059010328636	0.0036152461254765	3.10636793385788	0.0003706532267251	0.0033076434578652	True	True	False	1.73734283578094	1.4431189496036e-05	0.0215374992764131	True	0.8413255156528112	0.942108843537415	0.7772156121427777	0.1895108930890203	0.483363252615899	False	0.8877733760243122	0.8879842092277326	0.8877733760243122	0.9994069901041474	5	A	3	3	2	4	0.8877733760243122	0.8307955955869171	0.483363252615899	0.9994069901041474	5	13	True	False
RUNX1	-0.030080328111155	0.8985511733440158	0.9863663971804556	True	sensitising_KO	0.877399906066025	0.0002170252232258	0.0018711332145406	True	up_in_TAMR	-0.490892993299706	8.13477830643227e-05	0.0287533590331424	-0.449401230701862	0.0144007703726569	0.502866195657791	True	True	1.23094841966637	0.0004391934041346	0.0038430465581164	1.32808094126631	0.0003288446388018	0.0030210178830271	True	True	False	-0.801210791238185	0.022881763157705	0.319295586018137	True	0.089048267197152	0.8836734693877552	0.997275658845769	0.9714326936949936	0.9843541762703812	False	0.8857654528680741	0.8911917098445596	0.8857654528680741	0.9280604870093768	5	A	3	4	2	4	0.8857654528680741	0.754180370546548	0.089048267197152	0.9843541762703812	5	14	True	False
DMRTA1	-0.0478186965360958	0.8743604206751495	0.98463570784176	True	sensitising_KO	1.66612525298514	1.35847909609319e-07	6.69671522519295e-06	True	up_in_TAMR	0.129659114117763	0.515854009311112	0.814823361441527				True		1.45784459213153	0.0004743945443765	0.0040680049622012	1.35484220100488	0.0002233534976073	0.0022785583079383	True	True	False	2.31285987676122	1.84547553514192e-05	0.0252996241112606	True	0.1125536593026907	0.98	0.3669520738352051		0.3669520738352051	True	0.8834319205513649	0.9020478657784358	0.8834319205513649	0.999295800748675	5	A	3	3	2	3	0.8834319205513649	0.6684466908875871	0.1125536593026907	0.999295800748675	5	15	True	False
SOX2	1.5125795984924384	4.4820586915723774e-06	0.012231538169301	True	tolerance_associated_KO	0.689938479322989	0.0017000936290111	0.009274260760025	True	up_in_TAMR	-0.334393694467966	0.325538393566868	0.694290309090563	-0.36606170929984	0.28660778883357	0.685540154621828	True	True	7.44086437435914	1.00172235696804e-06	5.59971704623335e-05	8.83830234730668	4.51761055517279e-08	7.56643764554808e-06	True	True	False	0.885804950531392	0.212743715920636	0.631863307812325	True	0.9996858967647366	0.8161224489795919	0.5311909262759924	0.5820227961333141	0.5566068612046533	False	0.9822543007543278	0.994078460399704	0.9822543007543278	0.6630962529187205	5	A	3	3	2	3	0.8161224489795919	0.803553152124406	0.5566068612046533	0.9996858967647366	5	16	False	True
MSMO1	-0.2168261674329947	0.5195409307054563	0.9088507633029216	True	sensitising_KO	0.746231780446454	0.0024513974903645	0.0123973537702896	True	up_in_TAMR	0.939377728675089	4.06936547830909e-05	0.0203321324606515	0.816517399334971	0.0025136770620422	0.458005910340973	True	True	1.59949514060702	0.000143979601224	0.0017138756417677	1.57526060712091	8.46331666592264e-05	0.0011291479628149	True	True	False	0.469438982559742	0.337825454996612	0.732329089587057	True	0.4284891634383834	0.8017006802721088	0.998054042032692	0.994661664983408	0.99635785350805	False	0.9160471047918816	0.9250925240562546	0.9160471047918816	0.5380452911307958	5	A	3	3	2	3	0.8017006802721088	0.736128018628244	0.4284891634383834	0.99635785350805	5	17	True	False
NEDD9	-0.4124793023576547	0.1716107271944729	0.7909727675032434	True	sensitising_KO	2.67750935819239	2.38008416018116e-06	5.5879254380962e-05	True	up_in_TAMR	-0.443481059818697	0.0001221289804124	0.0372327791640346	-0.151985441550305	0.391353781309514	0.748528900426847	True	True	3.09003862235217	1.81281587938765e-07	2.15249326405769e-05	2.6239217513155	5.82342774026829e-07	3.57629050255386e-05	True	True	False	-0.84020830266854	0.124574742211971	0.53898972068073	True	0.7837922730604125	0.9576190476190476	0.9967752696541756	0.4772038666859038	0.7369895681700397	False	0.9916426982145764	0.9837651122625216	0.9916426982145764	0.76865201438049	5	A	3	3	2	2	0.7837922730604125	0.8477391202889134	0.7369895681700397	0.9916426982145764	5	18	True	False
WBP2	-0.6640345091508015	0.0157533031167897	0.5850133063510367	True	sensitising_KO	-0.557585219950738	0.0042909801735369	0.019131479511701	True	down_in_TAMR	0.432169877881987	0.0002285747998434	0.0456819436087105	0.615030395326285	0.002218220341747	0.458005910340973	True	True	0.927992692403754	0.0107602028768513	0.0403929555132645	0.790076494747316	0.0284228446835384	0.0833358464057566	True	True	False	-0.0817588584837388	0.651294548472895	0.891526906670896	True	0.973353575541828	0.7751020408163265	0.9950517068831312	0.9953830616072716	0.9952173842452016	False	0.7336517067346828	0.6589686651862818	0.7336517067346828	0.2688187984136985	5	A	3	4	2	2	0.7751020408163265	0.7492287011503475	0.2688187984136985	0.9952173842452016	5	19	True	False
HLA-DQB1	0.3161325155560064	0.5523489878220377	0.92039532339481	True	tolerance_associated_KO	1.42040464062219	0.0001724145099827	0.0015561353400998	True	up_in_TAMR	0.048426387187672	0.677880307128062	0.893122827972608	0.366800396438443	0.0794633136516907	0.560098840484709	True	True	1.87792948687874	0.0002801767529543	0.0027713887297057	1.2479372112899	0.004843417261776	0.022328638359225	True	True	False	1.95897568565374	4.29419240447451e-05	0.0390633924740031	True	0.399905769029421	0.8889115646258503	0.2410207939508506	0.858966960034627	0.5499938769927388	False	0.8989526238671515	0.7831236121391562	0.8989526238671515	0.998962232682258	5	A	3	3	1	3	0.8889115646258503	0.7473452134394839	0.399905769029421	0.998962232682258	5	20	True	False
