gene	crispr_effect	crispr_p	crispr_fdr	crispr_testable	crispr_direction	gse118713_log2fc	gse118713_p	gse118713_fdr	gse118713_testable	gse118713_direction	gse245601_epi_log2fc	gse245601_epi_p	gse245601_epi_fdr	gse245601_malignant_log2fc	gse245601_malignant_p	gse245601_malignant_fdr	gse245601_testable	gse245601_track_direction_agreement	gse240112_tumor_log2fc	gse240112_tumor_p	gse240112_tumor_fdr	gse240112_epi_log2fc	gse240112_epi_p	gse240112_epi_fdr	gse240112_testable	gse240112_track_direction_agreement	gse240112_outlier_fragility	gse111151_log2fc	gse111151_p	gse111151_fdr	gse111151_testable	crispr_evidence_percentile	gse118713_evidence_percentile	gse245601_track_a_percentile	gse245601_track_b_percentile	gse245601_evidence_percentile	gse245601_one_track_only	gse240112_tumor_percentile	gse240112_epi_percentile	gse240112_evidence_percentile	gse111151_evidence_percentile	n_datasets_testable	coverage_tier	n_datasets_fdr05	n_datasets_nominal_p05	n_datasets_top10pct	n_datasets_top20pct	median_evidence_percentile	equal_dataset_mean_percentile	min_evidence_percentile	max_evidence_percentile	resistance_datasets_testable	resistance_up_count	resistance_down_count	resistance_fdr05_count	resistance_nominal_p05_count	resistance_top10pct_count	resistance_top20pct_count	resistance_median_percentile	resistance_direction_consensus	evidence_category	global_rank
HMGB1	-1.4740651006700034	2.551808246234588e-05	0.0372575660229722	True	sensitising_KO	-0.0794061555047207	0.606593124982683	0.731817935481995	True	down_in_TAMR	-0.0697664035194113	0.488249127360714	0.800435901224173	0.164731106307106	0.418940494794767	0.763953154172748	True	False	-0.154623744509501	0.731573371995063	0.820887420028315	0.0222884153018175	0.959113177440607	0.974256310661688	True	False	False	-0.130515412318803	0.453830618697012	0.80271652586053	True	0.999424144068684	0.1708163265306123	0.3901923718447682	0.4516664262011254	0.4209293990229468	False	0.1088077277907418	0.0155440414507772	0.1088077277907418	0.4338979281716764	5	A	1	1	1	1	0.4209293990229468	0.4267751051169323	0.1088077277907418	0.999424144068684	3	0	3	0	0	0	0	0.1708163265306123	all_down	FUNCTIONAL_ONLY	2690.0
ICK	-1.2245539921905229	2.92552735352868e-05	0.0372575660229722	True	sensitising_KO	0.106733026979587	0.523311365648252	0.663325990388584	True	up_in_TAMR	-0.0894575161021647	0.331794850446173	0.699401614317978	-0.172517635891842	0.339755448176951	0.717664144153142	True	True	0.358028755494179	0.297759481780262	0.44062569101796	0.515081118405101	0.094376388184944	0.196510005440879	True	True	False	-0.168093978284892	0.287875096072109	0.697681709271967	True	0.9992670924510524	0.2104761904761904	0.5256310463693985	0.5266195354205743	0.5261252908949864	False	0.3242524556357519	0.5197631384159882	0.3242524556357519	0.5870056706571292	5	A	1	1	1	1	0.5261252908949864	0.529425340023022	0.2104761904761904	0.9992670924510524	3	2	1	0	0	0	0	0.3242524556357519	majority_up	FUNCTIONAL_ONLY	2584.0
IL20	-0.0203661336602625	0.9382401866533708	0.9941012600195046	True	sensitising_KO	-4.62274443473232	6.08646815923172e-07	2.02946100104899e-05	True	down_in_TAMR	-0.650482193601952	0.0042703571750931	0.143303944978358	0.0923062460653731	0.670045649178345	0.887253157497809	True	False	-15.5941788859754	4.58375501554144e-08	9.23929691220522e-06	-16.6557082780483	2.76410520289175e-08	6.02337161739829e-06	True	True	False	-6.7450873803842	0.0015166922799819	0.135454947663012	True	0.0562244791121349	0.9702721088435374	0.970254642499722	0.2449862934641465	0.6076204679819344	False	0.995170130786346	0.9954601529731064	0.995170130786346	0.9886957488603092	5	A	2	4	3	3	0.9702721088435374	0.7235965871168524	0.0562244791121349	0.995170130786346	3	0	3	2	3	3	3	0.9886957488603092	all_down	RNA_RESISTANCE_CONSENSUS	101.0
KDM1A	-2.167335634799461	8.061303724868798e-08	0.0003849877126404	True	sensitising_KO	0.146667919066447	0.340762443520025	0.493845720601604	True	up_in_TAMR	-0.215079883472444	0.0543061699862238	0.369442163215661	-0.362291502794021	0.0504392838528707	0.546271051771107	True	True	0.191941386609262	0.451435037867876	0.59163963287314	0.352813391983954	0.197519274647072	0.332468905315411	True	True	False	0.0713993613378379	0.68504690338252	0.905930650706976	True	0.9998429483823684	0.3093197278911564	0.8530523740687201	0.908094070119752	0.8805732220942359	False	0.236989200629511	0.4059215396002961	0.236989200629511	0.2434305622475074	5	A	1	1	1	2	0.3093197278911564	0.5340311322489558	0.236989200629511	0.9998429483823684	3	3	0	0	0	0	0	0.2434305622475074	all_up	FUNCTIONAL_ONLY	2241.0
LAMB3	0.4263586672189277	0.1218561034403154	0.7675762105551595	True	tolerance_associated_KO	1.98623956140971	8.16514918093033e-06	0.0001408773064495	True	up_in_TAMR	-0.161212345281115	0.101597470642053	0.455931015057405	-0.0578268676060725	0.741133992915659	0.914412650746688	True	True	3.67819351907871	0.0004059010328636	0.0036152461254765	3.10636793385788	0.0003706532267251	0.0033076434578652	True	True	False	1.73734283578094	1.4431189496036e-05	0.0215374992764131	True	0.8413255156528112	0.942108843537415	0.7772156121427777	0.1895108930890203	0.483363252615899	False	0.8877733760243122	0.8879842092277326	0.8877733760243122	0.9994069901041474	5	A	3	3	2	4	0.8877733760243122	0.8307955955869171	0.483363252615899	0.9994069901041474	3	3	0	3	3	2	3	0.942108843537415	all_up	RNA_RESISTANCE_CONSENSUS	13.0
LARP6	0.4086334541544962	0.3015661079752299	0.8391932743393512	True	tolerance_associated_KO	3.18867565082983	1.48751184577803e-08	1.52218625983823e-06	True	up_in_TAMR	0.670566206536301	0.0002422097409585	0.045806833023983	0.77034916152658	0.0005484889198472	0.421434038647359	True	True	4.35977048344305	1.87161599691204e-07	2.15258880852754e-05	3.98787080599	3.49386778037642e-07	2.48001281153815e-05	True	True	False	1.02921322051357	0.0204360774532162	0.308539603882257	True	0.6410323526332321	0.9904761904761904	0.9947737128878016	0.9992064637137498	0.9969900883007756	False	0.991425625440929	0.9860843819393044	0.991425625440929	0.933508765427523	5	A	3	4	4	4	0.9904761904761904	0.91068660445573	0.6410323526332321	0.9969900883007756	3	3	0	2	3	3	3	0.9904761904761904	all_up	RNA_RESISTANCE_CONSENSUS	2.0
LZTR1	1.4583532397139498	5.201626345221791e-06	0.0124208335090964	True	tolerance_associated_KO	1.11048033871916	0.0031528845375511	0.0151008717779807	True	up_in_TAMR	0.0414554130824415	0.733327635841814	0.913396869045545	-0.0214265805026217	0.929560186392181	0.976693410940943	True	False	0.217133315001067	0.469003520538008	0.607834367851074	0.193111730613412	0.472986168531053	0.613906602500982	True	True	False	0.195307961266389	0.313997212862677	0.716808182530627	True	0.999633546225526	0.7905442176870748	0.1971533414878238	0.0482614341364882	0.122707387812156	False	0.2284148260704401	0.2295583518381445	0.2284148260704401	0.5613950557799934	5	A	2	2	1	1	0.5613950557799934	0.5405390067150382	0.122707387812156	0.999633546225526	3	3	0	1	1	0	0	0.5613950557799934	all_up	MULTIMODAL_STRONG	1173.0
MALRD1	0.3406285432216451	0.2513439725934484	0.813514228114586	True	tolerance_associated_KO	-2.00670613359584	1.79467521444934e-08	1.69613954343944e-06	True	down_in_TAMR							False		-11.4223031263856	9.69618784053893e-10	1.71743527749721e-06	-10.7093335827699	5.84772271870534e-09	3.0404341772107e-06	True	True	False	-3.5845862703199	0.0084349932341469	0.23150214664048	True	0.6911318186577322	0.9896598639455784				False	0.9996743908395288	0.9981741919565754	0.9996743908395288	0.9633445758126088	4	B	2	3	3	3	0.9765022198790936	0.910952662313862	0.6911318186577322	0.9996743908395288	3	0	3	2	3	3	3	0.9896598639455784	all_down	RNA_RESISTANCE_CONSENSUS	11099.0
MBTPS2	1.1614302745015106	0.0002243345930416	0.1127753613387858	True	tolerance_associated_KO	-0.0247886094132084	0.940805581749532	0.969085263589001	True	down_in_TAMR	-0.133590615173607	0.275777829314446	0.653387607599525	-0.109000625015115	0.615224575529128	0.864206939969632	True	True	-1.25922997831224	0.0006174335657514	0.0048832900213165	-1.2276056902893	0.0003329512491209	0.0030421956783972	True	True	False	-0.251565486522998	0.271338820755205	0.686053835066969	True	0.9980630300492096	0.0290476190476191	0.578005115089514	0.2881258115712019	0.4330654633303579	False	0.8736093775438216	0.89059955588453	0.8736093775438216	0.6040176420444017	5	A	1	2	1	2	0.6040176420444017	0.5875606264030819	0.0290476190476191	0.9980630300492096	3	0	3	1	1	0	1	0.6040176420444017	all_down	RNA_RESISTANCE_CONSENSUS	2104.0
MRGBP	-1.593677951029952	0.000177469090535	0.1093610334351893	True	sensitising_KO	-0.215211396829581	0.325542101793921	0.478819286432796	True	down_in_TAMR	0.0560333969474567	0.496893728513749	0.80396333763211	0.152879668094861	0.343476324130011	0.720094720609848	True	True	0.220842081984122	0.515437282014949	0.648818727826956	0.340254498646183	0.295907380241908	0.442539957787803	True	True	False	0.0703292737946595	0.723935721215726	0.920535342605689	True	0.9984294838236834	0.3194557823129251	0.3820193483820749	0.5232289712884144	0.4526241598352447	False	0.2056221848374667	0.3313594867999013	0.2056221848374667	0.2132241206775138	5	A	0	1	1	1	0.3194557823129251	0.4378711462973667	0.2056221848374667	0.9984294838236834	3	2	1	0	0	0	0	0.2132241206775138	majority_up	LOW_EVIDENCE	5971.0
