gene	subset	drug_id	drug_name	target	pathway	dataset	metric	n	spearman_rho	p_value	direction	fdr
VEZF1	all_breast_lines	1066	AZD6482	PIK3CB	PI3K/MTOR signaling	GDSC1	LN_IC50	40	0.3838649155722327	0.01447376881554425	higher_expression_more_resistant	0.6974884923264675
VEZF1	all_breast_lines	1373	Dabrafenib	BRAF	ERK MAPK signaling	GDSC2	LN_IC50	45	0.36166007905138337	0.0146434270113567	higher_expression_more_resistant	0.24814011235152328
VEZF1	all_breast_lines	1916	AZD5363	AKT1, AKT2, AKT3, ROCK2	Other, kinases	GDSC2	LN_IC50	45	0.36113306982872195	0.014798985892547419	higher_expression_more_resistant	0.24814011235152328
VEZF1	all_breast_lines	1912	Afuresertib	AKT1, AKT2, AKT3	PI3K/MTOR signaling	GDSC2	AUC	45	0.3607378129117259	0.014916574688562185	higher_expression_more_resistant	0.7085372977067038
VEZF1	all_breast_lines	1582	SGC-CBP30	EP300, CBP	Chromatin histone acetylation	GDSC2	LN_IC50	37	0.39355144618302507	0.015958467086930512	higher_expression_more_resistant	0.24814011235152328
VEZF1	all_breast_lines	1811	Dactinomycin	RNA polymerase	Other	GDSC2	LN_IC50	37	0.39023233760075865	0.016951820387833934	higher_expression_more_resistant	0.24814011235152328
VEZF1	all_breast_lines	1785	LMB_AB3	PPP1R15B	Other	GDSC2	LN_IC50	37	0.39023233760075865	0.016951820387833934	higher_expression_more_resistant	0.24814011235152328
VEZF1	all_breast_lines	1036	PLX-4720	BRAF	ERK MAPK signaling	GDSC2	LN_IC50	45	0.3524374176548089	0.01757568468108775	higher_expression_more_resistant	0.24814011235152328
VEZF1	all_breast_lines	1066	AZD6482	PIK3CB	PI3K/MTOR signaling	GDSC1	AUC	40	0.3711069418386492	0.01839647204974855	higher_expression_more_resistant	0.7549699577280801
VEZF1	all_breast_lines	1050	ZM447439	AURKA, AURKB	Mitosis	GDSC2	LN_IC50	45	0.3474308300395257	0.019365545931621497	higher_expression_more_resistant	0.24814011235152328
