gene	subset	drug_id	drug_name	target	pathway	dataset	metric	n	spearman_rho	p_value	direction	fdr
USP34	all_breast_lines	1016	Temsirolimus	MTOR	PI3K/MTOR signaling	GDSC1	AUC	43	0.05919661733615222	0.706121086971382	higher_expression_more_resistant	0.8770767185539271
USP34	all_breast_lines	1093	GSK1904529A	IGF1R, IR	IGF1R signaling	GDSC2	AUC	45	-0.057707509881422925	0.7065196835331767	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	1998	BPD-00008900		Other	GDSC2	AUC	41	-0.060452961672473875	0.7073178556539556	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	287	KIN001-244	PDK1	Other, kinases	GDSC1	LN_IC50	45	0.05731225296442687	0.7084407143899553	higher_expression_more_resistant	0.8302323188272231
USP34	all_breast_lines	1079	Dasatinib	ABL, SRC, Ephrins, PDGFR, KIT	Other, kinases	GDSC2	AUC	45	-0.05731225296442687	0.7084407143899553	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	1853	OF-1	BRPF1B, BRPF2	Chromatin histone acetylation	GDSC2	LN_IC50	40	0.06097560975609758	0.7085806641632805	higher_expression_more_resistant	0.9096643661555628
USP34	all_breast_lines	1009	Tretinoin	Retinoic acid	Other	GDSC1	AUC	43	0.058592570220477196	0.7089874367792773	higher_expression_more_resistant	0.8775578762932313
USP34	all_breast_lines	1203	QL-XII-61	BMX, BTK	Other, kinases	GDSC1	LN_IC50	20	-0.08872180451127819	0.7099206278927328	higher_expression_more_sensitive	0.8302323188272231
USP34	all_breast_lines	1363	BAY AKT1	AKT1, AKT2, AKT3	Apoptosis regulation	GDSC1	LN_IC50	40	-0.06060037523452158	0.7102959553636724	higher_expression_more_sensitive	0.8302323188272231
USP34	all_breast_lines	1866	BDP-00009066	MRCKB_HUMAN	Cytoskeleton	GDSC2	AUC	41	-0.05975609756097563	0.7105445595275781	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	1053	MK-2206	AKT1, AKT2	PI3K/MTOR signaling	GDSC1	AUC	42	0.05874726521351593	0.711713733937304	higher_expression_more_resistant	0.8778629331491484
USP34	all_breast_lines	1779	GSK626616AC	DYRK1A	Other, kinases	GDSC2	AUC	37	0.06258890469416785	0.7128675975950707	higher_expression_more_resistant	0.9726885182599289
USP34	all_breast_lines	290	KIN001-260	CDC7	DNA replication	GDSC1	LN_IC50	45	-0.05638998682476943	0.7129300657757223	higher_expression_more_sensitive	0.8302323188272231
USP34	all_breast_lines	2172	JQ1	BRD2, BRD3, BRD4, BRDT	Chromatin other	GDSC2	AUC	45	-0.05638998682476943	0.7129300657757223	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	1502	Bicalutamide	AR	Hormone-related	GDSC1	LN_IC50	41	-0.05923344947735192	0.7129678670154684	higher_expression_more_sensitive	0.8302323188272231
USP34	all_breast_lines	140	Vinorelbine	Microtubule destabiliser	Mitosis	GDSC1	AUC	44	-0.056659619450317125	0.7148789982422438	higher_expression_more_sensitive	0.8787054353394246
USP34	all_breast_lines	182	Obatoclax Mesylate	BCL2, BCL-XL, BCL-W, MCL1	Apoptosis regulation	GDSC1	AUC	45	-0.05546772068511198	0.7174290304590109	higher_expression_more_sensitive	0.8787885009774735
USP34	all_breast_lines	1580	GSK2801		Chromatin other	GDSC2	LN_IC50	37	0.06116642958748221	0.7191254653312217	higher_expression_more_resistant	0.9152709114821309
USP34	all_breast_lines	1940	WIKI4	TNKS1, TNKS2	WNT signaling	GDSC2	AUC	45	0.055072463768115934	0.7193600668296034	higher_expression_more_resistant	0.9726885182599289
USP34	all_breast_lines	1084	Rapamycin	MTORC1	PI3K/MTOR signaling	GDSC2	AUC	45	0.054940711462450595	0.7200041304767908	higher_expression_more_resistant	0.9726885182599289
USP34	all_breast_lines	1913	AGI-5198	IDH1 (R132H)	Metabolism	GDSC2	LN_IC50	45	0.054808959156785235	0.7206483858771955	higher_expression_more_resistant	0.9152709114821309
USP34	all_breast_lines	1583	GSK-LSD1	KDM1	Chromatin histone methylation	GDSC2	AUC	37	0.06069227121858701	0.7212154532157095	higher_expression_more_resistant	0.9726885182599289
USP34	all_breast_lines	1382	AZD3514	AR	Hormone-related	GDSC1	LN_IC50	43	-0.05587435819993959	0.721934656360843	higher_expression_more_sensitive	0.8351825636969998
USP34	all_breast_lines	200	Dacinostat	HDAC1	Chromatin histone acetylation	GDSC1	LN_IC50	45	0.05454545454545454	0.7219374703143558	higher_expression_more_resistant	0.8351825636969998
