gene	candidate_class	crispr_effect	crispr_p	crispr_fdr	crispr_direction	crispr_sensitising_yes_no	gse118713_log2fc	gse118713_p	gse118713_fdr	gse118713_direction	gse118713_significant	gse240112_log2fc	gse240112_p	gse240112_fdr	gse240112_direction	gse240112_significant	gse240112_sample_robustness	gse240112_outlier_warning	gse111151_log2fc	gse111151_p	gse111151_fdr	gse111151_direction	gse111151_significant	gse111151_cell_line_consistency	gse245601_epi_log2fc	gse245601_epi_p	gse245601_epi_fdr	gse245601_malignant_log2fc	gse245601_malignant_p	gse245601_malignant_fdr	acute_summary_direction	acute_significance_summary	resistance_pattern_3	full_rna_pattern_4	resistance_fdr05_count	resistance_nominal_p05_count	resistance_direction_consistency	human_tumor_support	global_rank	resistance_rank	crispr_rank	ranking_stability	crispr_direction_supports_inhibition_strategy	main_strength	main_limitation	eligible_for_freeze	ineligibility_reason	freeze_shortlisted	freeze_shortlist_rank
SPRED2	HUMAN_TUMOR_SUPPORTED	1.6872268467811598	0.0001071833806909	0.0783442627744789	tolerance_associated_KO	False	0.405154932775937	0.0508537172927318	0.123396149990115	up	False	1.0847479479782	0.009452801592471	0.0367968372932099	up	True	epithelial_track_direction_agrees	False	-0.0205601860884027	0.9157215216746	0.977942795685794	down	False	2/4	-0.111499361993478	0.212746834424498	0.593126375452112	0.0971968055801272	0.654268199660315	0.881364303944315	↓	track_A_not_significant, track_B_not_significant	↑ | ↑* | ↓	↑ | ↑* | ↓ || ↓	1	1	majority_up	significant	2484.0	7120	26	DATASET_DEPENDENT	False	CRISPR FDR<0.10; 1/3 resistance datasets FDR<0.05; human-tumor support	CRISPR direction is tolerance-associated, not sensitising	False	CRISPR direction is tolerance_associated_KO, not sensitising_KO	False	
SUPT4H1	FUNCTIONAL_ONLY	-1.6837884606622353	2.8217361523605968e-05	0.0372575660229722	sensitising_KO	True	0.037335300465398	0.824107519679636	0.893464168113868	up	False	1.00349742270902	0.0261281073826727	0.0765239610374908	up	False	epithelial_track_direction_agrees	False	0.0183645827810597	0.916047683397903	0.977955507540752	up	False	3/4	0.0698538693732563	0.494197014546449	0.803091952332355	0.277728602004246	0.147888913250191	0.598419148974724	↑	track_A_not_significant, track_B_not_significant	↑ | ↑ | ↑	↑ | ↑ | ↑ || ↑	0	1	all_up	not_significant	2518.0	24761	14	DATASET_DEPENDENT	True	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05	False	no resistance-RNA dataset FDR<0.05 and no significant human-tumor support (functional-only -- see List C instead)	False	
EIF4ENIF1	FUNCTIONAL_ONLY	-1.5506541534723943	2.8211529650492784e-05	0.0372575660229722	sensitising_KO	True	0.53145903933498	0.0164126955030823	0.0529761966227399	up	False	0.0629475872692003	0.792166447431357	0.863278728164698	up	False	epithelial_track_direction_agrees	False	-0.128950200396878	0.321816876485056	0.72170580070892	down	False	4/4	-0.0618984390937733	0.562927525960468	0.839383757340375	-0.259810148331114	0.22699538300837	0.647959512553079	↓	track_A_not_significant, track_B_not_significant	↑ | ↑ | ↓	↑ | ↑ | ↓ || ↓	0	1	majority_up	not_significant	2536.0	27255	13	DATASET_DEPENDENT	True	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05	False	no resistance-RNA dataset FDR<0.05 and no significant human-tumor support (functional-only -- see List C instead)	False	
ICK	FUNCTIONAL_ONLY	-1.2245539921905229	2.92552735352868e-05	0.0372575660229722	sensitising_KO	True	0.106733026979587	0.523311365648252	0.663325990388584	up	False	0.358028755494179	0.297759481780262	0.44062569101796	up	False	epithelial_track_direction_agrees	False	-0.168093978284892	0.287875096072109	0.697681709271967	down	False	3/4	-0.0894575161021647	0.331794850446173	0.699401614317978	-0.172517635891842	0.339755448176951	0.717664144153142	↓	track_A_not_significant, track_B_not_significant	↑ | ↑ | ↓	↑ | ↑ | ↓ || ↓	0	0	majority_up	not_significant	2584.0	28826	15	DATASET_DEPENDENT	True	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05	False	no resistance-RNA dataset FDR<0.05 and no significant human-tumor support (functional-only -- see List C instead)	False	
HMGB1	FUNCTIONAL_ONLY	-1.4740651006700034	2.551808246234588e-05	0.0372575660229722	sensitising_KO	True	-0.0794061555047207	0.606593124982683	0.731817935481995	down	False	-0.154623744509501	0.731573371995063	0.820887420028315	down	False	epithelial_track_direction_disagrees	False	-0.130515412318803	0.453830618697012	0.80271652586053	down	False	2/4	-0.0697664035194113	0.488249127360714	0.800435901224173	0.164731106307106	0.418940494794767	0.763953154172748	↓	track_A_not_significant, track_B_not_significant	↓ | ↓ | ↓	↓ | ↓ | ↓ || ↓	0	0	all_down	not_significant	2690.0	23022	12	DATASET_DEPENDENT	True	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05	False	no resistance-RNA dataset FDR<0.05 and no significant human-tumor support (functional-only -- see List C instead)	False	
TLK2	FUNCTIONAL_ONLY	-1.848198303730188	4.386303381194677e-07	0.0016758310698192	sensitising_KO	True	-0.151752544851276	0.537409278417347	0.674943903042664	down	False	0.0570763695102118	0.819071205238469	0.882577720157556	up	False	epithelial_track_direction_agrees	False	0.0727893622757189	0.529634514645246	0.839733945674166	up	False	4/4	-0.0362993225303796	0.651540954112414	0.882198640375374	-0.221502174721007	0.185792526203101	0.628030081252529	↓	track_A_not_significant, track_B_not_significant	↓ | ↑ | ↑	↓ | ↑ | ↑ || ↓	0	0	majority_up	not_significant	2726.0	29732	5	DATASET_DEPENDENT	True	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05	False	no resistance-RNA dataset FDR<0.05 and no significant human-tumor support (functional-only -- see List C instead)	False	
TADA2B	FUNCTIONAL_ONLY	-2.0643649381530107	6.8725943769325934e-06	0.0145874633758381	sensitising_KO	True	0.0065434913994528	0.969595475342978	0.984583852830181	up	False	0.427658434315663	0.241695471048395	0.380115251679473	up	False	epithelial_track_direction_agrees	False	0.0560617398417958	0.728647978515586	0.922008042963833	up	False	2/4	0.0702306580392095	0.469688894293384	0.789858424764366	-0.154267537692414	0.451106746041953	0.784486461726752	↑	track_A_not_significant, track_B_not_significant	↑ | ↑ | ↑	↑ | ↑ | ↑ || ↑	0	0	all_up	not_significant	2729.0	22244	9	DATASET_DEPENDENT	True	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05	False	no resistance-RNA dataset FDR<0.05 and no significant human-tumor support (functional-only -- see List C instead)	False	
GABBR2	RNA_RESISTANCE_CONSENSUS	0.1842574992020509	0.5949968823073009	0.9285299753064464	tolerance_associated_KO	False	1.73433298110773	7.80577855331271e-08	4.61442797506191e-06	up	True	4.27267482332268	2.28494769083671e-06	9.6134739832737e-05	up	True	epithelial_track_direction_agrees	False	2.8974768927314	3.71789870242308e-05	0.0390633924740031	up	True	3/4								track_A_not_significant, track_B_not_significant	↑* | ↑* | ↑*	↑* | ↑* | ↑* || NA	3	3	all_up	significant	11094.0	2	12237	DATASET_DEPENDENT	False	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising	False	CRISPR direction is tolerance_associated_KO, not sensitising_KO	False	
SLC4A10	RNA_RESISTANCE_CONSENSUS	-0.0811186226936495	0.8080708766592413	0.9717213996819616	sensitising_KO	True	-1.79650886544087	4.56584541428978e-08	3.17578637831859e-06	down	True	-4.52693826974416	0.0027528559344545	0.0148115705577018	down	True	epithelial_track_direction_agrees	False	-2.31322351738801	6.91644888419422e-05	0.0463666318039153	down	True	4/4								track_A_not_significant, track_B_not_significant	↓* | ↓* | ↓*	↓* | ↓* | ↓* || NA	3	3	all_down	significant	11095.0	3	15884	DATASET_DEPENDENT	True	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance	False	CRISPR FDR>=0.25 or untestable -- sensitising sign carries no real evidence	False	
USP17L29	LOW_COVERAGE	-2.1448239489713394	1.4674995092382969e-05	0.0280336431249791	sensitising_KO	True				not_testable	False				not_testable	False	epithelial_track_direction_agrees	False				not_testable	False	not_computed								track_A_not_significant, track_B_not_significant	NA | NA | NA	NA | NA | NA || NA	0	0	insufficient	not_significant		37490	10		True	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05	False	no resistance-RNA dataset FDR<0.05 and no significant human-tumor support (functional-only -- see List C instead)	False	
