source_gene	target_gene	interaction_type	database_source	confidence	pathway	evidence_notes
SMAD3	FN1	functional_association	STRING	0.73		combined_score=0.730; escore=0.045; dscore=0.000; STRING network_type=physical membership=False
SMAD3	BMP7	functional_association	STRING	0.811		combined_score=0.811; escore=0.269; dscore=0.000; STRING network_type=physical membership=False
SMAD3	ACVR1	functional_association	STRING	0.961		combined_score=0.961; escore=0.126; dscore=0.900; STRING network_type=physical membership=False
SMAD3	HIF1A	physical_PPI	STRING	0.975		combined_score=0.975; escore=0.784; dscore=0.000; STRING network_type=physical membership=True
SMAD3	FOXO1	physical_PPI	STRING	0.99		combined_score=0.990; escore=0.317; dscore=0.900; STRING network_type=physical membership=True
SMAD3	FOXO3	physical_PPI	STRING	0.995		combined_score=0.995; escore=0.634; dscore=0.900; STRING network_type=physical membership=True
SMAD3	TGFBR2	physical_PPI	STRING	0.998		combined_score=0.998; escore=0.091; dscore=0.900; STRING network_type=physical membership=True
SMAD3	CTNNB1	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.768; dscore=0.800; STRING network_type=physical membership=True
FOXO3	PTEN	functional_association	STRING	0.853		combined_score=0.853; escore=0.099; dscore=0.000; STRING network_type=physical membership=False
FOXO3	CITED2	functional_association	STRING	0.933		combined_score=0.933; escore=0.000; dscore=0.900; STRING network_type=physical membership=False
FOXO3	FOXO1	physical_PPI	STRING	0.955		combined_score=0.955; escore=0.000; dscore=0.900; STRING network_type=physical membership=True
FOXO3	HIF1A	physical_PPI	STRING	0.997		combined_score=0.997; escore=0.311; dscore=0.400; STRING network_type=physical membership=True
FOXO3	CTNNB1	physical_PPI	STRING	0.998		combined_score=0.998; escore=0.546; dscore=0.360; STRING network_type=physical membership=True
NF2	CTNNB1	physical_PPI	STRING	0.889		combined_score=0.889; escore=0.095; dscore=0.000; STRING network_type=physical membership=True
NF2	NF1	functional_association	STRING	0.97		combined_score=0.970; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
FN1	TGFBR2	functional_association	STRING	0.722		combined_score=0.722; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
FN1	BMP7	functional_association	STRING	0.728		combined_score=0.728; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
FN1	CTNNB1	functional_association	STRING	0.85		combined_score=0.850; escore=0.049; dscore=0.000; STRING network_type=physical membership=False
FN1	SRC	functional_association	STRING	0.945		combined_score=0.945; escore=0.000; dscore=0.400; STRING network_type=physical membership=False
NF1	PTEN	functional_association	STRING	0.874		combined_score=0.874; escore=0.218; dscore=0.000; STRING network_type=physical membership=False
TGFBR2	CTNNB1	functional_association	STRING	0.802		combined_score=0.802; escore=0.334; dscore=0.000; STRING network_type=physical membership=False
TGFBR2	ACVR1	physical_PPI	STRING	0.81		combined_score=0.810; escore=0.259; dscore=0.000; STRING network_type=physical membership=True
TGFBR2	SRC	physical_PPI	STRING	0.854		combined_score=0.854; escore=0.000; dscore=0.000; STRING network_type=physical membership=True
EFNA1	FGFR1	functional_association	STRING	0.741		combined_score=0.741; escore=0.000; dscore=0.650; STRING network_type=physical membership=False
PTEN	UBC	functional_association	STRING	0.714		combined_score=0.714; escore=0.354; dscore=0.500; STRING network_type=physical membership=False
PTEN	HIF1A	functional_association	STRING	0.83		combined_score=0.830; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
PTEN	SRC	functional_association	STRING	0.837		combined_score=0.837; escore=0.094; dscore=0.000; STRING network_type=physical membership=False
PTEN	FOXO1	functional_association	STRING	0.903		combined_score=0.903; escore=0.099; dscore=0.000; STRING network_type=physical membership=False
PTEN	CTNNB1	functional_association	STRING	0.943		combined_score=0.943; escore=0.527; dscore=0.000; STRING network_type=physical membership=False
SRC	HIF1A	functional_association	STRING	0.872		combined_score=0.872; escore=0.632; dscore=0.000; STRING network_type=physical membership=False
SRC	LYN	physical_PPI	STRING	0.989		combined_score=0.989; escore=0.709; dscore=0.900; STRING network_type=physical membership=True
SRC	CTNNB1	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.539; dscore=0.900; STRING network_type=physical membership=True
LHX2	MSX1	functional_association	STRING	0.78		combined_score=0.780; escore=0.317; dscore=0.000; STRING network_type=physical membership=False
LHX2	CITED2	physical_PPI	STRING	0.895		combined_score=0.895; escore=0.292; dscore=0.000; STRING network_type=physical membership=True
KDM6A	KDM1A	functional_association	STRING	0.82		combined_score=0.820; escore=0.075; dscore=0.000; STRING network_type=physical membership=False
WT1	CITED2	functional_association	STRING	0.711		combined_score=0.711; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
FOXO1	CITED2	functional_association	STRING	0.816		combined_score=0.816; escore=0.000; dscore=0.750; STRING network_type=physical membership=False
FOXO1	HIF1A	functional_association	STRING	0.859		combined_score=0.859; escore=0.068; dscore=0.400; STRING network_type=physical membership=False
FOXO1	CTNNB1	physical_PPI	STRING	0.985		combined_score=0.985; escore=0.113; dscore=0.000; STRING network_type=physical membership=True
TFAP2B	CITED2	physical_PPI	STRING	0.88		combined_score=0.880; escore=0.482; dscore=0.500; STRING network_type=physical membership=True
TFAP2B	TFAP2A	physical_PPI	STRING	0.968		combined_score=0.968; escore=0.695; dscore=0.800; STRING network_type=physical membership=True
BMP7	CTNNB1	functional_association	STRING	0.723		combined_score=0.723; escore=0.051; dscore=0.000; STRING network_type=physical membership=False
BMP7	ACVR1	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.574; dscore=0.900; STRING network_type=physical membership=True
KDM1A	CTNNB1	functional_association	STRING	0.839		combined_score=0.839; escore=0.292; dscore=0.000; STRING network_type=physical membership=False
FGFR1	CTNNB1	physical_PPI	STRING	0.947		combined_score=0.947; escore=0.777; dscore=0.000; STRING network_type=physical membership=True
HIF1A	PSMC3	functional_association	STRING	0.727		combined_score=0.727; escore=0.292; dscore=0.400; STRING network_type=physical membership=False
HIF1A	CITED2	physical_PPI	STRING	0.915		combined_score=0.915; escore=0.000; dscore=0.400; STRING network_type=physical membership=True
HIF1A	UBC	physical_PPI	STRING	0.95		combined_score=0.950; escore=0.878; dscore=0.500; STRING network_type=physical membership=True
HIF1A	CTNNB1	physical_PPI	STRING	0.998		combined_score=0.998; escore=0.785; dscore=0.000; STRING network_type=physical membership=True
UBC	PSMC3	physical_PPI	STRING	0.971		combined_score=0.971; escore=0.931; dscore=0.500; STRING network_type=physical membership=True
CITED2	PCGF2	functional_association	STRING	0.741		combined_score=0.741; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
CITED2	TFAP2A	physical_PPI	STRING	0.989		combined_score=0.989; escore=0.482; dscore=0.700; STRING network_type=physical membership=True
CTNNB1	TFAP2A	functional_association	STRING	0.701		combined_score=0.701; escore=0.292; dscore=0.000; STRING network_type=physical membership=False
CREBBP	EP300	regulatory	TRRUST			mode=Unknown; PMID=15154850
CREBBP	PSMC5	regulatory	TRRUST			mode=Activation; PMID=22771340
CREBBP	TP53	regulatory	TRRUST			mode=Unknown; PMID=15154850
CTNNB1	BIRC5	regulatory	TRRUST			mode=Unknown; PMID=19662654;19778454
EP300	BIRC5	regulatory	TRRUST			mode=Activation; PMID=19102934
EP300	BIRC5	regulatory	TRRUST			mode=Repression; PMID=19102934
EP300	CCNB2	regulatory	TRRUST			mode=Unknown; PMID=12482752
EP300	CREBBP	regulatory	TRRUST			mode=Unknown; PMID=9651310
EP300	ERBB2	regulatory	TRRUST			mode=Unknown; PMID=9045619
EP300	WT1	regulatory	TRRUST			mode=Activation; PMID=15752709;18064385
FOXO3	BIRC5	regulatory	TRRUST			mode=Unknown; PMID=22056878
HIF1A	LOX	regulatory	TRRUST			mode=Unknown; PMID=17685448
LEF1	BIRC5	regulatory	TRRUST			mode=Unknown; PMID=19620402
LEF1	CTNNB1	regulatory	TRRUST			mode=Unknown; PMID=11326276
MSX1	HEY1	regulatory	TRRUST			mode=Activation; PMID=18201699
NF1	TP53	regulatory	TRRUST			mode=Activation; PMID=10634504;8816507
PPARG	JAG1	regulatory	TRRUST			mode=Unknown; PMID=20436223
PPARG	PTEN	regulatory	TRRUST			mode=Activation; PMID=11378386;16425225;16775433;20198337
PPARG	TP53	regulatory	TRRUST			mode=Activation; PMID=14960510;16887883
TFAP2A	COL1A1	regulatory	TRRUST			mode=Unknown; PMID=10775443
TFAP2A	ERBB2	regulatory	TRRUST			mode=Unknown; PMID=10698518;15870067;18218085;22577344
TFAP2A	PTEN	regulatory	TRRUST			mode=Activation; PMID=18316341
TFAP2B	ERBB2	regulatory	TRRUST			mode=Unknown; PMID=10645007
TFAP2C	ERBB2	regulatory	TRRUST			mode=Unknown; PMID=10645007
TP53	BIRC5	regulatory	TRRUST			mode=Repression; PMID=17124180
TP53	BIRC5	regulatory	TRRUST			mode=Unknown; PMID=19067706
TP53	CCNB2	regulatory	TRRUST			mode=Repression; PMID=12889596
TP53	CTNNB1	regulatory	TRRUST			mode=Repression; PMID=19411072
TP53	FOXO3	regulatory	TRRUST			mode=Unknown; PMID=19299143
TP53	ID2	regulatory	TRRUST			mode=Unknown; PMID=16557594
TP53	PLK1	regulatory	TRRUST			mode=Unknown; PMID=24076372
TP53	PTEN	regulatory	TRRUST			mode=Repression; PMID=17344317
TP53	PTEN	regulatory	TRRUST			mode=Unknown; PMID=11545734
TP53	SMAD3	regulatory	TRRUST			mode=Unknown; PMID=21900401
WT1	SMAD3	regulatory	TRRUST			mode=Activation; PMID=20842112
ACVR1	CTNNB1	pathway_co_membership	MSigDB_hallmark		HALLMARK_TGF_BETA_SIGNALING	both leading-edge in gse118713
ACVR1	ID2	pathway_co_membership	MSigDB_hallmark		HALLMARK_TGF_BETA_SIGNALING	both leading-edge in gse118713
ACVR1	SMAD3	pathway_co_membership	MSigDB_hallmark		HALLMARK_TGF_BETA_SIGNALING	both leading-edge in gse118713
CTNNB1	ID2	pathway_co_membership	MSigDB_hallmark		HALLMARK_TGF_BETA_SIGNALING	both leading-edge in gse118713
CTNNB1	SMAD3	pathway_co_membership	MSigDB_hallmark		HALLMARK_TGF_BETA_SIGNALING	both leading-edge in gse118713
ID2	SMAD3	pathway_co_membership	MSigDB_hallmark		HALLMARK_TGF_BETA_SIGNALING	both leading-edge in gse118713
ID2	TRIB1	pathway_co_membership	MSigDB_hallmark		HALLMARK_KRAS_SIGNALING_UP	both leading-edge in gse118713
EFNA1	ID2	pathway_co_membership	MSigDB_hallmark		HALLMARK_TNFA_SIGNALING_VIA_NFKB	both leading-edge in gse118713
EFNA1	JAG1	pathway_co_membership	MSigDB_hallmark		HALLMARK_TNFA_SIGNALING_VIA_NFKB	both leading-edge in gse118713
EFNA1	SMAD3	pathway_co_membership	MSigDB_hallmark		HALLMARK_TNFA_SIGNALING_VIA_NFKB	both leading-edge in gse118713
EFNA1	TRIB1	pathway_co_membership	MSigDB_hallmark		HALLMARK_TNFA_SIGNALING_VIA_NFKB	both leading-edge in gse118713
ID2	JAG1	pathway_co_membership	MSigDB_hallmark		HALLMARK_TNFA_SIGNALING_VIA_NFKB	both leading-edge in gse118713
ID2	SMAD3	pathway_co_membership	MSigDB_hallmark		HALLMARK_TNFA_SIGNALING_VIA_NFKB	both leading-edge in gse118713
ID2	TRIB1	pathway_co_membership	MSigDB_hallmark		HALLMARK_TNFA_SIGNALING_VIA_NFKB	both leading-edge in gse118713
JAG1	SMAD3	pathway_co_membership	MSigDB_hallmark		HALLMARK_TNFA_SIGNALING_VIA_NFKB	both leading-edge in gse118713
