gene	node_class	node_category_raw	crispr_effect	crispr_fdr	crispr_direction	gse118713_log2fc	gse118713_fdr	gse240112_log2fc	gse240112_fdr	gse111151_log2fc	gse111151_fdr	gse245601_acute_log2fc	gse245601_acute_fdr	resistance_pattern	pathways_supported	number_consensus_pathways	human_tumor_support	candidate_connection_count	subnetwork_role
LHX2	candidate_partner	candidate_string_partner	0.2982333043601572	0.8547014306298557	nonsignificant_tolerance_direction	0.659314949431121	0.0561015208773156	1.56371216316703	0.0283490425861665	0.603083915774856	0.526332017152766			consistent_up_(1/3_significant)	go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION;go_bp:GOBP_EMBRYONIC_MORPHOGENESIS;go_bp:GOBP_EPITHELIAL_TUBE_FORMATION;go_bp:GOBP_EPITHELIAL_TUBE_MORPHOGENESIS	23	True	1	direct_partner
LOX	leading_edge	resistance_leading_edge	0.510427648871282	0.7170209005816782	nonsignificant_tolerance_direction	4.80263819051348	8.6203189384681e-09	9.47455931943787	6.14546448421569e-06	0.443475028798368	0.588033007637101	-0.0698857713098474	0.929166360998821	consistent_up_(2/3_significant)	go_bp:GOBP_AORTA_DEVELOPMENT;go_bp:GOBP_ARTERY_DEVELOPMENT;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BONE_DEVELOPMENT	30	True	0	second_degree_connector
LYN	multiple	multimodal_pathway_driver,resistance_leading_edge	-0.5191648382099592	0.6843950193322895	nonsignificant_sensitising_direction	1.38086985457888	7.08894246745681e-05	6.43817930113175	3.79815317685443e-06	0.738508495628027	0.434934110501048	-0.0549407252748037	0.857864448843255	consistent_up_(2/3_significant)	go_bp:GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT;go_bp:GOBP_CELLULAR_RESPONSE_TO_LIPID;go_bp:GOBP_CELL_CHEMOTAXIS;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_DENDRITIC_CELL_DIFFERENTIATION	54	True	0	second_degree_connector
MSX1	leading_edge	resistance_leading_edge	-0.1715356242436012	0.9331425545278652	nonsignificant_sensitising_direction	0.354287394027851	0.0587843483088679	1.9223596216847	0.0120993017172427	0.614069828130158	0.677119380841392	0.271623522787989	0.510963851300167	consistent_up_(1/3_significant)	go_bp:GOBP_BODY_MORPHOGENESIS;go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_BONE_MORPHOGENESIS;go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	41	True	0	second_degree_connector
NF1	crispr_tolerance_associated	crispr_tolerance	3.201469104004488	1.980969177858585e-06	tolerance_associated_KO	0.401298410976755	0.241892052255367	-0.224003368544701	0.560355683109955	-0.158383159411972	0.740170330747677	-0.147970627719369	0.495025795643211	no_significant_resistance_dataset		0	False	0	second_degree_connector
NF2	multiple	multimodal_pathway_driver,resistance_leading_edge	0.1778532419824223	0.9265425012974084	nonsignificant_tolerance_direction	0.72485926180621	0.0016689366195227	0.63045229008935	0.0760399951224825	0.268024283758395	0.501483653230901	-0.276119380248912	0.26452119021161	consistent_up_(1/3_significant)	go_bp:GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION;go_bp:GOBP_CELL_MATRIX_ADHESION;go_bp:GOBP_CELL_SUBSTRATE_ADHESION;go_bp:GOBP_EMBRYONIC_MORPHOGENESIS;go_bp:GOBP_FOREBRAIN_DEVELOPMENT	36	False	0	second_degree_connector
PCGF2	candidate_partner	candidate_string_partner	-1.3158128561668043	0.2636544015200702	nonsignificant_sensitising_direction	0.571465122104003	0.0340587989279309	0.677992618985523	0.0596933366231476	-0.268861826047786	0.514446355407458	-0.0069217968585236	0.98658932453588	consistent_up_(1/3_significant)	go_bp:GOBP_EMBRYONIC_MORPHOGENESIS;go_bp:GOBP_EMBRYONIC_ORGAN_DEVELOPMENT;go_bp:GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS;go_bp:GOBP_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT;go_bp:GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	8	False	1	direct_partner
PLK1	resistance_gene	multimodal_pathway_driver	0.0903448157917585	0.9800952768605136	nonsignificant_tolerance_direction	-0.706922763585609	0.0519351509471531	-1.8384439548295	0.0661404672187792	-0.168991736421351	0.863896670214277	0.0075563956017534	0.990478760277518	no_significant_resistance_dataset	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	15	False	0	second_degree_connector
PPARG	multiple	multimodal_pathway_driver,resistance_leading_edge	-0.2851673524884317	0.8848707613512676	nonsignificant_sensitising_direction	4.58426124540051	2.65154115887905e-08	4.4259179475735	0.0001638321354121	1.7394882005885	0.479581760757361	0.213484929051929	0.507581428197261	consistent_up_(2/3_significant)	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_CELL_FATE_COMMITMENT;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_CIRCULATORY_SYSTEM_PROCESS	53	True	1	direct_partner
PSMC3	resistance_gene	multimodal_pathway_driver	-0.9692722345050032	0.561746941082457	nonsignificant_sensitising_direction	-0.403839402815408	0.083869880633609	-0.692400110192544	0.211468816159062	-0.313275078848619	0.514446355407458	-0.0473304325667961	0.836917031198908	no_significant_resistance_dataset	reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_M_PHASE	3	False	0	second_degree_connector
