gene	node_class	node_category_raw	crispr_effect	crispr_fdr	crispr_direction	gse118713_log2fc	gse118713_fdr	gse240112_log2fc	gse240112_fdr	gse111151_log2fc	gse111151_fdr	gse245601_acute_log2fc	gse245601_acute_fdr	resistance_pattern	pathways_supported	number_consensus_pathways	human_tumor_support	candidate_connection_count
CSK	crispr_tolerance_associated	crispr_tolerance	2.8930076779394955	1.980969177858585e-06	tolerance_associated_KO	0.320365895079171	0.229948458536039	-0.0235803462825203	0.967328365600626	-0.249537116511411	0.627019449902963	-0.20802115501522	0.425458760202366	no_significant_resistance_dataset		0	False	0
CTNNB1	leading_edge	resistance_leading_edge	-0.7079105508147325	0.6338823101552432	nonsignificant_sensitising_direction	1.34051680314076	0.0081467587063766	1.04611724728121	0.0264420685038049	0.321374477875969	0.60279258654785	-0.0178362228342128	0.963531408602799	consistent_up_(2/3_significant)	go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CELL_FATE_COMMITMENT	93	True	0
CUX1	crispr_tolerance_associated	crispr_tolerance	1.2655384098421134	0.044987385842584	tolerance_associated_KO	-0.899390794469496	0.0007915850161576	-0.977593527385808	0.0325811667130628	-0.473959264701485	0.353075674922462	-0.0635570551072721	0.80228969354788	consistent_down_(2/3_significant)		0	True	0
DLL4	leading_edge	resistance_leading_edge	0.6488173099943424	0.6009826181172715	nonsignificant_tolerance_direction	1.33519694449611	0.0006363424751393	4.44474138037838	0.0001384525026738	0.57531339897591	0.622214577407012	0.538513995632478	0.26731031905138	consistent_up_(2/3_significant)	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_AORTA_DEVELOPMENT;go_bp:GOBP_ARTERY_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BLOOD_VESSEL_REMODELING	32	True	0
DLX1	leading_edge	resistance_leading_edge	-0.0568928971807825	0.9843145629338568	nonsignificant_sensitising_direction	3.04176220827547	9.96886796336597e-07	2.7249378618033	0.0001569668590273	1.45326624639749	0.284319639017088	-0.459321534939638	0.53414066242788	consistent_up_(2/3_significant)	go_bp:GOBP_CELL_FATE_COMMITMENT;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT;go_bp:GOBP_FOREBRAIN_DEVELOPMENT;go_bp:GOBP_GLIAL_CELL_DIFFERENTIATION	28	True	0
DLX2	leading_edge	resistance_leading_edge	-0.2546725733009047	0.8882857432844812	nonsignificant_sensitising_direction	4.09946036442767	1.5607939994064e-07	4.11274557481225	0.0001188736369787	2.63376720995289	0.0681580293592368	-0.440992832334232	0.342914029545564	consistent_up_(2/3_significant)	go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CELL_FATE_COMMITMENT;go_bp:GOBP_CONNECTIVE_TISSUE_DEVELOPMENT;go_bp:GOBP_EMBRYONIC_MORPHOGENESIS;go_bp:GOBP_EMBRYONIC_ORGAN_DEVELOPMENT	29	True	0
DMTN	resistance_gene	multimodal_pathway_driver	-0.242802716731826	0.9006536946538933	nonsignificant_sensitising_direction	1.31603372622559	0.0002412063361967	2.5352715301594	0.000206019057526	1.24053270326457	0.351061357260381	-0.27677568590462	0.591184612654145	consistent_up_(2/3_significant)	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_CELLULAR_COMPONENT_DISASSEMBLY;go_bp:GOBP_CELL_MATRIX_ADHESION;go_bp:GOBP_CELL_SUBSTRATE_ADHESION;go_bp:GOBP_HEMOSTASIS	23	True	1
DPP9	crispr_tolerance_associated	crispr_tolerance	1.3751072314321586	0.0416851803622835	tolerance_associated_KO	-1.04265717095817	0.0021070783203592	0.109543831770581	0.801863890967389	0.0421912603365501	0.953611308284714	-0.0106261465606046	0.971353783178804	consistent_down_(1/3_significant)		0	False	0
DSN1	resistance_gene	multimodal_pathway_driver	-0.4569187655551792	0.7909727675032434	nonsignificant_sensitising_direction	-0.595756675969657	0.0049539333901588	-0.871186325009513	0.126676380760557	-0.104040436290145	0.849578561411116	0.138616691447384	0.710550772119422	consistent_down_(1/3_significant)	go_bp:GOBP_METAPHASE_CHROMOSOME_ALIGNMENT;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_MITOTIC_PROMETAPHASE	8	False	0
DUSP10	multiple	multimodal_pathway_driver,resistance_leading_edge	-0.6924395658202647	0.7104023823054633	nonsignificant_sensitising_direction	1.52751929733601	3.81119943884686e-05	2.45281832763788	0.0293777162321947	0.95280522858847	0.29520554500229	0.162197106467	0.629727099543297	consistent_up_(2/3_significant)	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_EPITHELIAL_CELL_PROLIFERATION;go_bp:GOBP_ERK1_AND_ERK2_CASCADE;go_bp:GOBP_FAT_CELL_DIFFERENTIATION;go_bp:GOBP_GLIAL_CELL_DIFFERENTIATION	28	True	0
